iri,label,link
http://qudt.org/community/ga/voc,voc,/catalogs/catalogue:ga-vocabs/collections/voc
https://pid.geoscience.gov.au/def/voc/ga/BoreholeConstructionMaterial,BoreholeConstructionMaterial,/catalogs/catalogue:ga-vocabs/collections/BoreholeConstructionMaterial
https://pid.geoscience.gov.au/def/voc/ga/BoreholeConstructionType,BoreholeConstructionType,/catalogs/catalogue:ga-vocabs/collections/BoreholeConstructionType
https://pid.geoscience.gov.au/def/voc/ga/BoreholePurpose,BoreholePurpose,/catalogs/catalogue:ga-vocabs/collections/BoreholePurpose
https://pid.geoscience.gov.au/def/voc/ga/BoreholeStatus,BoreholeStatus,/catalogs/catalogue:ga-vocabs/collections/BoreholeStatus
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod,General Geology - Sampling Method,/catalogs/catalogue:ga-vocabs/collections/BoreholesSamplingMethod
https://pid.geoscience.gov.au/def/voc/ga/CDCS,CDCS,/catalogs/catalogue:ga-vocabs/collections/CDCS
https://pid.geoscience.gov.au/def/voc/ga/ConfidenceLevel,ConfidenceLevel,/catalogs/catalogue:ga-vocabs/collections/ConfidenceLevel
https://pid.geoscience.gov.au/def/voc/ga/ContactCharacter,ContactCharacter,/catalogs/catalogue:ga-vocabs/collections/ContactCharacter
https://pid.geoscience.gov.au/def/voc/ga/ContactType,ContactType,/catalogs/catalogue:ga-vocabs/collections/ContactType
https://pid.geoscience.gov.au/def/voc/ga/CountryCodes,CountryCodes,/catalogs/catalogue:ga-vocabs/collections/CountryCodes
https://pid.geoscience.gov.au/def/voc/ga/DateQualifier,DateQualifier,/catalogs/catalogue:ga-vocabs/collections/DateQualifier
https://pid.geoscience.gov.au/def/voc/ga/DirectionalSurveyAzimuth,DirectionalSurveyAzimuth,/catalogs/catalogue:ga-vocabs/collections/DirectionalSurveyAzimuth
https://pid.geoscience.gov.au/def/voc/ga/DirectionalSurveyClass,DirectionalSurveyClass,/catalogs/catalogue:ga-vocabs/collections/DirectionalSurveyClass
https://pid.geoscience.gov.au/def/voc/ga/DirectionalSurveyMethod,DirectionalSurveyMethod,/catalogs/catalogue:ga-vocabs/collections/DirectionalSurveyMethod
https://pid.geoscience.gov.au/def/voc/ga/DirectionalSurveyPathComputeMethod,DirectionalSurveyPathComputeMethod,/catalogs/catalogue:ga-vocabs/collections/DirectionalSurveyPathComputeMethod
https://pid.geoscience.gov.au/def/voc/ga/DirectionalSurveyRecordingMode,DirectionalSurveyRecordingMode,/catalogs/catalogue:ga-vocabs/collections/DirectionalSurveyRecordingMode
https://pid.geoscience.gov.au/def/voc/ga/DrillingMethods,DrillingMethods,/catalogs/catalogue:ga-vocabs/collections/DrillingMethods
https://pid.geoscience.gov.au/def/voc/ga/EntityTypeOrFeature,EntityTypeOrFeature,/catalogs/catalogue:ga-vocabs/collections/EntityTypeOrFeature
https://pid.geoscience.gov.au/def/voc/ga/FieldSitePurpose,FieldSitePurpose,/catalogs/catalogue:ga-vocabs/collections/FieldSitePurpose
https://pid.geoscience.gov.au/def/voc/ga/FieldSiteTypes,FieldSiteTypes,/catalogs/catalogue:ga-vocabs/collections/FieldSiteTypes
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType,GeologySampleType,/catalogs/catalogue:ga-vocabs/collections/GeologySampleType
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk,HazardAndRisk,/catalogs/catalogue:ga-vocabs/collections/HazardAndRisk
https://pid.geoscience.gov.au/def/voc/ga/LandformTypes,LandformTypes,/catalogs/catalogue:ga-vocabs/collections/LandformTypes
https://pid.geoscience.gov.au/def/voc/ga/Legislation,Legislation,/catalogs/catalogue:ga-vocabs/collections/Legislation
https://pid.geoscience.gov.au/def/voc/ga/LocationMethod,LocationMethod,/catalogs/catalogue:ga-vocabs/collections/LocationMethod
https://pid.geoscience.gov.au/def/voc/ga/MiningWasteStatus,MiningWasteStatus,/catalogs/catalogue:ga-vocabs/collections/MiningWasteStatus
https://pid.geoscience.gov.au/def/voc/ga/MiningWasteStorageType,MiningWasteStorageType,/catalogs/catalogue:ga-vocabs/collections/MiningWasteStorageType
https://pid.geoscience.gov.au/def/voc/ga/MiningWasteStructureType,MiningWasteStructureType,/catalogs/catalogue:ga-vocabs/collections/MiningWasteStructureType
https://pid.geoscience.gov.au/def/voc/ga/MiningWasteType,MiningWasteType,/catalogs/catalogue:ga-vocabs/collections/MiningWasteType
https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence,ModesOfOccurence,/catalogs/catalogue:ga-vocabs/collections/ModesOfOccurence
https://pid.geoscience.gov.au/def/voc/ga/OnlineFunctions,OnlineFunctions,/catalogs/catalogue:ga-vocabs/collections/OnlineFunctions
https://pid.geoscience.gov.au/def/voc/ga/PetrophysicalProperty,PetrophysicalProperty,/catalogs/catalogue:ga-vocabs/collections/PetrophysicalProperty
https://pid.geoscience.gov.au/def/voc/ga/ProportionTerms,ProportionTerms,/catalogs/catalogue:ga-vocabs/collections/ProportionTerms
https://pid.geoscience.gov.au/def/voc/ga/QaStatusCode,QaStatusCode,/catalogs/catalogue:ga-vocabs/collections/QaStatusCode
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyGeneral,SeabedGeomorphologyGeneral,/catalogs/catalogue:ga-vocabs/collections/SeabedGeomorphologyGeneral
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology,SeabedGeomorphologyMorphology,/catalogs/catalogue:ga-vocabs/collections/SeabedGeomorphologyMorphology
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyPhysiography,SeabedGeomorphologyPhysiography,/catalogs/catalogue:ga-vocabs/collections/SeabedGeomorphologyPhysiography
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologySettings,SeabedGeomorphologySettings,/catalogs/catalogue:ga-vocabs/collections/SeabedGeomorphologySettings
https://pid.geoscience.gov.au/def/voc/ga/SourceRockQuality,SourceRockQuality,/catalogs/catalogue:ga-vocabs/collections/SourceRockQuality
https://pid.geoscience.gov.au/def/voc/ga/StatisticalResultQualifier,StatisticalResultQualifier,/catalogs/catalogue:ga-vocabs/collections/StatisticalResultQualifier
https://pid.geoscience.gov.au/def/voc/ga/StatisticalUncertaintyTypes,StatisticalUncertaintyTypes,/catalogs/catalogue:ga-vocabs/collections/StatisticalUncertaintyTypes
https://pid.geoscience.gov.au/def/voc/ga/associationtype,associationtype,/catalogs/catalogue:ga-vocabs/collections/associationtype
https://pid.geoscience.gov.au/def/voc/ga/materialtype,materialtype,/catalogs/catalogue:ga-vocabs/collections/materialtype
