iri,broader,prefLabel
http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/abandoned,http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/application-non-current,Abandoned
http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/accepted,http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/granted,Accepted
http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/active,http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/current,Active
http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/application,,Application
http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/application-cancelled,http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/application-non-current,Application Cancelled
http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/application-lapsed,http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/non-current,Application lapsed
http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/application-non-current,,Application non-current
http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/application-pending,http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/application,Application Pending
http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/application-withdrawn,http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/application-non-current,Application Withdrawn
http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/awaiting-ministerial-decision,http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/granted,Awaiting Ministerial decision
http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/awaiting-payment-confirmation,http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/application,Awaiting payment confirmation
http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/cancelled,http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/non-current,Cancelled
http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/ceased,http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/non-current,Ceased
http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/ceased-to-operate,http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/non-current,Ceased to Operate
http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/certificate-of-application,http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/application,Certificate of Application
http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/certificate-of-application-issued,http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/application,Certificate of Application issued
http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/certificate_of-public-notice-issued,http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/application,Certificate of Public Notice issued
http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/cessation,http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/non-current,Cessation
http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/competing-application,http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/application,Competing Application
http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/conditionally-surrendered,http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/application-non-current,Conditionally surrendered
http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/consolidation-cancellation,http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/non-current,Consolidation cancellation
http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/conversion_of-ml-to-mc,http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/granted,Conversion of ML to MC
http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/current,,Current
http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/deemed-abandoned,http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/non-current,Deemed abandoned
http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/discarded,http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/non-current,Discarded
http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/expired,http://resource.geoscience.gov.au/classifier/ggic/petroleum-tenement-status/non-current,Expired
