iri,broader,prefLabel
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/airfallDustCollector,,airfall dust collector
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/airlift,https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/boreholeFluidSampling,airlift
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/auger,https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/drilling,auger
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/baitedRemoteUnderwaterStillPhotography,https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/underwaterStillPhotography,baited remote underwater still photograph
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/baitedRemoteUnderwaterVideo,https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/underwaterVideo,baited remote underwater video
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/boreholeDstTest,https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/boreholeFluidSampling,borehole DST test
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/boreholeFluidSampling,,borehole fluid sampling
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/boreholeLoggingTool,,borehole logging tool
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/boreholeProdTest,https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/boreholeFluidSampling,borehole PROD test
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/boreholePurgingUntilAnalyteStabilisation,https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/pumpingHighFlow,borehole purging until analyte stabilisation
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/boreholeWftTest,https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/boreholeFluidSampling,borehole WFT test
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/bottleIncubation,,bottle incubation
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/bottleIncubationDark,https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/bottleIncubation,bottle incubation dark
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/bottleIncubationLight,https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/bottleIncubation,bottle incubation light
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/cableToolDrilling,https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/percussionDrilling,cable tool drilling
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/camera,,camera
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/chamberIncubation,,chamber incubation
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/chamberIncubationDark,https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/chamberIncubation,chamber incubation dark
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/chamberIncubationLight,https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/chamberIncubation,chamber incubation light
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/coreAir,https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/coreDrilling,core air
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/coreBox,https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/coreDrilling,core box
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/coreCatcher,https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/drilling,core catcher
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/coreConventional,https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/coreDrilling,core conventional
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/coreCutter,https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/drilling,core cutter
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/coreDiamond,https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/coreDrilling,core diamond
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/coreDrilling,https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/drilling,core drilling
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/coreGeoprobe,https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/coreDrilling,core geoprobe
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/coreGravity,https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/coreDrilling,core gravity
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/coreIncubationDark,,core incubation dark
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/coreIncubationLight,,core incubation light
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/coreKasten,https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/coreDrilling,core Kasten
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/coreMackereth,https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/coreDrilling,core Mackereth
https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/corePiston,https://pid.geoscience.gov.au/def/voc/ga/BoreholesSamplingMethod/coreDrilling,core piston
