iri,label,notation,definition,altLabels,broader,narrower,related,scheme
https://linked.data.gov.au/def/alteration-type/albitic-alteration,albitic alteration,,"A form of sodic alteration in which primary minerals (alkali feldspar) are replaced by albite to form albite-rich rocks (e.g. albitites). This type of alteration is usually associated with rare element mineralization (Nb, Ta, Sn, W, Li, Be). Cf. sodic alteration.","Na-feldspathisation|Na-feldspathization|albitization",,,,https://linked.data.gov.au/def/alteration-type
https://linked.data.gov.au/def/alteration-type/alunitic-alteration,alunitic alteration,,"A type of advanced argillic alteration where alunite-group minerals (alunite, natroalunite and jarosite) are the dominant phase. Typically related to the presence of abundant sulfate ions and Al-rich protoliths.","acid sulfate|argillic - advanced",https://linked.data.gov.au/def/alteration-type/argillic-alteration-advanced,,,https://linked.data.gov.au/def/alteration-type
https://linked.data.gov.au/def/alteration-type/argillic-alteration-advanced,argillic alteration - advanced,,"A type of argillic alteration defined by intensive acid attack and more or less complete leaching of the alkali cations with complete destruction of the feldspars and mafic silicate phases, resulting in an assemblage of dickite, kaolinite, pyrophillite, baryte, alunite and diaspore. In addition, sulfides, topaz, tourmaline and a range of amorphous clays may be present. Found in porphyry systems, in the inner zone of hydrothermal base and precious metal-bearing veins, and most typically in high-sulfur hydrothermal systems.",,https://linked.data.gov.au/def/alteration-type/argillic-alteration,https://linked.data.gov.au/def/alteration-type/alunitic-alteration,,https://linked.data.gov.au/def/alteration-type
https://linked.data.gov.au/def/alteration-type/argillic-alteration-intermediate,argillic alteration - intermediate,,"A type of argilllic alteration defined by the presence of montmorillonite, illite, chlorite, kaolin group clays (kaolinite, dickite, halloysite, allophane) and minor sericite. K-feldspar may remain unaltered, and K, Ca, Mg and Na may not entirely leach out. Precursor textures are usually preserved.",,https://linked.data.gov.au/def/alteration-type/argillic-alteration,,,https://linked.data.gov.au/def/alteration-type
https://linked.data.gov.au/def/alteration-type/argillic-alteration,argillic alteration,,"Alteration that introduces clay minerals including kaolinite, smectite and illite as a replacement of plagioclase and amphibole due to intense H+ metasomatism and acid leaching, at temperatures between 100° and 300°C.",argillization,,"https://linked.data.gov.au/def/alteration-type/argillic-alteration-advanced|https://linked.data.gov.au/def/alteration-type/argillic-alteration-intermediate",,https://linked.data.gov.au/def/alteration-type
https://linked.data.gov.au/def/alteration-type/biotitic-alteration,biotitic alteration,,"The formation of biotite in country rocks, usually in early stages of hydrothermal events and commonly as a replacement of ferromagnesian minerals.",biotite alteration,,,,https://linked.data.gov.au/def/alteration-type
https://linked.data.gov.au/def/alteration-type/calc-silicate-alteration,calc-silicate alteration,,Alteration defined by calcium-bearing silicate minerals such as diopside and wollastonite. Calc–silicate skarn or hornfels are typical within impure limestone or dolomite strata adjacent to an intruding igneous rock.,,,,,https://linked.data.gov.au/def/alteration-type
https://linked.data.gov.au/def/alteration-type/calcification,calcification,,"Carbonate alteration involving the precipitation of calcite. Note the term is most commonly used to describe the replacement of organic material (generally originally hard part) by calcium carbonate (CaCO₃) during fossilization, as well as the pedological accumulation of calcium carbonate within soil horizons.",,https://linked.data.gov.au/def/alteration-type/carbonate-alteration,,,https://linked.data.gov.au/def/alteration-type
https://linked.data.gov.au/def/alteration-type/carbonate-alteration,carbonate alteration,,Alteration of both Ca-rich and silicate rock involving anion metasomatism with introduction of CO₂ and formation or replacement of carbonate minerals.,"carbonation|carbonatization",,"https://linked.data.gov.au/def/alteration-type/calcification|https://linked.data.gov.au/def/alteration-type/dolomitization",,https://linked.data.gov.au/def/alteration-type
https://linked.data.gov.au/def/alteration-type/chloritic-alteration,chloritic alteration,,"The formation of chlorite is typical of many hydrothermal systems, particularly in peripheral propylitic alteration or as retrograde overprinting alteration, commonly as a replacement of pyroxene and amphibole minerals or biotite.","chlorite alteration|chloritization",,,,https://linked.data.gov.au/def/alteration-type
