iri,label,notation,definition,altLabels,broader,narrower,related,scheme
https://linked.data.gov.au/def/australian-physiographic-units/albany-esperance-sandplain,Albany Esperance Sandplain,30911,"Sandplains with weakly to moderately incised southerly valley and intervening hills and low ranges of granite and metamorphic rocks (extending as headlands and inlets). Bounded by latitudes 33.228449°S and 35.193981°S, and longitudes 117.406742°E and 123.719394°E.",,,,,https://linked.data.gov.au/def/australian-physiographic-units
https://linked.data.gov.au/def/australian-physiographic-units/alberga-dunefield,Alberga Dunefield,20224,"Longitudinal dunes. Bounded by latitudes 26.565983°S and 27.346617°S, and longitudes 133.992033°E and 135.275623°E.",,,,,https://linked.data.gov.au/def/australian-physiographic-units
https://linked.data.gov.au/def/australian-physiographic-units/alice-tableland,Alice Tableland,10307,"Perched sandy plain with interior drainage and higher ferruginous-capped rim. Bounded by latitudes 20.445512°S and 23.550995°S, and longitudes 144.35352°E and 146.446376°E.",,,,,https://linked.data.gov.au/def/australian-physiographic-units
https://linked.data.gov.au/def/australian-physiographic-units/amadeus-plains,Amadeus Plains,30505,"Dunefields and sandplains with scattered sandstone ranges; salt lakes and calcrete plains along lowland axis. Bounded by latitudes 22.709191°S and 26.220225°S, and longitudes 127.27787°E and 134.800216°E.",,,,,https://linked.data.gov.au/def/australian-physiographic-units
https://linked.data.gov.au/def/australian-physiographic-units/andamooka-tableland,Andamooka Tableland,31203,"Dissected sandstone plateau with bold east escarpment. Bounded by latitudes 30.687442°S and 33.439282°S, and longitudes 137.203797°E and 137.843292°E.",,,,,https://linked.data.gov.au/def/australian-physiographic-units
https://linked.data.gov.au/def/australian-physiographic-units/anketell-hills,Anketell Hills,30603,"Low mesas, buttes and stony rises of lateritized sandstone and shale among east–west longitudinal dunes and sandy plains. Bounded by latitudes 19.996901°S and 21.445172°S, and longitudes 121.516735°E and 124.333161°E.",,,,,https://linked.data.gov.au/def/australian-physiographic-units
https://linked.data.gov.au/def/australian-physiographic-units/armraynald-plain,Armraynald Plain,20108,"Clay floodplain. Bounded by latitudes 17.470579°S and 20.148752°S, and longitudes 138.439832°E and 140.267239°E.",,,,,https://linked.data.gov.au/def/australian-physiographic-units
https://linked.data.gov.au/def/australian-physiographic-units/arnhem-plateau,Arnhem Plateau,30103,"Dissected sandstone plateau. Bounded by latitudes 11.898184°S and 14.617665°S, and longitudes 132.164189°E and 135.636903°E.",,,,,https://linked.data.gov.au/def/australian-physiographic-units
https://linked.data.gov.au/def/australian-physiographic-units/arnhem-ridges,Arnhem Ridges,30102,"Ranges of folded metamorphic rocks extending north–east as islands. Bounded by latitudes 12.459513°S and 14.451428°S, and longitudes 135.057019°E and 135.759996°E.",,,,,https://linked.data.gov.au/def/australian-physiographic-units
https://linked.data.gov.au/def/australian-physiographic-units/atherton-tableland,Atherton Tableland,10210,"Basaltic tableland. Bounded by latitudes 17.133515°S and 17.744619°S, and longitudes 145.307072°E and 145.897773°E.",,,,,https://linked.data.gov.au/def/australian-physiographic-units
https://linked.data.gov.au/def/australian-physiographic-units/augustus-ranges,Augustus Ranges,30707,"Parallel ranges and dissected plateaus with intervening hardpan wash plains and stony plains. Bounded by latitudes 21.366927°S and 25.861701°S, and longitudes 114.943213°E and 120.791266°E.",,,,,https://linked.data.gov.au/def/australian-physiographic-units
https://linked.data.gov.au/def/australian-physiographic-units/australian-alps,Australian Alps,10703,"Dissected high upland, glaciated locally with some periglacial features. Uplifted blocks surrounded by highly dissected high relief hill country. Bounded by latitudes 34.726109°S and 36.855898°S, and longitudes 147.086632°E and 149.207529°E.",,,,,https://linked.data.gov.au/def/australian-physiographic-units
https://linked.data.gov.au/def/australian-physiographic-units/avon-plateau,Avon Plateau,30906,"Gently undulating surface of sandplains and ferruginous divides; stripped granitic slopes; and broad valley floors with salt lake chains. Bounded by latitudes 29.477967°S and 33.961952°S, and longitudes 115.854588°E and 120.972928°E.",,,,,https://linked.data.gov.au/def/australian-physiographic-units
https://linked.data.gov.au/def/australian-physiographic-units/barkly-tablelands,Barkly Tablelands,30402,"Black clay plains, sandy rises of ferruginous sandstone, and minor stony limestone plains, interior drainage with calcrete in depressions. Bounded by latitudes 16.685914°S and 22.513587°S, and longitudes 133.034327°E and 139.341168°E.",,,,,https://linked.data.gov.au/def/australian-physiographic-units
https://linked.data.gov.au/def/australian-physiographic-units/barkly-tanami-plains-province,Barkly–Tanami Plains Province,304,"Uplands and interior lowlands with a northwest–southeast trend parallel to and including coastal lowlands, dominated by the Fitzroy River catchment. Bounded by latitudes 14.222438°S and 23.423680°S, and longitudes 127.703369°E and 139.516732°E.",Barkly–Tanami Plains Physiographic Province,,"https://linked.data.gov.au/def/australian-physiographic-units/barkly-tablelands|https://linked.data.gov.au/def/australian-physiographic-units/birrundudu-plain|https://linked.data.gov.au/def/australian-physiographic-units/davenport-ranges|https://linked.data.gov.au/def/australian-physiographic-units/sandover-sandplain|https://linked.data.gov.au/def/australian-physiographic-units/sturt-plateau|https://linked.data.gov.au/def/australian-physiographic-units/tanami-sandplain|https://linked.data.gov.au/def/australian-physiographic-units/tanami-sandplain-and-ranges|https://linked.data.gov.au/def/australian-physiographic-units/tobermory-plain|https://linked.data.gov.au/def/australian-physiographic-units/toko-plateaus",,https://linked.data.gov.au/def/australian-physiographic-units
