iri,label,notation,definition,altLabels,broader,narrower,related,scheme
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/Bauer-bucket,Bauer bucket,,"A proprietary drilling method involving a large rotating bucket on the end of a drillstem. Used for large diameter open holes up to 2.5 m wide, mainly for drilling water-bearing sandy soil, sludge, clay, muddy sub clay, sandy gravel, cobble, and weathered soft formation. The name originates from the German Bauer Group manufacturer.","Bauer bucket drilling|bucket",,,,https://linked.data.gov.au/def/borehole-drilling-method-western-australia
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/Calweld,Calweld,,"A proprietary drilling method commonly used in opal mining, and more recently potash mining, involving a large rotating bucket on the end of a drillstem. Used for large diameter open holes up to 3 m wide. Also known as Calweld bucket drilling. The name originates from the California Welding Company that originally produced the rigs.",Caldwell bucket drilling,,,,https://linked.data.gov.au/def/borehole-drilling-method-western-australia
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/air-core,air core,AC,"Air core drilling and related methods use hardened steel or tungsten blades to bore a hole into unconsolidated ground, and is used when safe and clean removal of sample material is paramount. The drillbit has three blades arranged around the bit head, which cut the unconsolidated ground. The rods are hollow and contain an inner tube which sits inside the hollow outer rod barrel. The drill cuttings are removed by injection of compressed air into the hole via the annular area between the inner tube and the drill rod. The cuttings are then blown back to the surface up the inner tube where they pass through the sample separating system and are collected if needed. Drilling continues with the addition of rods to the top of the drillstring. Air core drilling can occasionally produce small chunks of cored rock. This method is often coupled with rotary hammer drilling at the base of the hole when saprock is encountered.","AC|air core drilling|aircore drilling|rotary air core drilling",,,,https://linked.data.gov.au/def/borehole-drilling-method-western-australia
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/bucket-drilling,bucket drilling,,"The bucket rig is a form of the rotary drill rig. It uses mechanical or hydraulic drive to rotate a kelly (i.e. a steel bar with a hole drilled through the middle for a fluid path) which is attached to the bucket. This type of rig normally utilizes a square friction type or round locking type kelly with three or four telescoping sections which can extend to 30 m or more. Bucket rigs may be equipped to drill holes from 25.4 cm to 152.4 cm in diameter. Bucket drilling uses a cylindrical bucket with cutting blades or teeth mounted on a hinged bottom to repeatedly cut and lift sediments from the borehole. To drill, the bucket is rotated to allow the bottom of the cutting teeth to fill the bucket. When the bucket is full, it is raised by cable.",bucket auger,,"https://linked.data.gov.au/def/borehole-drilling-method-western-australia/Bauer-bucket|https://linked.data.gov.au/def/borehole-drilling-method-western-australia/Calweld",,https://linked.data.gov.au/def/borehole-drilling-method-western-australia
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/coiled-tubing,coiled tubing drilling,CTD,"Coiled tubing drilling (CTD) is a drilling method that uses a continuous steel coiled tube spooled on a large reel instead of metal pipes. This reduces the amount of time required to trip in and out of the hole (the coil can simply be run in and pulled out while a drillpipe must be assembled and dismantled joint by joint). Instead of rotating the drillbit by using a rotary table or top drive at the surface, the drillbit is turned by a downhole mud motor, powered by the motion of drilling fluid pumped from the surface. CTD is used in both mineral and petroleum industries. In the latter, CTD is commonly used in existing wellbores for re-entry drilling or sidetracking through the production tubing, for new shallow wells, deepening conventional wells and for drilling underbalanced.","CT drilling|CTD|coiling tube drilling",,,,https://linked.data.gov.au/def/borehole-drilling-method-western-australia
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/conventional-core,conventional core,,"Diamond core drilling in which core samples are periodically recovered by withdrawing the complete core barrel and drill rods from the hole. The end of the barrel is disassembled by removing the core bit and catcher, the stainless steel splits are then pumped out of the inner barrel by using high pressure water. The splits are then opened to reveal the core in virtually undisturbed condition. Conventional core drilling systems are used for shallow site investigation and shallow to medium deep underground up-hole drilling applications.","conventional core drilling|conventional diamond drilling",,,,https://linked.data.gov.au/def/borehole-drilling-method-western-australia
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/core-drilling,core drilling,,Drilling using a rotating core barrel to obtain a cylindrical core of rock.,,,http://resource.geosciml.org/classifier/cgi/boreholedrillingmethod/diamond_core,,https://linked.data.gov.au/def/borehole-drilling-method-western-australia
http://resource.geosciml.org/classifier/cgi/boreholedrillingmethod/diamond_core,diamond core,DD,"Diamond core drilling (or diamond drilling) utilizes an annular diamond- or tungsten-carbide-impregnated drillbit attached to the end of rotating hollow drill rods to cut a cylindrical core of solid rock. Fine to microfine, industrial-grade diamonds are used. They are set within a matrix of varying hardness, from brass to high-grade steel. Matrix hardness, diamond size and dosing can be varied according to the rock which must be cut. Holes within the bit allow water to be delivered to the cutting face. This provides three essential functions: lubrication, cooling and removal of drill cuttings from the hole. Core samples are retrieved via the use of a core tube, a hollow tube placed inside the rod string and pumped with water until it locks into the core barrel. As the core is drilled, the core barrel slides over the core as it is cut. An 'overshot' attached to the end of the winch cable is lowered inside the rod string and locks on to the backend (aka head assembly), located on the top end of the core barrel. The winch is retracted, pulling the core tube to the surface. The core does not drop out of the inside of the core tube when lifted because either a split ring core lifter or basket retainer allow the core to move into, but not back out of the tube.","DD|diamond core drilling|diamond drilling",,"https://linked.data.gov.au/def/borehole-drilling-method-western-australia/conventional-core|https://linked.data.gov.au/def/borehole-drilling-method-western-australia/wireline-core",,https://linked.data.gov.au/def/borehole-drilling-method-western-australia
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/downhole-motor,downhole motor,,"A drilling method using a drillstem equipped with a non-rotating drillstring and a rotating downhole bit driven by a downhole motor. Downhole motor drilling is used in the energy industry to drive the drillbit or other downhole tools during directional drilling or performance drilling applications. As drilling fluid is pumped through the positive displacement motor (PDM), it converts the hydraulic power of the fluid into mechanical power to cause the bit to rotate. During directional drilling, this capability is used while drilling in sliding mode, when the drillstring is not rotated from the surface. Positive displacement motors can also be used for performance drilling, straight hole drilling, coring, underreaming and milling operations. In straight hole drilling, the motor functions as a drilling performance tool to increase the rate of penetration and reduce casing wear by minimizing drillstring rotation.","down hole motor|down-hole motor|mud motor|positive displacement motor (PDM)",,,,https://linked.data.gov.au/def/borehole-drilling-method-western-australia
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/drop-core-drilling,drop core drilling,,"Gravity-driven drilling method used for obtaining a core of soft, unconsolidated sediment by relying upon the weight of the core tool for penetration.",,,"http://resource.geosciml.org/classifier/cgi/boreholedrillingmethod/box_core|http://resource.geosciml.org/classifier/cgi/boreholedrillingmethod/gravity_core|http://resource.geosciml.org/classifier/cgi/boreholedrillingmethod/kasten_core|http://resource.geosciml.org/classifier/cgi/boreholedrillingmethod/vibrocore",,https://linked.data.gov.au/def/borehole-drilling-method-western-australia
