iri,label,notation,definition,altLabels,broader,narrower,related,scheme
https://linked.data.gov.au/def/borehole-geometry/bh-azimuth,azimuth,,"The angle, measured in the horizontal plane, between north (unspecified) and the projection of the borehole axis at the point of measurement. For curved trajectories, the azimuth is measured from the projection of the tangent to the borehole axis at the point of measurement.","drift|drift direction|heading",,"https://linked.data.gov.au/def/borehole-geometry/bh-grid-azimuth|https://linked.data.gov.au/def/borehole-geometry/bh-magnetic-azimuth|https://linked.data.gov.au/def/borehole-geometry/bh-true-azimuth",,https://linked.data.gov.au/def/borehole-geometry
https://linked.data.gov.au/def/borehole-geometry/bh-grid-azimuth,grid azimuth,,The azimuth measured clockwise from the central meridian of a plane-rectangular coordinate system such as a local reference grid.,,,,,https://linked.data.gov.au/def/borehole-geometry
https://linked.data.gov.au/def/borehole-geometry/bh-magnetic-azimuth,magnetic azimuth,,The azimuth measured clockwise from magnetic north through to 360°. This parameter changes with time and thus needs to be qualified by a date.,,,,,https://linked.data.gov.au/def/borehole-geometry
https://linked.data.gov.au/def/borehole-geometry/bh-true-azimuth,true azimuth,,The azimuth measured clockwise from true north (also called geodetic north or geographic north) through 360°.,,,,,https://linked.data.gov.au/def/borehole-geometry
https://linked.data.gov.au/def/borehole-geometry/bh-diameter,borehole diameter,,The width of the borehole.,hole size,,,,https://linked.data.gov.au/def/borehole-geometry
https://linked.data.gov.au/def/borehole-geometry/bh-dip,dip,,"Measured on a vertical plane, dip is the angle of a borehole defined by a tangent line at the point of measurement and the horizontal plane. In the minerals industry, vertical is commonly denoted as –90° and changes to 0° (horizontal). The sum of inclination and dip is 90°.",,,,,https://linked.data.gov.au/def/borehole-geometry
https://linked.data.gov.au/def/borehole-geometry/bh-downholesurvey,downhole directional survey,,A geometric measurement of inclination and azimuth at a certain depth along the borehole trajectory.,"alignment survey|borehole survey|deviation survey|directional survey|downhole deviation survey|well survey",,"https://linked.data.gov.au/def/borehole-geometry/bh-vertical-section|https://linked.data.gov.au/def/borehole-geometry/dogleg-rate",,https://linked.data.gov.au/def/borehole-geometry
https://linked.data.gov.au/def/borehole-geometry/bh-vertical-section,vertical section,,"The vertical section is the horizontal distance along the centreline of a wellbore to a certain point on a well trajectory, measured along a pre-defined azimuth in the horizontal plane.",VS,,,,https://linked.data.gov.au/def/borehole-geometry
https://linked.data.gov.au/def/borehole-geometry/dogleg-rate,dogleg rate,,"A particularly crooked place in a borehole where the trajectory of the borehole in 3D space changes rapidly, either intentionally or unintentionally. In surveying borehole trajectories, a standard calculation of dogleg severity is made, usually expressed in 2D degrees per 30 metres of wellbore length.",dogleg severity,,,,https://linked.data.gov.au/def/borehole-geometry
https://linked.data.gov.au/def/borehole-geometry/bh-end-point,end point location,,"The spatial location where the drilling of a borehole was completed, expressed as coordinates and elevation (i.e. x, y, z).","EOH|bottom hole location|end of hole|end point",,,,https://linked.data.gov.au/def/borehole-geometry
