iri,label,notation,definition,altLabels,broader,narrower,related,scheme
https://linked.data.gov.au/def/borehole-status-wa/abandoned-mineral,abandoned - mineral,,"All borehole operations and activities are prematurely terminated due to unforeseen circumstances, e.g. surface ground failure or borehole collapse (with or without equipment being stuck). Borehole should undergo necessary rehabilitation.",failed,https://linked.data.gov.au/def/borehole-status-wa/drilling-completed-post-operational,,,https://linked.data.gov.au/def/borehole-status-wa
https://linked.data.gov.au/def/borehole-status-wa/drilling-completed-post-operational,drilling completed - post-operational,,"Drilling of the borehole is complete and no further activity (other than decommissioning/rehabilitation) is planned. Note that in the Australian Coal Logging Standards v3.1 (CoalLog), 'completed' status is closer in meaning to 'abandoned' in this vocabulary).",drilled,https://linked.data.gov.au/def/borehole-status-wa/post-operational,https://linked.data.gov.au/def/borehole-status-wa/abandoned-mineral,,https://linked.data.gov.au/def/borehole-status-wa
https://linked.data.gov.au/def/borehole-status-wa/approved,approved,,"Drilling of a borehole has been approved by the relevant authorities, whether within a resource company, a government regulatory agency (e.g. as part of government-supported exploration drilling initiatives or for research purposes), indigenous representative groups, a research organisation, or as part of geotechnical investigations and/or infrastructure programs. Drilling has not yet commenced.",,https://linked.data.gov.au/def/borehole-status-wa/planning-and-approval,,,https://linked.data.gov.au/def/borehole-status-wa
https://linked.data.gov.au/def/borehole-status-wa/planning-and-approval,planning and approval,,"Planning and approval include all stages from the initial conception of a borehole through to obtaining necessary approval(s) from the relevant authorities, whether within a resource company, a government regulatory agency, indigenous representative groups, a research organisation, or as part of geotechnical investigations and/or infrastructure programs.",,,"https://linked.data.gov.au/def/borehole-status-wa/approved|https://linked.data.gov.au/def/borehole-status-wa/not-drilled|https://linked.data.gov.au/def/borehole-status-wa/planned|https://linked.data.gov.au/def/borehole-status-wa/proposed",,https://linked.data.gov.au/def/borehole-status-wa
https://linked.data.gov.au/def/borehole-status-wa/capped,capped,,"A borehole where a cap (usually a PVC cap secured with a screw) or a plug have been put temporarily in place during interim rehabilitation or to allow for the possibility of re-entering the hole (e.g. during a pause in operations and/or maintenance), e.g. to prevent fauna from falling into the hole. A permanent rehabilitation should follow at the completion of the operations.","plugged above ground|temporarily plugged",https://linked.data.gov.au/def/borehole-status-wa/operational-suspended,,,https://linked.data.gov.au/def/borehole-status-wa
https://linked.data.gov.au/def/borehole-status-wa/operational-suspended,operational - suspended,,"A borehole where drilling has been halted but for which operations/activities are not completed, and the borehole has not been fully decommissioned/rehabilitated. This stage includes the potential resumption of drilling.",,,"https://linked.data.gov.au/def/borehole-status-wa/capped|https://linked.data.gov.au/def/borehole-status-wa/cased-and-suspended|https://linked.data.gov.au/def/borehole-status-wa/drilling-suspended|https://linked.data.gov.au/def/borehole-status-wa/shut-in|https://linked.data.gov.au/def/borehole-status-wa/suspended|https://linked.data.gov.au/def/borehole-status-wa/workover",,https://linked.data.gov.au/def/borehole-status-wa
https://linked.data.gov.au/def/borehole-status-wa/cased-and-suspended,cased and suspended,,"A well in which casing has been installed, but is suspended and inactive pending installation of completion, monitoring or other equipment.",C&S,https://linked.data.gov.au/def/borehole-status-wa/operational-suspended,,,https://linked.data.gov.au/def/borehole-status-wa
https://linked.data.gov.au/def/borehole-status-wa/decommissioned,decommissioned,,"Decommissioning is a broad stage that involves the timely, safe, and environmentally responsible removal of, or otherwise satisfactorily dealing with, drilling-related property, equipment or infrastructure that is not in use, has not been maintained in working order such that it can be used, and has no demonstrable future use (i.e. has no associated permissioning documents allowing for and outlining plans for future use). The term is predominantly used in the energy industry.",,https://linked.data.gov.au/def/borehole-status-wa/post-operational,,,https://linked.data.gov.au/def/borehole-status-wa
https://linked.data.gov.au/def/borehole-status-wa/post-operational,post-operational,,"A borehole that is no longer operating and for which activities are completed, i.e. the borehole is fully decommissioned/rehabilitated.",,,"https://linked.data.gov.au/def/borehole-status-wa/drilling-completed-post-operational|https://linked.data.gov.au/def/borehole-status-wa/decommissioned|https://linked.data.gov.au/def/borehole-status-wa/abandoned-energy|https://linked.data.gov.au/def/borehole-status-wa/unrehabilitated|https://linked.data.gov.au/def/borehole-status-wa/rehabilitated",,https://linked.data.gov.au/def/borehole-status-wa
https://linked.data.gov.au/def/borehole-status-wa/drilling-completed-operational,drilling completed - operational,,"Drilling of the borehole is completed, but operations involving the borehole are continuing (e.g. installation of production infrastructure, wirelogging, etc.). Note that in the Australian Coal Logging Standards v3.1 (CoalLog), 'completed' status is closer in meaning to 'abandoned' in this vocabulary).","completed|drilled",https://linked.data.gov.au/def/borehole-status-wa/operational,,,https://linked.data.gov.au/def/borehole-status-wa
