iri,label,notation,definition,altLabels,broader,narrower,related,scheme
https://linked.data.gov.au/def/dmirs-offices/carlisle,Carlisle,,"Carlisle is one of several offices maintained by the Department of Energy, Mines, Industry Regulation and Safety within the Perth metropolitan area. The site includes several buildings encompassing separate functions of the Geological Survey of Western Australia, including the Perth Core Library, and is located at 37 Harris St, Carlisle WA 6101.",,,,,https://linked.data.gov.au/def/dmirs-offices
https://linked.data.gov.au/def/dmirs-offices/joe-lord-core-library,JH (Joe) Lord Core Library,,"The JH (Joe) Lord Core Library is one of two Geological Survey storage and viewing facilities housing geological exploration materials (predominantly drillcores and samples) and related media. The building is on the Kalgoorlie site at the corner of Hunter and Broadwood Streets, West Kalgoorlie WA 6430.","Joe Lord Core Library|Kalgoorlie Core Library",,,,https://linked.data.gov.au/def/dmirs-offices
https://linked.data.gov.au/def/dmirs-offices/kalgoorlie-office,Goldfields–Esperance (Kalgoorlie) regional office,,"The Kalgoorlie office is one of several regional offices maintained by the Department of Energy, Mines, Industry Regulation and Safety, representing the department in the Goldfields and Esperance regions. In addition to administrative functions of the Department and of the Geological Survey of Western Australia, the Kalgoorlie office houses the Joe (JH) Lord Core Library, East Mine Inspectorate and Kalgoorlie Mining Registrar. The office is at the corner of Hunter and Broadwood Streets, West Kalgoorlie WA 6430.",Kalgoorlie office,,,,https://linked.data.gov.au/def/dmirs-offices
https://linked.data.gov.au/def/dmirs-offices/mineral-house,Mineral House,,"Mineral House is one of several offices maintained by the Department of Energy, Mines, Industry Regulation and Safety within the Perth metropolitan area. It is the department's main administrative office, housing the Geological Survey and Resource Strategy, Resource and Environmental Compliance, Resource Tenure and Aboriginal Empowerment Petroleum, Mineral Titles Divisions of the Department, the West Mine Inspectorate and the Perth Mining Registrar. The building is at 100 Plain St, East Perth WA 6004.",MH,,,,https://linked.data.gov.au/def/dmirs-offices
https://linked.data.gov.au/def/dmirs-offices/perth-core-library,Perth Core Library,,"The Perth Core Library is one of two Geological Survey storage and viewing facilities housing geological exploration materials (predominantly drillcores and samples) and related media. The building is on the Carlisle site at 37 Harris Street, Carlisle WA 6101.","Carlisle|Carlisle core library",,,,https://linked.data.gov.au/def/dmirs-offices
https://linked.data.gov.au/def/dmirs-offices/collie-office,Collie office,,"The Collie office, one of several regional offices maintained by the Department of Energy, Mines, Industry Regulation and Safety, houses the South Mine Inspectorate, and is at 66 Wittenoom Street, Collie WA 6225.",,,,,https://linked.data.gov.au/def/dmirs-offices
https://linked.data.gov.au/def/dmirs-offices/karratha-office,North West (Karratha) regional office,,"The Karratha office is one of several regional offices maintained by the Department of Energy, Mines, Industry Regulation and Safety, representing the department in the North West region. The office houses the Karratha Mining Registrar and North Mine Inspectorate, and is located at Level 2, The Quarter, 20 Sharpe Avenue, Karratha WA 6714.",Karratha office,,,,https://linked.data.gov.au/def/dmirs-offices
https://linked.data.gov.au/def/dmirs-offices/leonora-office,Leonora office,,"The Leonora office, one of several regional offices maintained by the Department of Energy, Mines, Industry Regulation and Safety, houses the Leonora Mining Registrar, and is at the corner of Tower (Goldfield Highway) and Rochester Streets, Leonora WA 6438.",,,,,https://linked.data.gov.au/def/dmirs-offices
https://linked.data.gov.au/def/dmirs-offices/mount-magnet-office,Mount Magnet office,,"The Mount Magnet office, one of several regional offices maintained by the Department of Energy, Mines, Industry Regulation and Safety, houses the Mount Magnet Mining Registrar, and is at the corner of Hepburn and Richardson Streets, Mount Magnet WA 6638.",,,,,https://linked.data.gov.au/def/dmirs-offices
https://linked.data.gov.au/def/dmirs-offices/southern-cross-office,Southern Cross office,,"The Southern Cross office, one of several regional offices maintained by the Department of Energy, Mines, Industry Regulation and Safety, houses the Southern Cross Mining Registrar, and is located at 75 Canopus Street, Southern Cross WA 6426.",,,,,https://linked.data.gov.au/def/dmirs-offices
https://linked.data.gov.au/def/dmirs-offices/adelaide-terrace,1 Adelaide Terrace,,"1 Adelaide Terrace is one of several offices maintained by the Department of Energy, Mines, Industry Regulation and Safety within the Perth metropolitan area. It houses the Resources Safety and Dangerous Goods Divisions, and both Private and Public Sector Labour Relations subdivisions of the Department. The office is located at Level 3, 1 Adelaide Terrace, East Perth WA 6004.",1AT,,,,https://linked.data.gov.au/def/dmirs-offices
https://linked.data.gov.au/def/dmirs-offices/albany-office,Great Southern (Albany) regional office,,"The Albany office is one of several regional offices maintained by the Department of Energy, Mines, Industry Regulation and Safety, representing the department in the Great Southern region. The office is at 2/129 Aberdeen St, Albany WA 6331.",Albany office,,,,https://linked.data.gov.au/def/dmirs-offices
https://linked.data.gov.au/def/dmirs-offices/broome-office,Kimberley (Broome) regional office,,"The Broome office is one of several regional offices maintained by the Department of Energy, Mines, Industry Regulation and Safety, representing the department in the Kimberley region. The office is at Level 1, Woody's Arcade, 6/15 Dampier Terrace, Broome WA 6725.",Broome office,,,,https://linked.data.gov.au/def/dmirs-offices
https://linked.data.gov.au/def/dmirs-offices/bunbury-office,South West (Bunbury) regional office,,"The Bunbury office is one of several regional offices maintained by the Department of Energy, Mines, Industry Regulation and Safety, representing the department in the South West region. The office is located at Level 8, 61 Victoria Street, Bunbury WA 6230.",,,,,https://linked.data.gov.au/def/dmirs-offices
https://linked.data.gov.au/def/dmirs-offices/dmirs-metropolitan,Metropolitan offices,,"Offices of the Department of Energy, Mines, Industry Regulation and Safety located in the Perth metropolitan area (Western Australia).",Metro offices,,"https://linked.data.gov.au/def/dmirs-offices/carlisle|https://linked.data.gov.au/def/dmirs-offices/mineral-house|https://linked.data.gov.au/def/dmirs-offices/adelaide-terrace|https://linked.data.gov.au/def/dmirs-offices/gordon-stephenson-house|https://linked.data.gov.au/def/dmirs-offices/mason-bird|https://linked.data.gov.au/def/dmirs-offices/stgeorges-terrace",,https://linked.data.gov.au/def/dmirs-offices
https://linked.data.gov.au/def/dmirs-offices/gordon-stephenson-house,Gordon Stephenson House,,"Gordon Stephenson House is one of several offices maintained by the Department of Energy, Mines, Industry Regulation and Safety within the Perth metropolitan area. It houses the Consumer Protection Group of the department. The building is in the Perth CBD at 140 William Street, Perth WA 6000.",GSH,,,,https://linked.data.gov.au/def/dmirs-offices
https://linked.data.gov.au/def/dmirs-offices/mason-bird,Mason Bird Building,,"Mason Bird Building is one of several offices maintained by the Department of Energy, Mines, Industry Regulation and Safety within the Perth metropolitan area. It houses the Building and Energy and WorkSafe Divisions of the Department. The building is at 303 Sevenoaks Street, Cannington WA 6107.",MBB,,,,https://linked.data.gov.au/def/dmirs-offices
https://linked.data.gov.au/def/dmirs-offices/stgeorges-terrace,66 St Georges Terrace,,"66 St Georges Terrace is one of several offices maintained by the Department of Energy, Mines, Industry Regulation and Safety within the Perth metropolitan area. It houses the Energy Policy WA subdivision of the Department. The building is in the Perth CBD at Level 1, 66 St Georges Terrace, Perth WA 6000.",,,,,https://linked.data.gov.au/def/dmirs-offices
https://linked.data.gov.au/def/dmirs-offices/dmirs-regional,Regional offices,,"The Department of Energy, Mines, Industry Regulation and Safety has representative offices in a number of regional centres in Western Australia.",,,"https://linked.data.gov.au/def/dmirs-offices/kalgoorlie-office|https://linked.data.gov.au/def/dmirs-offices/collie-office|https://linked.data.gov.au/def/dmirs-offices/karratha-office|https://linked.data.gov.au/def/dmirs-offices/leonora-office|https://linked.data.gov.au/def/dmirs-offices/mount-magnet-office|https://linked.data.gov.au/def/dmirs-offices/southern-cross-office|https://linked.data.gov.au/def/dmirs-offices/albany-office|https://linked.data.gov.au/def/dmirs-offices/broome-office|https://linked.data.gov.au/def/dmirs-offices/bunbury-office|https://linked.data.gov.au/def/dmirs-offices/geraldton-office",,https://linked.data.gov.au/def/dmirs-offices
https://linked.data.gov.au/def/dmirs-offices/geraldton-office,Mid-West (Geraldton) regional office,,"The Geraldton office is one of several regional offices maintained by the Department of Energy, Mines, Industry Regulation and Safety, representing the department in the Mid-West region. The office is in the Post Office Plaza at 50–52 Durlacher Street, Geraldton WA 6531.",Geraldton office,,,,https://linked.data.gov.au/def/dmirs-offices
https://linked.data.gov.au/def/dmirs-offices/wa-core-libraries,Core libraries,,"Western Australia has two purpose-built core libraries: the Perth Core Library, located in Carlisle, and the Joe Lord Core Library in Kalgoorlie. The core libraries archive drillcore acquired during mineral and petroleum exploration in the State. They include viewing and sampling facilities to assist subsequent exploration activity. Both facilities are administered by the Geological Survey.",,,"https://linked.data.gov.au/def/dmirs-offices/joe-lord-core-library|https://linked.data.gov.au/def/dmirs-offices/perth-core-library",,https://linked.data.gov.au/def/dmirs-offices
