iri,label,notation,definition,altLabels,broader,narrower,related,scheme
https://linked.data.gov.au/def/geological-sample-type/acetate-peel,acetate peel,ACPL,"Rock surfaces (~30 μm thick) that are etched (e.g. with acid) and embedded in sheets of cellulose acetate. This method is generally used to study features on cut core surfaces, especially at scales where a thin section is impractical.",,,,,https://linked.data.gov.au/def/geological-sample-type
https://linked.data.gov.au/def/geological-sample-type/bit-sample,bit sample,BISA,"Rock sample removed from the end of a drillbit when it is brought to surface, assumed to be from the total depth of the current well interval.",,https://linked.data.gov.au/def/geological-sample-type/ditch-cuttings,,,https://linked.data.gov.au/def/geological-sample-type
https://linked.data.gov.au/def/geological-sample-type/ditch-cuttings,ditch cuttings,DTCU,"Rock chips or fragments retrieved during the drilling of a petroleum well, usually mixed with drilling fluid residue. Can be either 'unwashed' when collected straight from the well, 'washed' when rinsed to remove drilling fluid residue, and/or 'dried' if cleaned and processed to remove moisture.",DC,https://linked.data.gov.au/def/geological-sample-type/drill-cuttings,"https://linked.data.gov.au/def/geological-sample-type/bit-sample|https://linked.data.gov.au/def/geological-sample-type/cavings-sample",,https://linked.data.gov.au/def/geological-sample-type
https://linked.data.gov.au/def/geological-sample-type/bulk-sample,bulk sample,BULK,"A smaller fraction of material (e.g. rock, regolith, sediment) that is considered to sufficiently represent certain characteristics of the parent material.",,,,,https://linked.data.gov.au/def/geological-sample-type
https://linked.data.gov.au/def/geological-sample-type/cabochon,cabochon,GMCB,"An unfaceted cut gemstone of domed or convex form. The top is smoothly polished; the back, or base, is usually flat or slightly convex, sometimes concave, and often unpolished. The girdle outline may be round, oval, square, or of any other shape.",,https://linked.data.gov.au/def/geological-sample-type/gemstone,,,https://linked.data.gov.au/def/geological-sample-type
https://linked.data.gov.au/def/geological-sample-type/gemstone,gemstone,GMST,"Any mineral or naturally occurring substance that, when cut and polished, has sufficient beauty, rarity, and durability for use as a personal adornment or other ornament. Organic materials such as pearl are considered gem materials rather than gemstones. Because of their desirability and demand, synthetic and imitation gemstones are common replacements for natural gemstones.","fine gem|gem|gem stone|precious stone|semiprecious stone",,"https://linked.data.gov.au/def/geological-sample-type/cabochon|https://linked.data.gov.au/def/geological-sample-type/assembled-stone|https://linked.data.gov.au/def/geological-sample-type/rough|https://linked.data.gov.au/def/geological-sample-type/imitation-gemstone|https://linked.data.gov.au/def/geological-sample-type/synthetic-gemstone",,https://linked.data.gov.au/def/geological-sample-type
https://linked.data.gov.au/def/geological-sample-type/carved-specimen,carved specimen,POCV,"Any Earth material shaped into a decorative form (e.g. sphere, egg, free-form, etc.) using tools to scrape away portions of that material. The technique can be applied to any material that is solid enough to hold a form even when pieces have been removed from it, and yet soft enough for portions to be scraped away with available tools.",,https://linked.data.gov.au/def/geological-sample-type/polished-shaped-specimen,,,https://linked.data.gov.au/def/geological-sample-type
https://linked.data.gov.au/def/geological-sample-type/polished-shaped-specimen,polished/shaped specimen,POSH,"Any Earth material that has been modified and prepared, either by incision, by rubbing or by applying a chemical treatment, usually to create a smooth and shiny/glossy surface.",,,"https://linked.data.gov.au/def/geological-sample-type/carved-specimen|https://linked.data.gov.au/def/geological-sample-type/etched-specimen|https://linked.data.gov.au/def/geological-sample-type/polished-specimen",,https://linked.data.gov.au/def/geological-sample-type
https://linked.data.gov.au/def/geological-sample-type/cavings-sample,cavings sample,CASA,"Pieces of rock that came from the borehole but that were not removed directly by the action of the drillbit. Cavings can be splinters, shards, chunks, and various shapes of rock, usually spalling from shale sections that have become unstable. The shape of the caving can indicate why the rock failure occurred. The term is typically used in the plural form.",,https://linked.data.gov.au/def/geological-sample-type/ditch-cuttings,,,https://linked.data.gov.au/def/geological-sample-type
https://linked.data.gov.au/def/geological-sample-type/concretion,concretion,CNCR,"A hard, compact mass or aggregate of mineral matter, normally subspherical but ranging from oblate to irregular; formed by precipitation from aqueous solution about a nucleus or centre (e.g. a shell or fossil), in the pores of a sedimentary or fragmental volcanic rock, and usually of a composition widely different from that of the rock in which it is found and from which it is rather sharply separated. It ranges in size from a small pellet-like object to a great spheroidal body as much as 3 m in diameter. Most concretions were formed during diagenesis, and many shortly after sediment deposition.",,,,,https://linked.data.gov.au/def/geological-sample-type
