iri,label,notation,definition,altLabels,broader,narrower,related,scheme
https://linked.data.gov.au/def/gswa-collection-facilities/carlisle,Carlisle,,"Carlisle is one of several offices maintained by the Department of Energy, Mines, Industry Regulation and Safety within the Perth metropolitan area. The site includes several buildings encompassing separate functions of the Geological Survey of Western Australia, and is located at 37 Harris St, Carlisle WA 6101.",,,"https://linked.data.gov.au/def/gswa-collection-facilities/carlisle-laboratory|https://linked.data.gov.au/def/gswa-collection-facilities/carlisle-records-building|https://linked.data.gov.au/def/gswa-collection-facilities/field-logistics|https://linked.data.gov.au/def/gswa-collection-facilities/perth-core-library",,https://linked.data.gov.au/def/gswa-collection-facilities
https://linked.data.gov.au/def/gswa-collection-facilities/carlisle-laboratory,Carlisle laboratory,,"The Carlisle laboratory is a Geological Survey of Western Australia facility undertaking in-house sample processing (mainly for geochronology) that also houses the Petrographic slide collection. The building is located on the Carlisle site at 37 Harris St, Carlisle WA 6101.",,,,,https://linked.data.gov.au/def/gswa-collection-facilities
https://linked.data.gov.au/def/gswa-collection-facilities/carlisle-records-building,Carlisle Records building,,"The Carlisle Records building is a Department of Energy, Mines, Industry Regulation and Safety facility housing various key collections, including departmental Records (physical and digital), library assets and geological slides. The building is located on the Carlisle site at 37 Harris St, Carlisle WA 6101.",,,,,https://linked.data.gov.au/def/gswa-collection-facilities
https://linked.data.gov.au/def/gswa-collection-facilities/field-logistics,Field logistics,,"The field logistics building is a Geological Survey of Western Australia facility housing field vehicles and equipment, plus physical assets relating to the petroleum relinquishment and paleontology collections. The building is located on the Carlisle site at 37 Harris St, Carlisle WA 6101.",Carlisle Stores and Transport building,,,,https://linked.data.gov.au/def/gswa-collection-facilities
https://linked.data.gov.au/def/gswa-collection-facilities/perth-core-library,Perth Core Library,,"The Perth Core Library is one of two Geological Survey of Western Australia storage and viewing facilities housing geological exploration materials (predominantly drillcores and samples) and related media. The building is located on the Carlisle site at 37 Harris Street, Carlisle WA 6101.",,,,,https://linked.data.gov.au/def/gswa-collection-facilities
https://linked.data.gov.au/def/gswa-collection-facilities/harry-butler-research-centre,Harry Butler Research Centre,,"The Harry Butler Research Centre houses the collections and research staff of the Western Australian Museum. The building is located at 49 Kew St, Welshpool WA 6106.",WA Museum Welshpool Office,,,,https://linked.data.gov.au/def/gswa-collection-facilities
https://linked.data.gov.au/def/gswa-collection-facilities/iron-mountain,Iron Mountain Australia Group storage facility,,"The building mainly stores Western Australian petroleum seismic cartridges submitted by petroleum companies for archiving and future retrieval and processing of data. The building is located at 22–24 Ledgar Road, Balcatta WA 6021.","Kestrel|Reccal Australia",,,,https://linked.data.gov.au/def/gswa-collection-facilities
https://linked.data.gov.au/def/gswa-collection-facilities/joe-lord-core-library,JH (Joe) Lord Core Library,,"The JH (Joe) Lord Core Library is one of two Geological Survey of Western Australia storage and viewing facilities housing geological exploration materials (predominantly drillcores and samples) and related media. The building is located on the Kalgoorlie site at the corner of Hunter and Broadwood Sts, West Kalgoorlie WA 6430.","Joe Lord Core Library|Kalgoorlie Core Library",,,,https://linked.data.gov.au/def/gswa-collection-facilities
https://linked.data.gov.au/def/gswa-collection-facilities/kalgoorlie-regional-office,Kalgoorlie regional office,,"The Kalgoorlie regional office is a facility of the Geological Survey of Western Australia primarily housing staff, but also hosting some small collections. The building is located on the Kalgoorlie site at the corner of Hunter and Broadwood Sts, West Kalgoorlie WA 6430.","KRO|Kalgoorlie office",,https://linked.data.gov.au/def/gswa-collection-facilities/joe-lord-core-library,,https://linked.data.gov.au/def/gswa-collection-facilities
https://linked.data.gov.au/def/gswa-collection-facilities/mineral-house,Mineral House,,"Mineral House is one of several offices maintained by the Department of Energy, Mines, Industry Regulation and Safety within the Perth metropolitan area, and is the department's main administrative office. The building is located at 100 Plain St, East Perth WA 6004.",,,"https://linked.data.gov.au/def/gswa-collection-facilities/mineral-house-foyer|https://linked.data.gov.au/def/gswa-collection-facilities/mineral-house-library|https://linked.data.gov.au/def/gswa-collection-facilities/mineral-house-other",,https://linked.data.gov.au/def/gswa-collection-facilities
https://linked.data.gov.au/def/gswa-collection-facilities/mineral-house-foyer,Mineral House foyer,,"The foyer of Mineral House has display cabinets for sections of the GSWA's rock and mineral collections. The venue is open to the public during office hours and can be accessed via the main entrance to the building at 100 Plain St, East Perth WA 6004.",,,,,https://linked.data.gov.au/def/gswa-collection-facilities
https://linked.data.gov.au/def/gswa-collection-facilities/mineral-house-library,Mineral House Library,,"The Mineral House Library houses the main collections of scientific literature (books and journals) and key historical images, documents and assets belonging to the Department of Energy, Mines, Industry Regulation and Safety. The Library is located on Level 1 of Mineral House, 100 Plain St, East Perth WA 6004.",,,,,https://linked.data.gov.au/def/gswa-collection-facilities
https://linked.data.gov.au/def/gswa-collection-facilities/mineral-house-other,Mineral House other,,"Collections belonging to the Geological Survey of Western Australia are housed on various floors within Mineral House, including the ground floor (foyer), and levels 1, 4 and 5. Mineral House is located at 100 Plain St, East Perth WA 6004.",,,,,https://linked.data.gov.au/def/gswa-collection-facilities
https://linked.data.gov.au/def/gswa-collection-facilities/museum-of-the-goldfields,Museum of the Goldfields,,"The Museum of the Goldfields is a regional branch of the Western Australian Museum, focused on the geology, biology and culture of the Goldfields region. The building is located at 17 Hannan Street, Kalgoorlie WA 6430.",Kalgoorlie Museum,,,,https://linked.data.gov.au/def/gswa-collection-facilities
https://linked.data.gov.au/def/gswa-collection-facilities/perth-mint,Perth Mint,,"The Perth Mint is a State-owned, precious-metal refinery and tourist venture. The Perth Mint's main administrative office, plus historical displays and collections, are housed at 310 Hay St, East Perth WA 6004.",,,,,https://linked.data.gov.au/def/gswa-collection-facilities
https://linked.data.gov.au/def/gswa-collection-facilities/wa-museum-boola-bardip,WA Museum Boola Bardip,,"WA Museum Boola Bardip houses the Western Australian Museum's primary displays in Perth (including Earth and planetary sciences, terrestrial biology and cultural displays). The building is located in the Perth Cultural Centre, Perth WA 6000.","Boola Bardip|WA Museum",,,,https://linked.data.gov.au/def/gswa-collection-facilities
https://linked.data.gov.au/def/gswa-collection-facilities/western-australian-museum,Western Australian Museum,,"The Western Australian Museum manages the State's primary archive of cultural and natural history assets. Established in 1891, the Western Australian Museum now comprises six public sites and a research and collections centre. The Museum is managed by the Department of Local Government, Sport and Cultural Industries.","WA Museum|WAM",,"https://linked.data.gov.au/def/gswa-collection-facilities/harry-butler-research-centre|https://linked.data.gov.au/def/gswa-collection-facilities/museum-of-the-goldfields|https://linked.data.gov.au/def/gswa-collection-facilities/wa-museum-boola-bardip",,https://linked.data.gov.au/def/gswa-collection-facilities
