iri,label,notation,definition,altLabels,broader,narrower,related,scheme
https://linked.data.gov.au/def/gswa-rock-classification-scheme/alkali-feldspar-granite,alkali feldspar granite,gf,"A special term for a variety of granite in which plagioclase is less than 10% of the total feldspar. Now defined modally in QAPF field 2 (Fig. 2.4, p. 22). (Le Maitre et al., 2005, p. 52)",,https://linked.data.gov.au/def/gswa-rock-classification-scheme/igneous-felsic-intrusive,,,https://linked.data.gov.au/def/gswa-rock-classification-scheme
https://linked.data.gov.au/def/gswa-rock-classification-scheme/igneous-felsic-intrusive,igneous felsic intrusive,g,"A group name for intrusive lithologies composed chiefly of one or more felsic minerals (e.g. containing modal quartz, feldspar and feldspathoids), with modal content of mafic and related minerals (M) less than 90%, where M represents the volume modal percentage of mafic and related minerals (Le Maitre et al., 2005, p. 4). Previous GSWA usage of 'igneous granitic' is not recommended.",igneous granitic,,"https://linked.data.gov.au/def/gswa-rock-classification-scheme/alkali-feldspar-granite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/alkali-feldspar-syenite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/diorite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/granitic-rock|https://linked.data.gov.au/def/gswa-rock-classification-scheme/granitic-rock-undivided|https://linked.data.gov.au/def/gswa-rock-classification-scheme/granodiorite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/granophyre|https://linked.data.gov.au/def/gswa-rock-classification-scheme/micro-alkali-feldspar-granite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/micro-alkali-feldspar-syenite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/micro-granitic-rock-undivided|https://linked.data.gov.au/def/gswa-rock-classification-scheme/micro-quartz-alkali-feldspar-syenite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/micro-quartz-anorthosite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/micro-quartz-diorite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/micro-quartz-gabbro|https://linked.data.gov.au/def/gswa-rock-classification-scheme/micro-quartz-monzodiorite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/micro-quartz-monzogabbro|https://linked.data.gov.au/def/gswa-rock-classification-scheme/micro-quartz-monzonite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/micro-quartz-syenite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/microdiorite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/microgranodiorite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/micromonzodiorite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/micromonzogabbro|https://linked.data.gov.au/def/gswa-rock-classification-scheme/micromonzogranite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/micromonzonite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/microsyenite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/microsyenogranite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/microtonalite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/microtrondhjemite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/monzodiorite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/monzogabbro|https://linked.data.gov.au/def/gswa-rock-classification-scheme/monzogranite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/monzonite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/pegmatite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/quartz-alkali-feldspar-syenite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/quartz-anorthosite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/quartz-diorite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/quartz-gabbro|https://linked.data.gov.au/def/gswa-rock-classification-scheme/quartz-monzodiorite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/quartz-monzogabbro|https://linked.data.gov.au/def/gswa-rock-classification-scheme/quartz-monzonite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/quartz-syenite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/syenite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/syenogranite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/tonalite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/trondjhemite",,https://linked.data.gov.au/def/gswa-rock-classification-scheme
https://linked.data.gov.au/def/gswa-rock-classification-scheme/alkali-feldspar-syenite,alkali feldspar syenite,gs,"A special term for a variety of syenite in which plagioclase is less than 10% of the total feldspar. Now defined modally in QAPF field 6 (Fig. 2.4, p. 22). (Le Maitre et al., 2005, p. 52)",,https://linked.data.gov.au/def/gswa-rock-classification-scheme/igneous-felsic-intrusive,,,https://linked.data.gov.au/def/gswa-rock-classification-scheme
https://linked.data.gov.au/def/gswa-rock-classification-scheme/amphibolite,amphibolite,mwa,"Gneissose or granofelsic metamorphic rock mainly consisting of green, brown or black amphibole and plagioclase (including albite) and derived from an unspecified intrusive, extrusive or volcaniclastic protolith. Amphibole and plagioclase combined form more than 75% of the rock, with both being present as major constituents; the amphibole constitutes more than 50% of the total mafic constituents and is present in an amount of ≥30%. Other common minerals include quartz, clinopyroxene, garnet, epidote-group minerals, biotite, titanite and scapolite. Amphibolites are mostly present in amphibolite-facies metamorphic complexes, or in the highest subfacies of the greenschist facies. Adapted from Fettes and Desmons (2007, p. 128).",,https://linked.data.gov.au/def/gswa-rock-classification-scheme/meta-igneous-mafic,,,https://linked.data.gov.au/def/gswa-rock-classification-scheme
https://linked.data.gov.au/def/gswa-rock-classification-scheme/meta-igneous-mafic,meta-igneous mafic,mw,"A group name for metamorphosed igneous lithologies that are composed chiefly of mafic minerals, for which an intrusive, extrusive or volcaniclastic protolith cannot be conclusively identified. These rocks are derived from igneous or volcanic/volcaniclastic protoliths with M smaller than 90% (cf. Le Maitre et al., 2005, p. 153), where M represents the volume modal percentage of mafic and related minerals (Le Maitre et al., 2005, p. 4), and varying amounts of pyroxene, olivine and hornblende (cf. Le Maitre et al., 2005, p. 24).",,,"https://linked.data.gov.au/def/gswa-rock-classification-scheme/amphibolite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/blueschist|https://linked.data.gov.au/def/gswa-rock-classification-scheme/carbonate-altered-meta-igneous-mafic-rock|https://linked.data.gov.au/def/gswa-rock-classification-scheme/eclogite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/mafic-gneiss|https://linked.data.gov.au/def/gswa-rock-classification-scheme/mafic-granofels-hornfels|https://linked.data.gov.au/def/gswa-rock-classification-scheme/mafic-granulite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/mafic-schist|https://linked.data.gov.au/def/gswa-rock-classification-scheme/metamafic-rock|https://linked.data.gov.au/def/gswa-rock-classification-scheme/mylonitized-meta-igneous-mafic-rock|https://linked.data.gov.au/def/gswa-rock-classification-scheme/silicified-meta-igneous-mafic-rock",,https://linked.data.gov.au/def/gswa-rock-classification-scheme
https://linked.data.gov.au/def/gswa-rock-classification-scheme/amphibolite-derived-from-intrusive-rock,amphibolite derived from intrusive rock,moa,"Gneissose or granofelsic metamorphic rock mainly consisting of green, brown or black amphibole and plagioclase (including albite) and derived from an intrusive protolith. Amphibole and plagioclase combined form more than 75% of the rock, with both being present as major constituents; the amphibole constitutes more than 50% of the total mafic constituents and is present in an amount greater than or equal to 30%. Other common minerals include quartz, clinopyroxene, garnet, epidote-group minerals, biotite, titanite and scapolite. Amphibolites are mostly present in amphibolite-facies metamorphic complexes, or in the highest subfacies of the greenschist facies. Adapted from Fettes and Desmons (2007, p. 128).",,https://linked.data.gov.au/def/gswa-rock-classification-scheme/meta-igneous-mafic-intrusive,,,https://linked.data.gov.au/def/gswa-rock-classification-scheme
https://linked.data.gov.au/def/gswa-rock-classification-scheme/meta-igneous-mafic-intrusive,meta-igneous mafic intrusive,mo,"A group name for metamorphosed intrusive lithologies (and including coarse-grained parts of extrusive successions) derived from protoliths composed chiefly of one or ferromagnesian, dark-coloured minerals in their mode (cf. Le Maitre et al., 2005, p. 25 and 107) and with the volume modal percentage of mafic and related minerals (M) less then 90%. As for their protolith equivalents, metamorphic lithologies in this group are distinguished by the relative abundance of orthopyroxene, clinopyroxene, olivine and hornblende (cf. Le Maitre et al., 2005, p. 24).",,,"https://linked.data.gov.au/def/gswa-rock-classification-scheme/amphibolite-derived-from-intrusive-rock|https://linked.data.gov.au/def/gswa-rock-classification-scheme/mafic-gneiss-derived-from-intrusive-rock|https://linked.data.gov.au/def/gswa-rock-classification-scheme/mafic-granofels-hornfels-derived-from-intrusive-rock|https://linked.data.gov.au/def/gswa-rock-classification-scheme/mafic-schist-derived-from-intrusive-rock|https://linked.data.gov.au/def/gswa-rock-classification-scheme/meta-anorthosite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/meta-olivine-gabbro|https://linked.data.gov.au/def/gswa-rock-classification-scheme/metadolerite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/metagabbro|https://linked.data.gov.au/def/gswa-rock-classification-scheme/metagabbronorite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/metamafic-intrusive-rock|https://linked.data.gov.au/def/gswa-rock-classification-scheme/metanorite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/metatroctolite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/mylonitized-metamafic-intrusive-rock|https://linked.data.gov.au/def/gswa-rock-classification-scheme/silicified-metamafic-intrusive-rock",,https://linked.data.gov.au/def/gswa-rock-classification-scheme
https://linked.data.gov.au/def/gswa-rock-classification-scheme/amphibolite-derived-from-volcanic-rock,amphibolite derived from volcanic rock,mba,"Gneissose or granofelsic metamorphic rock mainly consisting of green, brown or black amphibole and plagioclase (including albite) and derived from a volcanic protolith. Amphibole and plagioclase combined form more than 75% of the rock, with both being present as major constituents; the amphibole constitutes more than 50% of the total mafic constituents and is present in an amount of greater or equal to 30%. Other common minerals include quartz, clinopyroxene, garnet, epidote-group minerals, biotite, titanite and scapolite. Amphibolites are mostly present in amphibolite-facies metamorphic complexes, or in the highest subfacies of the greenschist facies. Adapted from Fettes and Desmons (2007, p. 128). GSWA's rock classification scheme prefers the use of volcanic terminology for any igneous rock formed on or near the Earth's surface, i.e. for those hypabyssal or subvolcanic rocks such as dykes, sills, and cryptodomes that are demonstrably both spatially and temporally associated with extrusive volcanic rocks.",,https://linked.data.gov.au/def/gswa-rock-classification-scheme/meta-igneous-mafic-volcanic,,,https://linked.data.gov.au/def/gswa-rock-classification-scheme
https://linked.data.gov.au/def/gswa-rock-classification-scheme/meta-igneous-mafic-volcanic,meta-igneous mafic volcanic,mb,"A group name for metamorphosed volcanic and volcaniclastic lithologies composed chiefly of one or more ferromagnesian, dark-coloured minerals and derived from volcanic protoliths with M less than 90% (cf. Le Maitre et al., 2005, p. 153), where M represents the volume modal percentage of mafic and related minerals (Le Maitre et al., 2005, p. 4). GSWA's rock classification scheme prefers the use of volcanic terminology for any igneous rock formed on or near the Earth's surface, i.e. for those hypabyssal or subvolcanic rocks such as dykes, sills, and cryptodomes that are demonstrably both spatially and temporally associated with extrusive volcanic rocks.",,,"https://linked.data.gov.au/def/gswa-rock-classification-scheme/amphibolite-derived-from-volcanic-rock|https://linked.data.gov.au/def/gswa-rock-classification-scheme/carbonate-altered-metamafic-volcanic-rock|https://linked.data.gov.au/def/gswa-rock-classification-scheme/mafic-gneiss-derived-from-volcanic-rock|https://linked.data.gov.au/def/gswa-rock-classification-scheme/mafic-granofels-hornfels-derived-from-volcanic-rock|https://linked.data.gov.au/def/gswa-rock-classification-scheme/mafic-schist-derived-from-volcanic-rock|https://linked.data.gov.au/def/gswa-rock-classification-scheme/meta-pyroxene-spinifex-textured-basalt|https://linked.data.gov.au/def/gswa-rock-classification-scheme/metabasalt|https://linked.data.gov.au/def/gswa-rock-classification-scheme/metabasaltic-andesite|https://linked.data.gov.au/def/gswa-rock-classification-scheme/metakomatiitic-basalt|https://linked.data.gov.au/def/gswa-rock-classification-scheme/metamafic-volcanic-rock|https://linked.data.gov.au/def/gswa-rock-classification-scheme/metamafic-volcaniclastic-rock|https://linked.data.gov.au/def/gswa-rock-classification-scheme/mylonitized-metamafic-volcanic-rock|https://linked.data.gov.au/def/gswa-rock-classification-scheme/silicified-metamafic-volcanic-rock",,https://linked.data.gov.au/def/gswa-rock-classification-scheme
https://linked.data.gov.au/def/gswa-rock-classification-scheme/amphibolitic-fault-rock,amphibolitic fault rock,mya,"A rock formed as a result of deformation in a fault zone and distinguished by the abundance of amphiboles. In GSWA usage, this term is reserved for fault rocks for which a protolith cannot be conclusively established.",,https://linked.data.gov.au/def/gswa-rock-classification-scheme/metamorphic-protolith-unknown-fault-rock,,,https://linked.data.gov.au/def/gswa-rock-classification-scheme
