iri,label,notation,definition,altLabels,broader,narrower,related,scheme
https://linked.data.gov.au/def/JORC-Code/Competent-Person,Competent Person,,"A ‘Competent Person’ is a minerals industry professional who is a Member or Fellow of The Australasian Institute of Mining and Metallurgy, or of the Australian Institute of Geoscientists, or of a ‘Recognised Professional Organisation’ (RPO), as included in a list available on the JORC and ASX websites. These organisations have enforceable disciplinary processes including the powers to suspend or expel a member. A Competent Person must have a minimum of five years relevant experience in the style of mineralisation or type of deposit under consideration and in the activity which that person is undertaking. If the Competent Person is preparing documentation on Exploration Results, the relevant experience must be in exploration. If the Competent Person is estimating, or supervising the estimation of Mineral Resources, the relevant experience must be in the estimation, assessment and evaluation of Mineral Resources. If the Competent Person is estimating, or supervising the estimation of Ore Reserves, the relevant experience must be in the estimation, assessment, evaluation and economic extraction of Ore Reserves.",,,,,https://linked.data.gov.au/def/JORC-Code
https://linked.data.gov.au/def/JORC-Code/Exploration-Results,Exploration Results,,Exploration Results include data and information generated by mineral exploration programmes that might be of use to investors but which do not form part of a declaration of Mineral Resources or Ore Reserves.,,,,,https://linked.data.gov.au/def/JORC-Code
https://linked.data.gov.au/def/JORC-Code/Exploration-Target,Exploration Target,,"An Exploration Target is a statement or estimate of the exploration potential of a mineral deposit in a defined geological setting where the statement or estimate, quoted as a range of tonnes and a range of grade (or quality), relates to mineralisation for which there has been insufficient exploration to estimate a Mineral Resource.",,,,,https://linked.data.gov.au/def/JORC-Code
https://linked.data.gov.au/def/JORC-Code/Feasibility-Study,Feasibility Study,,"A Feasibility Study is a comprehensive technical and economic study of the selected development option for a mineral project that includes appropriately detailed assessments of applicable Modifying Factors together with any other relevant operational factors and detailed financial analysis that are necessary to demonstrate at the time of reporting that extraction is reasonably justified (economically mineable). The results of the study may reasonably serve as the basis for a final decision by a proponent or financial institution to proceed with, or finance, the development of the project. The confidence level of the study will be higher than that of a Pre-Feasibility Study.",,,,,https://linked.data.gov.au/def/JORC-Code
https://linked.data.gov.au/def/JORC-Code/Indicated-Mineral-Resource,Indicated Mineral Resource,,"An ‘Indicated Mineral Resource’ is that part of a Mineral Resource for which quantity, grade (or quality), densities, shape and physical characteristics are estimated with sufficient confidence to allow the application of Modifying Factors in sufficient detail to support mine planning and evaluation of the economic viability of the deposit. Geological evidence is derived from adequately detailed and reliable exploration, sampling and testing gathered through appropriate techniques from locations such as outcrops, trenches, pits, workings and drill holes, and is sufficient to assume geological and grade (or quality) continuity between points of observation where data and samples are gathered. An Indicated Mineral Resource has a lower level of confidence than that applying to a Measured Mineral Resource and may only be converted to a Probable Ore Reserve.",,,,,https://linked.data.gov.au/def/JORC-Code
https://linked.data.gov.au/def/JORC-Code/Inferred-Mineral-Resource,Inferred Mineral Resource,,"An ‘Inferred Mineral Resource’ is that part of a Mineral Resource for which quantity and grade (or quality) are estimated on the basis of limited geological evidence and sampling. Geological evidence is sufficient to imply but not verify geological and grade (or quality) continuity. It is based on exploration, sampling and testing information gathered through appropriate techniques from locations such as outcrops, trenches, pits, workings and drill holes. An Inferred Mineral Resource has a lower level of confidence than that applying to an Indicated Mineral Resource and must not be converted to an Ore Reserve. It is reasonably expected that the majority of Inferred Mineral Resources could be upgraded to Indicated Mineral Resources with continued exploration.",,,,,https://linked.data.gov.au/def/JORC-Code
https://linked.data.gov.au/def/JORC-Code/Measured-Mineral-Resource,Measured Mineral Resource,,"A ‘Measured Mineral Resource’ is that part of a Mineral Resource for which quantity, grade (or quality), densities, shape, and physical characteristics are estimated with confidence sufficient to allow the application of Modifying Factors to support detailed mine planning and final evaluation of the economic viability of the deposit. Geological evidence is derived from detailed and reliable exploration, sampling and testing gathered through appropriate techniques from locations such as outcrops, trenches, pits, workings and drill holes, and is sufficient to confirm geological and grade (or quality) continuity between points of observation where data and samples are gathered. A Measured Mineral Resource has a higher level of confidence than that applying to either an Indicated Mineral Resource or an Inferred Mineral Resource. It may be converted to a Proved Ore Reserve or under certain circumstances to a Probable Ore Reserve.",,,,,https://linked.data.gov.au/def/JORC-Code
https://linked.data.gov.au/def/JORC-Code/Mineral-Resource,Mineral Resource,,"A ‘Mineral Resource’ is a concentration or occurrence of solid material of economic interest in or on the Earth’s crust in such form, grade (or quality), and quantity that there are reasonable prospects for eventual economic extraction. The location, quantity, grade (or quality), continuity and other geological characteristics of a Mineral Resource are known, estimated or interpreted from specific geological evidence and knowledge, including sampling. Mineral Resources are subdivided, in order of increasing geological confidence, into Inferred, Indicated and Measured categories.",,,"https://linked.data.gov.au/def/JORC-Code/Indicated-Mineral-Resource|https://linked.data.gov.au/def/JORC-Code/Inferred-Mineral-Resource|https://linked.data.gov.au/def/JORC-Code/Measured-Mineral-Resource",,https://linked.data.gov.au/def/JORC-Code
https://linked.data.gov.au/def/JORC-Code/Modifying-Factors,Modifying Factors,,"‘Modifying Factors’ are considerations used to convert Mineral Resources to Ore Reserves. These include, but are not restricted to, mining, processing, metallurgical, infrastructure, economic, marketing, legal, environmental, social and governmental factors.",,,,,https://linked.data.gov.au/def/JORC-Code
https://linked.data.gov.au/def/JORC-Code/Ore-Reserve,Ore Reserve,,"An ‘Ore Reserve’ is the economically mineable part of a Measured and/or Indicated Mineral Resource. It includes diluting materials and allowances for losses, which may occur when the material is mined or extracted and is defined by studies at Pre-Feasibility or Feasibility level as appropriate that include application of Modifying Factors. Such studies demonstrate that, at the time of reporting, extraction could reasonably be justified. The reference point at which Reserves are defined, usually the point where the ore is delivered to the processing plant, must be stated. It is important that, in all situations where the reference point is different, such as for a saleable product, a clarifying statement is included to ensure that the reader is fully informed as to what is being reported.",Mineral Reserve,,"https://linked.data.gov.au/def/JORC-Code/Probable-Ore-Reserve|https://linked.data.gov.au/def/JORC-Code/Proved-Ore-Reserve",,https://linked.data.gov.au/def/JORC-Code
https://linked.data.gov.au/def/JORC-Code/Probable-Ore-Reserve,Probable Ore Reserve,,"A ‘Probable Ore Reserve’ is the economically mineable part of an Indicated, and in some circumstances, a Measured Mineral Resource. The confidence in the Modifying Factors applying to a Probable Ore Reserve is lower than that applying to a Proved Ore Reserve.",,,,,https://linked.data.gov.au/def/JORC-Code
https://linked.data.gov.au/def/JORC-Code/Proved-Ore-Reserve,Proved Ore Reserve,,A ‘Proved Ore Reserve’ is the economically mineable part of a Measured Mineral Resource. A Proved Ore Reserve implies a high degree of confidence in the Modifying Factors.,,,,,https://linked.data.gov.au/def/JORC-Code
https://linked.data.gov.au/def/JORC-Code/Pre-Feasibility-Study,Pre-Feasibility Study,,"A Preliminary Feasibility Study (Pre-Feasibility Study) is a comprehensive study of a range of options for the technical and economic viability of a mineral project that has advanced to a stage where a preferred mining method, in the case of underground mining, or the pit configuration, in the case of an open pit, is established and an effective method of mineral processing is determined. It includes a financial analysis based on reasonable assumptions on the Modifying Factors and the evaluation of any other relevant factors which are sufficient for a Competent Person, acting reasonably, to determine if all or part of the Mineral Resources may be converted to an Ore Reserve at the time of reporting. A Pre-Feasibility Study is at a lower confidence level than a Feasibility Study.",,,,,https://linked.data.gov.au/def/JORC-Code
https://linked.data.gov.au/def/JORC-Code/Public-reports,Public reports,,"Public Reports are reports prepared for the purpose of informing investors or potential investors and their advisers on Exploration Results, Mineral Resources or Ore Reserves. They include, but are not limited to, annual and quarterly company reports, press releases, information memoranda, technical papers, website postings and public presentations.",,,,,https://linked.data.gov.au/def/JORC-Code
https://linked.data.gov.au/def/JORC-Code/Scoping-Study,Scoping Study,,A Scoping Study is an order of magnitude technical and economic study of the potential viability of Mineral Resources. It includes appropriate assessments of realistically assumed Modifying Factors together with any other relevant operational factors that are necessary to demonstrate at the time of reporting that progress to a Pre-Feasibility Study can be reasonably justified.,,,,,https://linked.data.gov.au/def/JORC-Code
