iri,label,notation,definition,altLabels,broader,narrower,related,scheme
https://linked.data.gov.au/def/location-method/100k-geological-map-mga,1:100 000 geological map (MGA),,"Geographical location determined from published 1:100 000 geological maps, typically with an accuracy of about 100 m. Captured as Map Grid of Australia (MGA) 1994 coordinates.",,,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/100k-topographic-map-mga,1:100 000 topographic map (MGA),,"Geographical location determined from published 1:100 000 topographic maps, typically with an accuracy of about 100 m. Captured as Map Grid of Australia (MGA) 1994 coordinates.",,,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/1M-geological-map-mga,1:1 000 000 geological map (MGA),,"Geographical location determined from published 1:1 000 000 geological maps, typically with an accuracy of about 1000 m (1 kilometre). Captured as Map Grid of Australia (MGA) 1994 coordinates.",,,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/1M-topographic-map-mga,1:1 000 000 topographic map (MGA),,"Geographical location determined from published 1:1 000 000 topographic maps, typically with an accuracy of about 1000 m (1 kilometre). Captured as Map Grid of Australia (MGA) 1994 coordinates.",,,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/250k-geological-map-mga,1:250 000 geological map (MGA),,"Geographical location determined from published 1:250 000 geological maps, typically with an accuracy of about 250 m. Captured as Map Grid of Australia (MGA) 1994 coordinates.",,,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/250k-topographic-map-mga,1:250 000 topographic map (MGA),,"Geographical location determined from published 1:250 000 topographic maps, typically with an accuracy of about 250 m. Captured as Map Grid of Australia (MGA) 1994 coordinates.",,,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/25k-geological-map-mga,1:25 000 geological map (MGA),,"Geographical location determined from published 1:25 000 geological maps, typically with an accuracy of about 25 m. Captured as Map Grid of Australia (MGA) 1994 coordinates.",,,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/25k-topographic-map-mga,1:25 000 topographic map (MGA),,"Geographical location determined from published 1:25 000 topographic maps, typically with an accuracy of about 25 m. Captured as Map Grid of Australia (MGA) 1994 coordinates.",,,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/500k-geological-map-mga,1:500 000 geological map (MGA),,"Geographical location determined from published 1:500 000 geological maps, typically with an accuracy of about 500 m. Captured as Map Grid of Australia (MGA) 1994 coordinates.",,,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/500k-topographic-map-mga,1:500 000 topographic map (MGA),,"Geographical location determined from published 1:500 000 topographic maps, typically with an accuracy of about 500 m. Captured as Map Grid of Australia (MGA) 1994 coordinates.",,,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/50k-geological-map-mga,1:50 000 geological map (MGA),,"Geographical location determined from published 1:50 000 geological maps, typically with an accuracy of about 50 m. Captured as Map Grid of Australia (MGA) 1994 coordinates.",,,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/50k-topographic-map-mga,1:50 000 topographic map (MGA),,"Geographical location determined from published 1:50 000 topographic maps, typically with an accuracy of about 50 m. Captured as Map Grid of Australia (MGA) 1994 coordinates.",,,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/airphoto-alos-mga,capture from airphoto using ALOS (MGA),,Geographical location of points marked on hardcopy airphotos (or images thereof) determined by visual comparison with georeferenced imagery acquired by the Advanced Land Observing Satellite (ALOS; https://earth.esa.int/eogateway/missions/alos). Captured as Map Grid of Australia (MGA) 1994 coordinates. Accuracy is typically within 25 m.,,,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/airphoto-landsat-tm-mga,capture from airphoto using Landsat TM (MGA),,Geographical location of points marked on hardcopy airphotos (or images thereof) determined by determined visual comparison with georeferenced imagery acquired by NASA's Landsat Thematic Mapper (TM ) satellites. Captured as Map Grid of Australia (MGA) 1994 coordinates. Accuracy is typically within 25 m.,,,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/airphoto-mga,airphoto (MGA),,Geographical location of points marked on hardcopy airphotos (or images thereof) determined by visual comparison with georeferenced imagery. Captured as Map Grid of Australia (MGA) 1994 coordinates. Accuracy varies from 5 to 100 m.,"aerial photograph (MGA)|air photo (MGA)",,"https://linked.data.gov.au/def/location-method/airphoto-alos-mga|https://linked.data.gov.au/def/location-method/airphoto-landsat-tm-mga|https://linked.data.gov.au/def/location-method/airphoto-orthophoto-mga|https://linked.data.gov.au/def/location-method/airphoto-spot-p-mga|https://linked.data.gov.au/def/location-method/rectified-airphoto-mga",,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/airphoto-orthophoto-mga,capture from airphoto using orthophotograph (MGA),,"Geographical location of points marked on hardcopy airphotos (or images thereof) determined by visual comparison with georeferenced orthophotographs, i.e. aerial photos taken with a high resolution camera that have been geometrically corrected to give a uniform scale. Captured as Map Grid of Australia (MGA) 1994 coordinates. Accuracy depends on the scale of the airphoto and ranges between 25 m and 100 m.",,,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/airphoto-spot-p-mga,capture from airphoto using SPOT P (MGA),,"Geographical location of points marked on hardcopy airphotos (or images thereof) determined by visual comparison with georeferenced imagery acquired by Satellite Pour l'Observation de la Terre (SPOT P), a commercial satellite imaging system which uses a Panchromatic sensor to capture highly detailed black and white images. Captured as Map Grid of Australia (MGA) 1994 coordinates. Accuracy is typically 25 m.",,,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/rectified-airphoto-mga,capture from rectified airphoto scans (MGA),,Geographical location of points marked on the back of hardcopy airphotos (or images thereof) determined by: 1) scanning and rectifying position marks on the back of the airphoto; 2) scanning and rectifying the front of the airphoto; 3) overlaying a mirror image of the rectified scan of the back of the airphoto onto the rectified scan of the front. Captured as Map Grid of Australia (MGA) 1994 coordinates. Accuracy depends on the scale of the airphoto and ranges between 25 m and 100 m.,,,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/compass,compass surveying,,The determination of one's position by using a compass. The method uses angular measurements (with or without additional linear measurements) to determine the positions of points or survey lines. Accuracy is variable.,,,"https://linked.data.gov.au/def/location-method/compass-clinometer|https://linked.data.gov.au/def/location-method/compass-tape",,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/compass-clinometer,compass clinometer,,Used when the determination of a position is assisted by measuring the vertical inclination between a compass user and recognized objects in the distance; commonly combined with triangulation/bearing measurements. Accuracy is variable.,CC,,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/compass-tape,compass and tape,,"A surveying method by which a tape (or rope, chain or any long object) is laid out in lines to determine the linear measurement and the compass is used to give bearings (angular measurement), allowing the position of objects to be calculated. Accuracy is variable.","CT|compass and chain",,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/continuous-gyroscopic-survey,continuous gyroscopic survey,,A type of downhole orientation survey that uses a non-magnetic gyroscopic surveying instrument to continuously locate points along a borehole.,gyro survey,,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/copied-point,copied point,,"Used when a primary site is duplicated in a distinct (but often dependent) dataset. This is applied, for example, when a primary site for an environmental group site is copied from a matching mining site to enable use in a dependent database; typically, a new site identity is generated at this point that complies with the new database structure.",,,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/database,database,,Geographical location retrieved from a separate dataset.,,,"https://linked.data.gov.au/def/location-method/copied-point|https://linked.data.gov.au/def/location-method/external-database|https://linked.data.gov.au/def/location-method/textual-load",,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/external-database,external database (WGS/GDA),,Geographical location derived from a database source external to that of the organisation recording the observation. Accuracy is estimated to be within 100 m.,,,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/textual-load,textual load,,"The position of a feature is loaded from another, usually older, dataset.",,,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/differential-GPS,Differential GPS (WGS-84/GDA-94),,"Geographical location acquired with a Differential Global Positioning System (DGPS), i.e. a receiver instrument that utilises a network of fixed-position, ground-based reference stations that calculate the difference between their highly accurate known position and their less accurate satellite-derived position, thereby increasing the accuracy compared to a Global Positioning System that only utilises satellite stations. Accuracy varies from 15 m to a few centimetres, but it is commonly within 1 m. Captured using the World Geodetic System 1984 or, in Australia, the Geocentric Datum of Australia 1994.","DGPS|Differential GPS|Differential Global Positioning System",,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/document,document,,"Geographical location retrieved from a figure, image (including photos) or text, either individually or within a written document.",,,"https://linked.data.gov.au/def/location-method/mineral-exploration-report|https://linked.data.gov.au/def/location-method/published-report|https://linked.data.gov.au/def/location-method/unpublished-report",,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/mineral-exploration-report,mineral exploration report (MGA/WGS/GDA),,"Geographical location retrieved from a map, image, or text within an exploration report.",,,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/published-report,published report (MGA/WGS/GDA),,"Geographical location retrieved from a map, image, or text within a published document, e.g. an article in a journal, published thesis, etc. Accuracy estimated to be within 100 m.",,,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/unpublished-report,unpublished report (MGA/WGS/GDA),,"Geographical location retrieved from a map, image, or text within a written, unpublished document, e.g. an internal report, unpublished thesis, etc. Accuracy estimated to be within 100 m.",,,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/downhole-survey,downhole orientation survey,,Location of points along a borehole obtained while conducting downhole surveys.,down-hole survey,,"https://linked.data.gov.au/def/location-method/continuous-gyroscopic-survey|https://linked.data.gov.au/def/location-method/single-shot-survey",,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/single-shot-survey,single shot survey,,"A type of downhole orientation survey that uses a single shot, photographic borehole drift indicator to locate points along a borehole. This type of survey mostly applies to older boreholes, as it has been superseded by modern tools such as the gyroscope.",Eastman survey,,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/estimate,estimate within tenement,,"Used when the location of a site (e.g. drilling site) is known to be within a mineral tenement, but no precise coordinates are known. An estimated location of this type could be given the coordinates of the central point of the tenement, or coordinates are best estimated based on available data.",guess,,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/ga-common-earth-model,GA Common Earth Model (WGS-84),,"Geographical location based on Geoscience Australia (GA) Common Earth Model, a unified representation of Australia's geology that allows users to explore geological aspects of an area in detail. Accuracy estimated to be around 100 m.",,,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/geological-map-mga,geological map (MGA),,Geographical location determined from published geological maps at various scales. Captured as Map Grid of Australia (MGA) 1994 coordinates.,,,"https://linked.data.gov.au/def/location-method/100k-geological-map-mga|https://linked.data.gov.au/def/location-method/1M-geological-map-mga|https://linked.data.gov.au/def/location-method/250k-geological-map-mga|https://linked.data.gov.au/def/location-method/25k-geological-map-mga|https://linked.data.gov.au/def/location-method/500k-geological-map-mga|https://linked.data.gov.au/def/location-method/50k-geological-map-mga|https://linked.data.gov.au/def/location-method/non-standard-geological-map-mga",,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/non-standard-geological-map-mga,non-standard geological map (MGA),,"Geographical location determined from a geological map that uses a different scale, projection, or set of symbols from standard geological maps. Accuracy is estimated at 100 m. Non-standard geological maps are usually produced for specific areas or at specific sizes/scales, usually to highlight the geology of a defined area or geological region, or to present specific sets of features.",,,,,https://linked.data.gov.au/def/location-method
https://linked.data.gov.au/def/location-method/google-earth,Google Earth (WGS-84),,"Geographical location determined from Google Earth, a virtual model of Earth which uses the World Geodetic System 1984 (WGS-84) as its coordinate system. Typically accurate to 50 m.",,,,,https://linked.data.gov.au/def/location-method
