iri,label,notation,definition,altLabels,broader,narrower,related,scheme
https://linked.data.gov.au/def/metamorphic-facies/albite-epidote-hornfels,albite-epidote hornfels,,"A metamorphic facies representing low to moderate temperatures and low or very low pressures, with temperature lower than the hornblende hornfels facies and pressure lower than the greenschist facies. Metabasic rocks are represented by the assemblage albite–epidote–actinolite–chlorite–quartz, analogous to that of the greenschist facies. Metapelitic rocks exhibit the association of muscovite–biotite–chlorite–quartz, analogous to the greenschist facies. The distinction between the greenschist and albite–epidote facies is textural — undeformed hornfels versus foliated schists — rather than mineralogical. It should be noted, though, that although traditionally defined as undeformed, hornfels facies rocks exhibiting deformation features have been documented in the geological record. The facies corresponds to temperatures of about 300–450 °C at pressures less than about 2 kbar. It is typical of metamorphism in the outer parts of contact aureoles, under ultrahigh (geo)thermal gradient and heat flow conditions. Numerous studies do not give facies status to albite-epidote hornfels.",,,,,https://linked.data.gov.au/def/metamorphic-facies
https://linked.data.gov.au/def/metamorphic-facies/amphibolite,amphibolite,,"Metamorphic facies representing moderate pressure and temperature conditions. It lies between the epidote–amphibolite (or greenschist) and granulite facies. Amphibolite facies mineral assemblages in metabasic rocks are represented by hornblende–plagioclase, the plagioclase being oligoclase–andesine or more calcic varieties (Eskola, 1939), with epidote and almandine garnet common. Metapelitic rocks are characterized by diagnostic mineral assemblages containing micas associated with garnet, staurolite, kyanite or sillimanite at higher pressures, and andalusite or cordierite at lower pressures within the facies. Amphibolite facies is typical of regional metamorphism at pressures of about 4.5 – 15kbar and of regional or contact metamorphism at pressures less than about 4.5kbar. Temperatures span the range 450–700 °C, and in situ partial melting of rocks occurs in the upper part of this range (above about 650°C). The facies encompasses moderate to high (geo)thermal gradients and heat flow typical of many tectonic environments, and it is thus is a common metamorphic facies for metamorphosed rocks.",,,"https://linked.data.gov.au/def/metamorphic-facies/high-P-amphibolite|https://linked.data.gov.au/def/metamorphic-facies/lower-amphibolite|https://linked.data.gov.au/def/metamorphic-facies/middle-amphibolite|https://linked.data.gov.au/def/metamorphic-facies/upper-amphibolite",,https://linked.data.gov.au/def/metamorphic-facies
https://linked.data.gov.au/def/metamorphic-facies/high-P-amphibolite,high-P amphibolite,,"The upper range of pressure conditions for the amphibolite facies, typically characterized by the presence of kyanite and garnet in metapelitic rocks, and garnet and increasingly sodic clinopyroxene in metabasic rocks.",,,,,https://linked.data.gov.au/def/metamorphic-facies
https://linked.data.gov.au/def/metamorphic-facies/lower-amphibolite,lower amphibolite,,"The lower range of temperature conditions for the amphibolite facies, typically characterised by staurolite, garnet and chloritoid in metapelitic rocks.",,,,,https://linked.data.gov.au/def/metamorphic-facies
https://linked.data.gov.au/def/metamorphic-facies/middle-amphibolite,middle amphibolite,,"The mid range of temperature conditions for the amphibolite facies, typically characterized by the presence of staurolite, andalusite and kyanite in metapelitic rocks.",,,,,https://linked.data.gov.au/def/metamorphic-facies
https://linked.data.gov.au/def/metamorphic-facies/upper-amphibolite,upper amphibolite,,"The upper range of temperature conditions for the amphibolite facies, typically characterized by the presence of kyanite or sillimanite and leucosomes (evidence of partial melting) in metapelitic rocks.",,,,,https://linked.data.gov.au/def/metamorphic-facies
https://linked.data.gov.au/def/metamorphic-facies/blueschist,blueschist,,"A metamorphic facies diagnostic of high-pressure (>2 GPa), low-temperature (<500 °C) metamorphism of mafic rocks. Mafic rocks at blueschist facies are represented by combinations of the diagnostic sodic amphibole (e.g. glaucophane, crossite) and lawsonite, sodic pyroxene, aragonite, epidote, and garnet. The mineral pair jadeite–quartz is also diagnostic. Blueschist facies metasiliciclastic rocks may contain diagnostic mineral assemblages involving carpholite, chloritoid, talc, kyanite and phengitic white mica. The facies represents lower temperatures and higher pressures than the greenschist and prehnite–pumpelleyite facies, lower pressures than eclogite facies, and temperatures less than the amphibolite facies (less than about 500°C). At depths indicative of blueschist facies, lower temperatures are not realised in Earth. Blueschist facies metamorphism is associated with tectonic environments in which rocks experience near isothermal compression followed by near isothermal decompression, such as at subduction zones (i.e. unusually low (geo)thermal gradients and heat flow). The term blueschist can also be used as a rock type, so when used as a facies name, the facies context should be made clear (i.e. blueschist-facies rock).",,,,,https://linked.data.gov.au/def/metamorphic-facies
https://linked.data.gov.au/def/metamorphic-facies/eclogite,eclogite,,"Metamorphic facies corresponding to high grade and middle to high P/T values, and bounded (in rocks of suitable composition) by the omphacite–garnet-in reactions. Metabasic rocks are represented by omphacitic pyroxene and almandine–pyrope garnet, and lawsonite in the coolest rocks. Also common, but not essential, is the association pyrope–olivine–diopside–enstatite. At ultra-high pressures (minimum 28kbar at 600°C), coesite, diamond or majoritic garnet occur in metabasic rocks. Metapelitic rocks are not typically reported as having recorded eclogite-facies conditions and therefore diagnostic mineral assemblages are not reported for them. The facies represents the highest pressures possible for metamorphism in Earth's crust and upper mantle. It occurs to higher pressure than the blueschist, amphibolite and granulite facies (approximately >15kbar), and over a broad range of temperatures (approximately >500°C). The facies encompasses low to moderate (geo)thermal gradients and heat flow, and subduction environments are typical for the lower temperature part of the eclogite facies.",,,,,https://linked.data.gov.au/def/metamorphic-facies
https://linked.data.gov.au/def/metamorphic-facies/epidote–amphibolite,epidote–amphibolite,,"Metamorphic facies formed at low to moderate temperatures and pressures, considered to be transitional between the greenschist facies and the amphibolite facies. It is characterized by temperatures of about 400–450°C and spans low to moderate (geo)thermal gradients and heat flow. In metabasic rocks, the facies is represented by hornblende–albite–epidote, where plagioclase has an anorthite content <17 (albite–oligoclase). Given the presence of epidote–plagioclase (An<17), it is considered by some workers as a high grade subfacies of the greenschist facies.",,,,,https://linked.data.gov.au/def/metamorphic-facies
https://linked.data.gov.au/def/metamorphic-facies/granulite,granulite,,"Metamorphic facies representing the highest grades of metamorphism; it forms at high temperature and at medium and high pressure/temperature values and lies between the eclogite and pyroxene-hornfels facies. It is characterized by clinopyroxene (diopside) – orthopyroxene (hypersthene) – plagioclase assemblages with minor and usually Ti-rich amphibole in rocks of basaltic composition. Almandine-rich garnet is characteristic of metabasic and metapelitic rocks. Metapelitic mineral assemblages show the association of sillimanite or kyanite with perthitic feldspar and garnet at higher pressures, and cordierite and orthopyroxene at lower pressures; muscovite is absent and biotite abundance is low. At the highest temperatures, diagnostic minerals are sapphirine and osumilite in Mg-rich metasiliciclastic rocks. The presence of leucosomes due to in situ partial melting is common. The facies occurs at higher temperature than the amphibolite facies. The facies is typical of regional or high-temperature contact metamorphism at pressures of about 2–17kbar in excess of about 700–750°C. The facies encompasses moderate to high (geo)thermal gradients and heat flow typical of many tectonic environments, and it is thus a common metamorphic facies for metamorphosed rocks.",,,https://linked.data.gov.au/def/metamorphic-facies/high-P-granulite,,https://linked.data.gov.au/def/metamorphic-facies
https://linked.data.gov.au/def/metamorphic-facies/high-P-granulite,high-P granulite,,"High-pressure subset of the granulite facies, reserved for rocks within the kyanite stability field, but below pressures corresponding to the stability of jadeite–quartz of the eclogite facies. It is typical of high-grade regional metamorphism of deep crust under moderate (geo)thermal gradient and heat flow conditions. The highest temperature high-pressure granulite facies rocks probably require rocks to be pre-conditioned (refractory) in order for such thermal conditions to be attained.","HPG|high-pressure granulite (HPG)",,,,https://linked.data.gov.au/def/metamorphic-facies
https://linked.data.gov.au/def/metamorphic-facies/greenschist,greenschist,,"Metamorphic facies representing low grades of metamorphism. At greenschist facies, metabasic rocks are represented by actinolite–albite–epidote–chlorite (Eskola, 1939). Chlorite, white mica, biotite and chloritoid are typical minerals in metasiliciclastic rocks. Greenschist facies develops at low to medium temperatures and pressures, and lies between the epidote–amphibolite and subgreenschist facies. It corresponds to temperatures in the range 300–450°C and spans a large range from low to high apparent thermal gradients typical of many tectonic environments, meaning it is a common metamorphic facies for metamorphosed rocks.",,,"https://linked.data.gov.au/def/metamorphic-facies/lower-greenschist|https://linked.data.gov.au/def/metamorphic-facies/upper-greenschist",,https://linked.data.gov.au/def/metamorphic-facies
https://linked.data.gov.au/def/metamorphic-facies/lower-greenschist,lower greenschist,,"The lower range of temperature conditions that greenschist facies can form in, transitional with and overlapping with the prehnite–pumpellyite facies.",,,,,https://linked.data.gov.au/def/metamorphic-facies
https://linked.data.gov.au/def/metamorphic-facies/upper-greenschist,upper greenschist,,"The upper range of temperature conditions for the greenschist facies, characterized by stable oligoclase and actinolite-to-hornblende transition. It overlaps with and includes the lowest temperature range of lower amphibolite facies.",,,,,https://linked.data.gov.au/def/metamorphic-facies
