iri,label,notation,definition,altLabels,broader,narrower,related,scheme
https://linked.data.gov.au/def/metamorphic-P-T-trajectory/anticlockwise,anticlockwise,,"Describes the apparent direction of the sequential path on a P–T diagram, where the x-axis is temperature, and the y-axis is pressure (with positive ordinates above the abscissa). Anticlockwise P–T paths are those in which the thermal maximum (peak temperature) is reached prior to the peak pressure being attained. These P–T paths generally reflect high (geo)thermal gradient and heat flow conditions.",,,,,https://linked.data.gov.au/def/metamorphic-P-T-trajectory
https://linked.data.gov.au/def/metamorphic-P-T-trajectory/clockwise,clockwise,,"Describes the apparent direction of the sequential path on a P–T diagram, where the x-axis is temperature, and the y-axis is pressure (with positive ordinates above the abscissa). Clockwise P–T paths are those in which peak pressure is reached prior to peak temperature being attained. These P–T paths generally reflect burial and subsequent heating under low to intermediate (geo)thermal gradient and heat flow conditions.",,,,,https://linked.data.gov.au/def/metamorphic-P-T-trajectory
https://linked.data.gov.au/def/metamorphic-P-T-trajectory/isobaric,isobaric,,Metamorphic conditions under which the pressure (P) remains constant over a period of time (t) during a metamorphic event.,,,"https://linked.data.gov.au/def/metamorphic-P-T-trajectory/isobaric-cooling|https://linked.data.gov.au/def/metamorphic-P-T-trajectory/isobaric-heating",,https://linked.data.gov.au/def/metamorphic-P-T-trajectory
https://linked.data.gov.au/def/metamorphic-P-T-trajectory/isobaric-cooling,isobaric cooling,,Metamorphic conditions under which the pressure (P) remains constant as temperature decreases (i.e. cooling) over a period of time (t).,,,,,https://linked.data.gov.au/def/metamorphic-P-T-trajectory
https://linked.data.gov.au/def/metamorphic-P-T-trajectory/isobaric-heating,isobaric heating,,Metamorphic conditions under which the pressure (P) remains constant as temperature increases (i.e. heating) over a period of time (t).,,,,,https://linked.data.gov.au/def/metamorphic-P-T-trajectory
https://linked.data.gov.au/def/metamorphic-P-T-trajectory/isothermal,isothermal,,"Metamorphic conditions under which the temperature (T) remains constant over a period of time (t), during a metamorphic event.",,,"https://linked.data.gov.au/def/metamorphic-P-T-trajectory/isothermal-P-decrease|https://linked.data.gov.au/def/metamorphic-P-T-trajectory/isothermal-P-increase",,https://linked.data.gov.au/def/metamorphic-P-T-trajectory
https://linked.data.gov.au/def/metamorphic-P-T-trajectory/isothermal-P-decrease,isothermal pressure decrease,,Metamorphic conditions under which the temperature (T) remains constant while the pressure decreases over a period of time (t).,,,,,https://linked.data.gov.au/def/metamorphic-P-T-trajectory
https://linked.data.gov.au/def/metamorphic-P-T-trajectory/isothermal-P-increase,isothermal pressure increase,,Metamorphic conditions under which the temperature (T) remains constant while pressure increases over a period of time (t).,,,,,https://linked.data.gov.au/def/metamorphic-P-T-trajectory
https://linked.data.gov.au/def/metamorphic-P-T-trajectory/near-isobaric-cooling,near-isobaric cooling,,Metamorphic conditions under which the pressure (P) remains nearly constant over a period of time (t) during a metamorphic cooling event.,,,,,https://linked.data.gov.au/def/metamorphic-P-T-trajectory
https://linked.data.gov.au/def/metamorphic-P-T-trajectory/near-isobaric-heating,near-isobaric heating,,Metamorphic conditions under which the pressure (P) remains nearly constant over a period of time (t) during a metamorphic heating event.,,,,,https://linked.data.gov.au/def/metamorphic-P-T-trajectory
https://linked.data.gov.au/def/metamorphic-P-T-trajectory/near-isothermal-compression,near-isothermal compression,,Metamorphic conditions under which the temperature (T) remains nearly constant over a period of time (t) during a metamorphic compression event.,,,,,https://linked.data.gov.au/def/metamorphic-P-T-trajectory
https://linked.data.gov.au/def/metamorphic-P-T-trajectory/near-isothermal-decompression,near-isothermal decompression,,Metamorphic conditions under which the temperature (T) remains nearly constant over a period of time (t) during a metamorphic decompression event.,,,,,https://linked.data.gov.au/def/metamorphic-P-T-trajectory
https://linked.data.gov.au/def/metamorphic-P-T-trajectory/unknown,unknown,,The pressure(P)–temperature(T)–time(t) path for a specific metamorphic event is unknown.,,,,,https://linked.data.gov.au/def/metamorphic-P-T-trajectory
