iri,label,notation,definition,altLabels,broader,narrower,related,scheme
https://linked.data.gov.au/def/sample-condition/arsenic-bearing,arsenic-bearing,,"A sample or specimen containing inorganic arsenic, either as an element or a compound (e.g. in sulfide minerals), and forming naturally or as part of storage (e.g. concentration of toxic vapours in enclosed spaces). Inorganic arsenic is a highly toxic and carcinogenic component, known to be harmful to human health if inhaled, ingested or absorbed.",,https://linked.data.gov.au/def/sample-condition/poisonous,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/poisonous,poisonous,,"A sample or specimen that contains minerals harmful to human health when breathed, touched or ingested.",,https://linked.data.gov.au/def/sample-condition/hazardous,"https://linked.data.gov.au/def/sample-condition/arsenic-bearing|https://linked.data.gov.au/def/sample-condition/mercury-bearing",,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/asbestos-bearing,asbestos-bearing,,"A sample or specimen containing acicular or fibrous asbestos (serpentine or amphibole) minerals, either naturally or as part of storage materials, which can cause internal damage if breathed or ingested.",,https://linked.data.gov.au/def/sample-condition/fibrous,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/fibrous,fibrous,,"A sample or specimen consisting of or containing fibres, i.e. threads or filaments that can easily break off during handling and potentially be inhaled, absorbed or ingested.",,https://linked.data.gov.au/def/sample-condition/hazardous,https://linked.data.gov.au/def/sample-condition/asbestos-bearing,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/biohazard,biohazard,,"A sample or specimen containing biologically hazardous materials, whether naturally, as part of storage materials, or due to a fault.","contaminated|mouldy",https://linked.data.gov.au/def/sample-condition/hazardous,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/hazardous,hazardous,,A sample or specimen that presents some form of hazard to humans or the storage environment.,,,"https://linked.data.gov.au/def/sample-condition/poisonous|https://linked.data.gov.au/def/sample-condition/fibrous|https://linked.data.gov.au/def/sample-condition/biohazard|https://linked.data.gov.au/def/sample-condition/dusty|https://linked.data.gov.au/def/sample-condition/flammable|https://linked.data.gov.au/def/sample-condition/heavy|https://linked.data.gov.au/def/sample-condition/hydrocarbon-bearing|https://linked.data.gov.au/def/sample-condition/radioactive|https://linked.data.gov.au/def/sample-condition/salty|https://linked.data.gov.au/def/sample-condition/sharp|https://linked.data.gov.au/def/sample-condition/unwieldy",,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/broken,broken,,"A sample or specimen where the object has been broken during collection, storage or analysis. This differs from multi-part or segmented specimens or samples in that the damage and disaggregation of the object is human-caused and accidental.",fractured,https://linked.data.gov.au/def/sample-condition/poor,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/poor,poor,,"A sample or specimen considered of poor preservation, quality and/or usefulness, i.e. it is no longer performing its intended purpose, shows signs of imminent failure or breakdown and/or requires major repair/replacement.",low-quality,,"https://linked.data.gov.au/def/sample-condition/broken|https://linked.data.gov.au/def/sample-condition/chipped|https://linked.data.gov.au/def/sample-condition/degraded|https://linked.data.gov.au/def/sample-condition/flaking|https://linked.data.gov.au/def/sample-condition/incomplete|https://linked.data.gov.au/def/sample-condition/corroded|https://linked.data.gov.au/def/sample-condition/worn",,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/chemically-vulnerable,chemically vulnerable,,"A sample or specimen that is vulnerable to damage when exposed to specific chemical compounds. This vulnerability may include one specific chemical class/type, or a wide range of compounds.",,https://linked.data.gov.au/def/sample-condition/vulnerable,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/vulnerable,vulnerable,,"A sample or specimen that is vulnerable to specific forms of non-physical degradation, such as humidity or temperature fluctuations, light conditions, and contacting chemicals or treatments.",,,"https://linked.data.gov.au/def/sample-condition/chemically-vulnerable|https://linked.data.gov.au/def/sample-condition/fragile|https://linked.data.gov.au/def/sample-condition/hygroscopic-or-hydrophilic|https://linked.data.gov.au/def/sample-condition/oxygen-sensitive|https://linked.data.gov.au/def/sample-condition/photosensitive|https://linked.data.gov.au/def/sample-condition/thermally-vulnerable",,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/chipped,chipped,,A sample or specimen damaged by having a small piece broken off at the edge or on the surface.,,https://linked.data.gov.au/def/sample-condition/poor,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/coated,coated,,"A sample or specimen partially covered with a thin layer of a chemical or compound selected for the purposes of improved visualisation (e.g. resin), analysis (e.g. carbon, oil or quartz coating) or protection (e.g. glass)",,https://linked.data.gov.au/def/sample-condition/enhanced,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/enhanced,enhanced,,"A sample or specimen altered in any way to improve its quality or value, or to emphasize its aesthetic appeal.",,,"https://linked.data.gov.au/def/sample-condition/coated|https://linked.data.gov.au/def/sample-condition/mounted|https://linked.data.gov.au/def/sample-condition/polished|https://linked.data.gov.au/def/sample-condition/shaped|https://linked.data.gov.au/def/sample-condition/cleaned",,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/consolidated,consolidated,,"A sample or specimen which has undergone past repair by impregnating weakened, crumbling or porous surfaces or sections with a consolidant (e.g. paraloid, resin), where the area of repair may become a future vulnerability or hazard or may impede future study or repair processes.",impregnated,https://linked.data.gov.au/def/sample-condition/repaired,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/repaired,repaired,,"A sample or specimen which has undergone some form of past restoration, where the point of repair may become a future vulnerability or hazard, or detract from the value (monetary or other) of the sample/specimen.","fixed|reassembled|reconstituted",,"https://linked.data.gov.au/def/sample-condition/consolidated|https://linked.data.gov.au/def/sample-condition/glued",,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/degraded,degraded,,A sample or specimen where the loss of object integrity occurs after collection and is due to intrinsic specimen/sample vulnerabilities or improper collection or storage processes.,,https://linked.data.gov.au/def/sample-condition/poor,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/dusty,dusty,,"A sample or specimen that is naturally crumbly or granular and forms fine-grained, abrasive or poisonous particles when disturbed, whether naturally or as part of storage materials.",crumbly,https://linked.data.gov.au/def/sample-condition/hazardous,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/embedded,embedded,,"A sample or specimen fixed firmly and deeply within a supporting/enclosing material. The term can be used to describe specimens embedded in mounting media such as wax, epoxies, acrylics and polyesters, or in thermosetting resins or thermoplastics.","enclosed|sealed",https://linked.data.gov.au/def/sample-condition/preserved,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/preserved,preserved,,"A sample or specimen, often core, that has been wrapped, sealed, immersed or otherwise conserved separate from other materials, either in preparation for specific analyses or to preserve a specific component or condition.",,,"https://linked.data.gov.au/def/sample-condition/embedded|https://linked.data.gov.au/def/sample-condition/refrigerated|https://linked.data.gov.au/def/sample-condition/submerged|https://linked.data.gov.au/def/sample-condition/under-vacuum",,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/fair,fair,,"A sample or specimen considered of average preservation, quality and/or usefulness, i.e. has early signs of wear or deterioration, though the element is generally structurally sound and performing its intended purpose.",average,,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/flaking,flaking,,A sample or specimen with smaller parts peeling off from its surface. The term may also refer to the breakage of storage materials (e.g. plastic bags).,peeling,https://linked.data.gov.au/def/sample-condition/poor,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/flammable,flammable,,"A sample or specimen containing inflammable, flammable or flame-sustaining materials, whether naturally, or as part of treatment or storage materials.",inflammable,https://linked.data.gov.au/def/sample-condition/hazardous,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/fragile,fragile,,"A sample or specimen that is physically vulnerable or prone to breakage, whether due to material, form, shape, or condition.",delicate,https://linked.data.gov.au/def/sample-condition/vulnerable,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/framed,framed,,A sample or specimen mounted on and surrounded by a rigid structure that supports it.,,https://linked.data.gov.au/def/sample-condition/mounted,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/mounted,mounted,,"A sample or specimen fixed permanently or semi-permanently to a surface, pedestal or wall, or in a frame, or encapsulated within a suitable medium.",,https://linked.data.gov.au/def/sample-condition/enhanced,https://linked.data.gov.au/def/sample-condition/framed,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/glued,glued,,"A sample or specimen which has undergone past repair by gluing on broken elements or sections, where the area of repair may become a future vulnerability or hazard",,https://linked.data.gov.au/def/sample-condition/repaired,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/good,good,,"A sample or specimen considered of good preservation, quality and/or usefulness, i.e. is intact, structurally sound and performing its intended purpose, with few or no cosmetic imperfections, and needing no repair other than minor/routine maintenance.","good|high-quality",,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/heavy,heavy,,"A sample or specimen which requires special tools or multiple persons to move due to its mass, or a sample or specimen of greater density than commonly anticipated based on its dimensions, potentially complicating its safe movement.",,https://linked.data.gov.au/def/sample-condition/hazardous,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/hydrocarbon-bearing,hydrocarbon bearing,,A sample or specimen (usually core or cuttings) containing natural hydrocarbon (e.g. oil) that can leak while in storage or during handling.,,https://linked.data.gov.au/def/sample-condition/hazardous,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/hygroscopic-or-hydrophilic,hygroscopic or hydrophilic,,"A sample or specimen that is vulnerable to humidity fluctuations, or which has a propensity to absorb or attract water or other fluids from the surrounding environment, resulting in specimen damage.",,https://linked.data.gov.au/def/sample-condition/vulnerable,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/incomplete,incomplete,,"A sample or specimen representing part of an original whole, due to the loss of part of the object.",partial,https://linked.data.gov.au/def/sample-condition/poor,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/mercury-bearing,mercury-bearing,,"A sample or specimen containing mercury, either as an element or a compound (e.g. in sulfide minerals), and forming naturally or as part of storage (e.g. concentration of toxic vapours in enclosed spaces). Mercury is harmful to human health if inhaled, ingested or absorbed.",,https://linked.data.gov.au/def/sample-condition/poisonous,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/oxygen-sensitive,oxygen sensitive,,A sample or specimen likely to react (tarnish) and lose its lustre if exposed to air.,oxidation prone,https://linked.data.gov.au/def/sample-condition/vulnerable,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/photosensitive,photosensitive,,A sample or specimen that is vulnerable to degradation when exposed to long-term light or UV exposure.,,https://linked.data.gov.au/def/sample-condition/vulnerable,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/polished,polished,,"A sample or specimen whose surface is made smooth and shiny to improve its aesthetics, enhance details of its external/internal texture or in preparation for analytical work.",,https://linked.data.gov.au/def/sample-condition/enhanced,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/radioactive,radioactive,,"A sample or specimen with radiation dose quantities greater than 50 μSv/h, requiring assessment for storage suitability and precautionary measures. Samples with readings greater than 100 μSv/h will not be stored in a GSWA collection.",,https://linked.data.gov.au/def/sample-condition/hazardous,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/refrigerated,refrigerated,,"A sample or specimen needing to be preserved at low temperatures, i.e. below room temperature or in freezing conditions (e.g. organic specimens or ice cores).",,https://linked.data.gov.au/def/sample-condition/preserved,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/salty,salty,,"A sample or specimen containing high levels of salt minerals, including halite or gypsum. Halite can have a corrosive effect on storage materials.",,https://linked.data.gov.au/def/sample-condition/hazardous,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/segmented,segmented,,"A sample or specimen which has been divided into multiple associated parts as part of collection, storage or analysis. This differs from multi-part samples or specimens in that the segmentation of the object is unnatural; and from broken samples or specimens in that segmentation is intentional and for a stated purpose. Segmentation of material does not necessarily correspond to a degradation of specimen usefulness, and therefore a transition from fair to poor general condition may apply.","cut|dissected",,,,https://linked.data.gov.au/def/sample-condition
https://linked.data.gov.au/def/sample-condition/separated,separated,,"A sample or specimen representing part of an original whole, where some parts or components have been split from the item and reside with other individuals or organizations.",split,https://linked.data.gov.au/def/sample-condition/multi-part,,,https://linked.data.gov.au/def/sample-condition
