iri,label,notation,definition,altLabels,broader,narrower,related,scheme
https://linked.data.gov.au/def/sample-curation-status/archived,archived,,"A sample or specimen held at a storage location in an archived state, i.e. the sample/specimen has been fully assessed, prepared and recorded.",in storage,,,,https://linked.data.gov.au/def/sample-curation-status
https://linked.data.gov.au/def/sample-curation-status/awaiting-registration,awaiting registration,,"A sample flagged for permanent archiving, but currently in temporary storage awaiting registration.",,,,,https://linked.data.gov.au/def/sample-curation-status
https://linked.data.gov.au/def/sample-curation-status/consumed,consumed,,No part or amount of the sample or specimen remains extant as a result of intentional (e.g. analysis or processing) events. This excludes any child materials developed from the original destroyed sample. Any corresponding records in the collection management system(s) should be archived.,,https://linked.data.gov.au/def/sample-curation-status/deaccessioned,,,https://linked.data.gov.au/def/sample-curation-status
https://linked.data.gov.au/def/sample-curation-status/deaccessioned,deaccessioned,,"A sample or specimen removed from storage or not retained permanently, based on a perceived lack of space, the material's unsuitability for storage (e.g. hazardous), poor condition, and/or limited utility or applicability to ongoing studies. Any corresponding records in the collection management system(s) should be archived.",,,"https://linked.data.gov.au/def/sample-curation-status/consumed|https://linked.data.gov.au/def/sample-curation-status/destroyed|https://linked.data.gov.au/def/sample-curation-status/discarded|https://linked.data.gov.au/def/sample-curation-status/donated|https://linked.data.gov.au/def/sample-curation-status/restituted",,https://linked.data.gov.au/def/sample-curation-status
https://linked.data.gov.au/def/sample-curation-status/destroyed,destroyed,,No part or amount of the sample or specimen remains extant as a result of unintentional (e.g. accidental damage) events. This excludes any child materials developed from the original destroyed sample. Any corresponding records in the collection management system(s) should be archived.,,https://linked.data.gov.au/def/sample-curation-status/deaccessioned,,,https://linked.data.gov.au/def/sample-curation-status
https://linked.data.gov.au/def/sample-curation-status/discarded,discarded,,"Sample or specimen has been intentionally removed from formal collections due to a perceived lack of space, the material's unsuitability for storage (e.g. hazardous), poor condition, and/or limited utility or applicability to ongoing studies (e.g. unknown origin/provenance). Disposed material is generally placed in the trash or informally donated due to a lack of value. Any corresponding records in the collection management system(s) should be archived.",disposed of,https://linked.data.gov.au/def/sample-curation-status/deaccessioned,,,https://linked.data.gov.au/def/sample-curation-status
https://linked.data.gov.au/def/sample-curation-status/donated,donated,,Sample or specimen has been permanently transferred to another organization through mutual agreement or arrangement. Any corresponding records in the collection management system(s) should be archived.,,https://linked.data.gov.au/def/sample-curation-status/deaccessioned,,,https://linked.data.gov.au/def/sample-curation-status
https://linked.data.gov.au/def/sample-curation-status/in-transit,in transit,,The sample or specimen is being moved between locations.,,,,,https://linked.data.gov.au/def/sample-curation-status
https://linked.data.gov.au/def/sample-curation-status/loaned-in,loaned in,,Sample or specimen brought in temporarily from an outside source or organization under a limited-term agreement.,,https://linked.data.gov.au/def/sample-curation-status/loan,,,https://linked.data.gov.au/def/sample-curation-status
https://linked.data.gov.au/def/sample-curation-status/loan,loan,,"A sample or specimen moved outside its registered storage facility on the basis of a formal agreement with a person or institution, usually for display or study purposes.",borrowed,,"https://linked.data.gov.au/def/sample-curation-status/loaned-in|https://linked.data.gov.au/def/sample-curation-status/long-term-loan|https://linked.data.gov.au/def/sample-curation-status/on-loan-external|https://linked.data.gov.au/def/sample-curation-status/on-loan-internal|https://linked.data.gov.au/def/sample-curation-status/permanent-loan",,https://linked.data.gov.au/def/sample-curation-status
