iri,label,notation,definition,altLabels,broader,narrower,related,scheme
https://linked.data.gov.au/def/sample-nomenclature-publication-status/allotype-ICZN,allotype - ICZN,,"An obsolete term, no longer regulated by the International Code of Zoological Nomenclature (ICZN), for a designated specimen of opposite sex to the holotype. No equivalent exists in the International Code of Nomenclature for algae, fungi and plants (ICN).",zoological allotype,https://linked.data.gov.au/def/sample-nomenclature-publication-status/type-specimen-ICZN,,,https://linked.data.gov.au/def/sample-nomenclature-publication-status
https://linked.data.gov.au/def/sample-nomenclature-publication-status/type-specimen-ICZN,type specimen - ICZN,,"A specimen (or series of specimens) that provides the objective standard of reference whereby the application of the name of a nominal taxon can be determined, under the provisions of the International Code of Zoological Nomenclature (ICZN; 1999, with 2012 amendments). Type specimens are generally divided into primary (e.g. holotype, lectotype, syntype, neotype) or secondary (e.g. paratype, paralectotype) types, with primary types being of greater scientific importance. Recognizing that name-bearing types are international standards of reference, type specimens should be deposited in an institution that maintains a research collection, with proper facilities for preserving them and making them accessible for study.","name-bearing type|zoological type",https://linked.data.gov.au/def/sample-nomenclature-publication-status/type-specimen-fossil,"https://linked.data.gov.au/def/sample-nomenclature-publication-status/allotype-ICZN|https://linked.data.gov.au/def/sample-nomenclature-publication-status/cotype-ICZN|https://linked.data.gov.au/def/sample-nomenclature-publication-status/hapantotype-ICZN|https://linked.data.gov.au/def/sample-nomenclature-publication-status/holotype-ICZN|https://linked.data.gov.au/def/sample-nomenclature-publication-status/lectotype-ICZN|https://linked.data.gov.au/def/sample-nomenclature-publication-status/neotype-ICZN|https://linked.data.gov.au/def/sample-nomenclature-publication-status/paralectotype-ICZN|https://linked.data.gov.au/def/sample-nomenclature-publication-status/paratype-ICZN|https://linked.data.gov.au/def/sample-nomenclature-publication-status/syntype-ICZN|https://linked.data.gov.au/def/sample-nomenclature-publication-status/topotype-ICZN|https://linked.data.gov.au/def/sample-nomenclature-publication-status/type-series-ICZN",,https://linked.data.gov.au/def/sample-nomenclature-publication-status
https://linked.data.gov.au/def/sample-nomenclature-publication-status/cited,cited,,"A sample or specimen that has been mentioned or listed in a formal (peer-reviewed) scientific publication, but not imaged (drawn or photographed) or formally described. This term is only applicable to non-type samples or specimens.","quoted|referenced",https://linked.data.gov.au/def/sample-nomenclature-publication-status/specimen-publication-status,,,https://linked.data.gov.au/def/sample-nomenclature-publication-status
https://linked.data.gov.au/def/sample-nomenclature-publication-status/specimen-publication-status,specimen publication status,,"The status of a specimen in relation to how it has been portrayed in the scientific literature (e.g. figured, cited)",,,"https://linked.data.gov.au/def/sample-nomenclature-publication-status/cited|https://linked.data.gov.au/def/sample-nomenclature-publication-status/described-and-published|https://linked.data.gov.au/def/sample-nomenclature-publication-status/figured",,https://linked.data.gov.au/def/sample-nomenclature-publication-status
https://linked.data.gov.au/def/sample-nomenclature-publication-status/cotype-ICZN,cotype - ICZN,,"An obsolete term no longer regulated by the International Code of Zoological Nomenclature (ICZN), formerly used for either syntype or paratype, but that should not now be used in zoological nomenclature. No equivalent exists in the International Code of Nomenclature for algae, fungi and plants (ICN).",zoological cotype,https://linked.data.gov.au/def/sample-nomenclature-publication-status/type-specimen-ICZN,,,https://linked.data.gov.au/def/sample-nomenclature-publication-status
https://linked.data.gov.au/def/sample-nomenclature-publication-status/cotype-IMA,cotype - IMA,,"In the International Mineralogical Association's mineral nomenclature scheme (IMA), specimens (designated by the author) as those used to obtain quantitative data for the original description. Specimens examined only visually should not be considered cotypes.",mineral cotype,https://linked.data.gov.au/def/sample-nomenclature-publication-status/type-specimen-mineral,,,https://linked.data.gov.au/def/sample-nomenclature-publication-status
https://linked.data.gov.au/def/sample-nomenclature-publication-status/type-specimen-mineral,type specimen - mineral,,"Reference samples for the definition of mineral species as per the mineral nomenclature scheme of the International Mineralogical Association (IMA). Although a vast number of minerals, especially those discovered in antiquity, have no designated type minerals, modern practise is to deposit all type minerals in a 'non-private, institutional, professionally curated, research-oriented' museum, with the type status of each specimen clearly designated.",,,"https://linked.data.gov.au/def/sample-nomenclature-publication-status/cotype-IMA|https://linked.data.gov.au/def/sample-nomenclature-publication-status/holotype-IMA|https://linked.data.gov.au/def/sample-nomenclature-publication-status/neotype-IMA",,https://linked.data.gov.au/def/sample-nomenclature-publication-status
https://linked.data.gov.au/def/sample-nomenclature-publication-status/described-and-published,described and published,,"A sample or specimen to which a name or identification and full description has been applied in a formal (peer-reviewed) publication. 'Described and published' can be interchangeable with 'figured' if a specimen is illustrated in the primary reference; illustration is common in primary descriptions, but is not a requirement, especially where large collections of specimens are being described together.",,https://linked.data.gov.au/def/sample-nomenclature-publication-status/specimen-publication-status,,,https://linked.data.gov.au/def/sample-nomenclature-publication-status
https://linked.data.gov.au/def/sample-nomenclature-publication-status/epitype-ICN-or-PICMN,epitype - ICN or PICMN,,"In the International Code of Nomenclature for algae, fungi and plants (ICN) and the Proposed International Code of Microbialite Nomenclature (PICMN), a specimen or illustration selected to serve as an interpretative type when the holotype, lectotype, or previously designated neotype, or all original material associated with a validly published name, cannot be identified for the purpose of the precise application of the name to a taxon. No equivalent exists in the International Code of Zoological Nomenclature (ICZN).","botanical epitype|microbialite epitype",https://linked.data.gov.au/def/sample-nomenclature-publication-status/type-specimen-ICN-or-PICMN,,,https://linked.data.gov.au/def/sample-nomenclature-publication-status
https://linked.data.gov.au/def/sample-nomenclature-publication-status/type-specimen-ICN-or-PICMN,type specimen - ICN or PICMN,,"A specimen designated as the element to which the name of a taxon is permanently attached, under the provisions of the International Code of Nomenclature for algae, fungi and plants (ICN; Shenzen Code, 2018); the type specimen is not necessarily the most typical or representative element of a taxon. Type specimens are generally divided into primary (e.g. holotype, lectotype, syntype, neotype) or secondary (e.g. paratype) types, with primary types being of greater scientific importance. As part of the requirements for taxonomic validity, type specimens are recommended to be held in public collections with a policy of giving bona fide researchers access to deposited material, and should be scrupulously conserved. Note that although microbialites are officially excluded from the ICN, the Proposed International Code of Microbialite Nomenclature (PICMN, Grey and Awramik, 2020) specifies that 'Provisions in the Shenzhen Code Articles 9 and 10 should be followed in designating and naming microbialite types, and for reference to terminology relating to different types (e.g. lectotype, paratype, etc.) and the rules governing their use' (point 11, p. 196), with that advice followed herein.","nomenclatural type|typus",https://linked.data.gov.au/def/sample-nomenclature-publication-status/type-specimen-fossil,"https://linked.data.gov.au/def/sample-nomenclature-publication-status/epitype-ICN-or-PICMN|https://linked.data.gov.au/def/sample-nomenclature-publication-status/ex-type-ICN-or-PICMN|https://linked.data.gov.au/def/sample-nomenclature-publication-status/holotype-ICN-or-PICMN|https://linked.data.gov.au/def/sample-nomenclature-publication-status/isoepitype-ICN-or-PICMN|https://linked.data.gov.au/def/sample-nomenclature-publication-status/isolectotype-ICN-or-PICMN|https://linked.data.gov.au/def/sample-nomenclature-publication-status/isoneotype-ICN-or-PICMN|https://linked.data.gov.au/def/sample-nomenclature-publication-status/isonym-ICN-or-PICMN|https://linked.data.gov.au/def/sample-nomenclature-publication-status/isosyntype-ICN-or-PICMN|https://linked.data.gov.au/def/sample-nomenclature-publication-status/isotype-ICN-or-PICMN|https://linked.data.gov.au/def/sample-nomenclature-publication-status/lectotype-ICN-or-PICMN|https://linked.data.gov.au/def/sample-nomenclature-publication-status/neotype-ICN-or-PICMN|https://linked.data.gov.au/def/sample-nomenclature-publication-status/paratype-ICN-or-PICMN|https://linked.data.gov.au/def/sample-nomenclature-publication-status/syntype-ICN-or-PICMN",,https://linked.data.gov.au/def/sample-nomenclature-publication-status
