iri,label,notation,definition,altLabels,broader,narrower,related,scheme
http://linked.data.gov.au/def/geou/BBLOE,barrel of oil equivalent per megalitre,BOE/Ml,A measure of oil quality or energy density defined as the energy in one barrel of oil equivalent (6.1178632×10⁻⁹ J) per million litres.,"BBLOE|BOE_Ml",,,,https://linked.data.gov.au/def/uom-geoscience
http://linked.data.gov.au/def/geou/BBL_US-PER-HR,US barrels per hour,bbl/h (US),"A measure of flow rate, typically used for oil production. The number of standard US barrels flowing past a given point per hour.","bbl/hr|bbl_h (US)",,,,https://linked.data.gov.au/def/uom-geoscience
http://linked.data.gov.au/def/geou/BBL_US-PER-MIN,US barrels per minute,bbl/min (US),"A measure of flow rate, typically used for oil production. The number of standard US barrels flowing past a given point per minute.","bbl/min|bbl_min (US)",,,,https://linked.data.gov.au/def/uom-geoscience
http://linked.data.gov.au/def/geou/BOE,barrel of oil equivalent,BOE,A measure of energy defined as the energy equivalent to one barrel of oil (6.1178632×10⁻⁹ J).,,,,,https://linked.data.gov.au/def/uom-geoscience
http://linked.data.gov.au/def/geou/BTU-PER-MegaL,British thermal unit per megalitre,BTU/Ml,"A measure of oil quality or energy density defined as the energy in one BTU (British Thermal Units, or 1055 J) per million litres.","BTU/ML|BTU_Ml",,,,https://linked.data.gov.au/def/uom-geoscience
http://linked.data.gov.au/def/geou/BWOC,by weight of cement,%w/c,A measure of concentration within cement. The amount of an additives' mass per unit mass of cement.,BWOC,,,,https://linked.data.gov.au/def/uom-geoscience
http://linked.data.gov.au/def/geou/BWOW,by weight of water,%w/w,A measure of concentration within water. The amount of an additives' mass per unit mass of water.,BWOW,,,,https://linked.data.gov.au/def/uom-geoscience
http://linked.data.gov.au/def/geou/CARAT-PER-M3,carat per cubic metre,ct/m³,"Carat per cubic metre is a derived unit of density, defined by mass in carats divided by volume in cubic metres. The symbolic abbreviation is ct/m³ (or ct.m⁻³).","carat per cubic meter|carats per cubic meter|ct_m³|ct·m⁻³",,,,https://linked.data.gov.au/def/uom-geoscience
http://linked.data.gov.au/def/geou/COUNT,count,,The number of unique and discrete objects or entities in a set.,"COUNT|cnt|count|cp",,,,https://linked.data.gov.au/def/uom-geoscience
http://linked.data.gov.au/def/geou/CentiM3-PER-GM,cubic centimetres per gram,cm³/g,"A measure of concentration, typically a fluid held within a solid. The cubic centimetres or millilitres of a substance per gram of host material.",cm³_g,,,,https://linked.data.gov.au/def/uom-geoscience
http://linked.data.gov.au/def/geou/CentiM3-PER-TON_M,cubic centimetres per tonne,cm³/t,"A measure of concentration, typically a fluid held within a solid. The cubic centimetres or millilitres of a substance per ton of host material.",cm³_t,,,,https://linked.data.gov.au/def/uom-geoscience
http://linked.data.gov.au/def/geou/D,darcy,D,A darcy (D) is a measure of permeability. A medium with a permeability of 1 D permits a flow of 1 cm³/s of a fluid with viscosity 1 cP (1 mPa·s) under a pressure gradient of 1 atm/cm acting across an area of 1 cm².,,,,,https://linked.data.gov.au/def/uom-geoscience
