iri,label,notation,definition,altLabels,broader,narrower,related,scheme
https://linked.data.gov.au/def/wa-coordinate-reference-systems/Clarke1858,Clarke 1858,,"Between 1858 and 1966, geodetic surveys in Australia were computed on either a jurisdiction (state or territory) or regional basis using more than four different spheroids and as many as twenty coordinate origins. In Western Australia, the most widely used geodatum and ellipsoid since 1945 was the Clarke 1858; the State was covered by four separate longitudinal zones, numbered 1 (one) to 4 (four), each with a 5° longitude width.",,,"https://linked.data.gov.au/def/wa-coordinate-reference-systems/Clarke1858-z1|https://linked.data.gov.au/def/wa-coordinate-reference-systems/Clarke1858-z2|https://linked.data.gov.au/def/wa-coordinate-reference-systems/Clarke1858-z3|https://linked.data.gov.au/def/wa-coordinate-reference-systems/Clarke1858-z4",,https://linked.data.gov.au/def/wa-coordinate-reference-systems
https://linked.data.gov.au/def/wa-coordinate-reference-systems/agd66,AGD66,EPSG:4202,"The first official national Australian Geodetic Datum (AGD), proclaimed in the Australian Commonwealth Gazette No. 84 of 6 October 1966. Area of use: Australia onshore and offshore, and Papua New Guinea onshore.","AGC 1966|AGD_1966|Australian Geodetic Datum 1966",,,,https://linked.data.gov.au/def/wa-coordinate-reference-systems
https://linked.data.gov.au/def/wa-coordinate-reference-systems/agd84,AGD84,EPSG:4203,"An update to the official Australian Geodetic Datum (AGD), adopted and in effect from 1984. The AGD84 national system replaced AGD66 but was officially adopted only in Queensland, South Australia and Western Australia; it was later replaced by GDA94. Area of use: Australia – Queensland, South Australia, Western Australia, federal areas offshore west of 129°E.","AGD 1984|AGD_1984|Australian Geodetic Datum 1984",,,,https://linked.data.gov.au/def/wa-coordinate-reference-systems
https://linked.data.gov.au/def/wa-coordinate-reference-systems/gda2020,GDA2020,EPSG:7844,"The official geodetic datum adopted nationally in June 2020. GDA2020 is a coordinate reference system with an origin that coincides with a determination of the centre of mass of the earth, hence the term geocentric. GDA2020 is a plate-fixed or static coordinate datum based on the International Terrestrial Reference Frame 1992 (ITRF92), held at the reference epoch of 1 January 2020. Area of use is the same as GDA94, i.e. all the areas contained within Australia’s marine jurisdiction (within 200 nautical miles of Australia) and its external territories, and the areas of Australia’s continental shelf beyond 200 nautical miles as confirmed by the United Nations Commission on the Limits of the Continental Shelf: Australia including Lord Howe Island, Macquarie Island, Ashmore and Cartier Islands, Christmas Island, Cocos (Keeling) Islands, Norfolk Island; all onshore and offshore.","GDA 2020|GDA_2020|Geocentric Datum of Australia 2020",,,,https://linked.data.gov.au/def/wa-coordinate-reference-systems
https://linked.data.gov.au/def/wa-coordinate-reference-systems/gda94,GDA94,EPSG:4283,"The official geodetic datum adopted nationally in January 2000. GDA94 replaced the Australian Geodetic Datum 1966 (AGD66) and Australian Geodetic Datum 1984 (AGD84), and was later replaced by GDA2020. GDA94 is a coordinate reference system whose origin coincides with a determination of the centre of mass of the earth, hence the term geocentric. GDA94 is a plate-fixed or static coordinate datum based on the International Terrestrial Reference Frame 1992 (ITRF92), held at the reference epoch of 1 January 1994. The distance between the origin points of GDA94 and AGD is approximately 200 metres. Area of use: Australia including Lord Howe Island, Macquarie Island, Ashmore and Cartier Islands, Christmas Island, Cocos (Keeling) Islands, Norfolk Island; all onshore and offshore.","GDA 1994|GDA_1994|Geocentric Datum of Australia 1994",,,,https://linked.data.gov.au/def/wa-coordinate-reference-systems
https://linked.data.gov.au/def/wa-coordinate-reference-systems/wgs84,WGS84,EPSG:4326,"The World Geodetic System 1984 (WGS84) is the reference frame used by the Global Positioning System (GPS). It was developed by the US Department of Defense and is maintained by the US National Geospatial Intelligence Agency (NGA). WGS84 defines an Earth-centred, Earth-fixed coordinate reference system with an origin that coincides with a determination of the centre of mass of the earth, and a geodetic datum. The datum defines meridian 0 as the International Earth Rotation and Reference System Service (IERS) Reference Meridian and the datum surface is an oblate spheroid. Officially adopted as the world geodetic datum in 1984, WGS84 is a dynamic reference frame. WGS84 has been revised several times since its conception and is at present aligned at the centimetre level to the International Terrestrial Reference Frame (ITRF), which generally ensures scientific integrity and compatibility with international standards and conventions. At the beginning of each year, the NGA updates station coordinates to account for plate tectonic motion. This means that WGS84 coordinates derived by users from GPS measurements will appear to move over time. In January 1994, GDA94 and ITRF were coincident, but since Australia is moving up to 7cm per year in a northeasterly direction, there was a 1.8 m difference between the two systems in 2020 — for applications that require uncertainty better than 5 m, GDA94 and WGS84/ITRF cannot be considered equivalent. Area of use: world.","WGS 84|WGS_84|World Geodetic System 1984",,"https://linked.data.gov.au/def/wa-coordinate-reference-systems/wgs84-utm-z49s|https://linked.data.gov.au/def/wa-coordinate-reference-systems/wgs84-utm-z50s|https://linked.data.gov.au/def/wa-coordinate-reference-systems/wgs84-utm-z51s|https://linked.data.gov.au/def/wa-coordinate-reference-systems/wgs84-utm-z52s",,https://linked.data.gov.au/def/wa-coordinate-reference-systems
https://linked.data.gov.au/def/wa-coordinate-reference-systems/amg66,AMG66,,"The Australian national map projection accompanying AGD66. The Australian Map Grid (AMG) is derived from a transverse Mercator projection of latitudes and longitudes on the Australian Geodetic Datum (AGD66). The AMG corresponds with the Universal Transverse Mercator (UTM) grid, with a system of rectangular grid coordinates (eastings and northings) expressed in metres. AMG zones are numbered from zone 47 (with central meridian 99°E) to zone 58 (with central meridian 165°E). Each zone is 6° wide with a half degree of overlapping.","AMG 66|AMG_66|Australian Map Grid 1966",,"https://linked.data.gov.au/def/wa-coordinate-reference-systems/amg66-z49|https://linked.data.gov.au/def/wa-coordinate-reference-systems/amg66-z50|https://linked.data.gov.au/def/wa-coordinate-reference-systems/amg66-z51|https://linked.data.gov.au/def/wa-coordinate-reference-systems/amg66-z52",,https://linked.data.gov.au/def/wa-coordinate-reference-systems
https://linked.data.gov.au/def/wa-coordinate-reference-systems/amg66-z49,AGD66 / AMG zone 49,EPSG:20249,"The accompanying national map projection to AGD66, a transverse Mercator projection that conforms to zone 49 of the internationally accepted Universal Transverse Mercator (UTM) grid system. Area of use for AMG66 zone 49: Australia – onshore and offshore to 200 nautical mile EEZ (Exclusive Economic Zone) boundary between 108°E and 114°E.","AMG66 z49|AMG66 zone 49|Australian Map Grid 1966 z49|Australian Map Grid 1966 zone 49",,,,https://linked.data.gov.au/def/wa-coordinate-reference-systems
https://linked.data.gov.au/def/wa-coordinate-reference-systems/amg66-z50,AGD66 / AMG zone 50,EPSG:20250,"The accompanying national map projection to AGD66, a transverse Mercator projection that conforms to zone 50 of the internationally accepted Universal Transverse Mercator (UTM) grid system. Area of use for AMG66 zone 50: onshore and offshore to 200 nautical mile EEZ (Exclusive Economic Zone) boundary between 114°E and 120°E.","AMG66 z50|AMG66 zone 50|Australian Map Grid 1966 z50|Australian Map Grid 1966 zone 50",,,,https://linked.data.gov.au/def/wa-coordinate-reference-systems
https://linked.data.gov.au/def/wa-coordinate-reference-systems/amg66-z51,AGD66 / AMG zone 51,EPSG:20251,"The accompanying national map projection to AGD66, a transverse Mercator projection that conforms to zone 51 of the internationally accepted Universal Transverse Mercator (UTM) grid system. Area of use for AMG66 zone 52: Australia – onshore and offshore between 120°E and 126°E.","AMG66 z51|AMG66 zone 51|Australian Map Grid 1966 z51|Australian Map Grid 1966 zone 51",,,,https://linked.data.gov.au/def/wa-coordinate-reference-systems
