iri,label,notation,definition,altLabels,broader,narrower,related,scheme
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/broadarrow-mineral-field,Broad Arrow Mineral Field,24,"An administrative division of land in Western Australia that covers the Broad Arrow area in the central-southern part of the State. The Broad Arrow Mineral field covers an area of 2668 km2 and contains no districts. Gazetted on 17 November 1896, it is administered by the Kalgoorlie Mining Registrar.",Broad Arrow M F 24,,,,https://linked.data.gov.au/def/wa-mineral-fields-and-districts
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/bulong-mineral-district,Bulong District,25,"An administrative division of land in Western Australia, the Bulong District is situated within the East Coolgardie Mineral Field in the central-southern part of the State, and covers an area of 2564 km2. Gazetted on 20 March 1896, it is administered by the Kalgoorlie Mining Registrar.","Bulong 25|Bulong District 25|E Coolgardie M F  Bulong Dist 25",,,,https://linked.data.gov.au/def/wa-mineral-fields-and-districts
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/dundas-mineral-field,Dundas Mineral Field,63,"An administrative division of land in Western Australia that covers the Dundas area in the central-southern part of the State. The Dundas Mineral Field covers an area of 29,604 km2 and contains no district. Gazetted on 31 August 1893, it is administered by the Kalgoorlie Mining Registrar.",Dundas M F 63,,,,https://linked.data.gov.au/def/wa-mineral-fields-and-districts
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/eastcoolgardie-mineral-district,East Coolgardie District,26,"An administrative division of land in Western Australia, the East Coolgardie District is situated within the East Coolgardie Mineral Field in the central-southern part of the State. It covers an area of 2098 km2 and is administered by the Kalgoorlie Mining Registrar.","E Coolgardie M F|E Coolgardie M F  E Coolgardie Dist 26|East Coolgardie 26",,,,https://linked.data.gov.au/def/wa-mineral-fields-and-districts
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/kanowna-mineral-district,Kanowna District,27,"An administrative division of land in Western Australia, the Kanowna District is situated within the North East Coolgardie Mineral Field in the central-southern part of the State, and covers an area of 2833 km2. Gazetted on 20 March 1896, it is administered by the Kalgoorlie Mining Registrar.","Kanowna 27|Kanowna District 27|N E Coolgardie M F  Kanowna Dist 27",,,,https://linked.data.gov.au/def/wa-mineral-fields-and-districts
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/kurnalpi-mineral-district,Kurnalpi District,28,"An administrative division of land in Western Australia, the Kurnalpi District is situated within the North East Coolgardie Mineral Field in the central-southern part of the State and covers an area of 50,531 km2. Gazetted on 20 March 1896, it is administered by the Kalgoorlie Mining Registrar.","Kurnalpi 28|Kurnalpi District 28|N E Coolgardie M F  Kurnalpi Dist 28",,,,https://linked.data.gov.au/def/wa-mineral-fields-and-districts
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/menzies-mineral-district,Menzies District,29,"An administrative division of land in Western Australia, the Menzies District is situated within the North Coolgardie Mineral Field in the central-southern part of the State, and covers an area of 17,265 km². Gazetted on 12 March 1897, it is administered by the Kalgoorlie Mining Registrar.","Menzies 29|Menzies District 29|N Coolgardie M F  Menzies Dist 29",,,,https://linked.data.gov.au/def/wa-mineral-fields-and-districts
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/ularring-mineral-district,Ularring District,30,"An administrative division of land in Western Australia, the Ularring District is situated within the North Coolgardie Mineral Field in the central-southern part of the State and covers an area of 8011 km2. Gazetted on 12 March 1897, it is administered by the Kalgoorlie Mining Registrar.","N Coolgardie M F  Ularring Dist 30|Ularring 30|Ularring District 30",,,,https://linked.data.gov.au/def/wa-mineral-fields-and-districts
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/yerilla-mineral-district,Yerilla District,31,"An administrative division of land in Western Australia, the Yerilla District is situated within the North Coolgardie Mineral Field in the central-southern part of the State and covers an area of 8184 km2. Gazetted on 12 March 1897, it is administered by the Kalgoorlie Mining Registrar.","N Coolgardie M F  Yerilla Dist 31|Yerilla 31|Yerilla District 31",,,,https://linked.data.gov.au/def/wa-mineral-fields-and-districts
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/ashburton-mineral-field,Ashburton Mineral Field,08,"An administrative division of land in Western Australia that covers the Ashburton area in the northwestern part of the State. The Ashburton Mineral Field covers an area of 69,930 km2 and contains no districts. Gazetted on 11 December 1890, it is administered by the Karratha Mining Registrar.",Ashburton M F 08,,,,https://linked.data.gov.au/def/wa-mineral-fields-and-districts
