iri,broader,prefLabel
http://resource.geosciml.org/classifier/ics/ischart/Aalenian,http://resource.geosciml.org/classifier/ics/ischart/MiddleJurassic,Aalenian
http://resource.geosciml.org/classifier/ics/ischart/Aeronian,http://resource.geosciml.org/classifier/ics/ischart/Llandovery,Aeronian
http://resource.geosciml.org/classifier/ics/ischart/Albian,http://resource.geosciml.org/classifier/ics/ischart/LowerCretaceous,Albian
http://resource.geosciml.org/classifier/ics/ischart/Anisian,http://resource.geosciml.org/classifier/ics/ischart/MiddleTriassic,Anisian
http://resource.geosciml.org/classifier/ics/ischart/Aptian,http://resource.geosciml.org/classifier/ics/ischart/LowerCretaceous,Aptian
http://resource.geosciml.org/classifier/ics/ischart/Aquitanian,http://resource.geosciml.org/classifier/ics/ischart/Miocene,Aquitanian
http://resource.geosciml.org/classifier/ics/ischart/Archean,http://resource.geosciml.org/classifier/ics/ischart/Precambrian,Archean
http://resource.geosciml.org/classifier/ics/ischart/Artinskian,http://resource.geosciml.org/classifier/ics/ischart/Cisuralian,Artinskian
http://resource.geosciml.org/classifier/ics/ischart/Asselian,http://resource.geosciml.org/classifier/ics/ischart/Cisuralian,Asselian
http://resource.geosciml.org/classifier/ics/ischart/Bajocian,http://resource.geosciml.org/classifier/ics/ischart/MiddleJurassic,Bajocian
http://resource.geosciml.org/classifier/ics/ischart/Barremian,http://resource.geosciml.org/classifier/ics/ischart/LowerCretaceous,Barremian
http://resource.geosciml.org/classifier/ics/ischart/Bartonian,http://resource.geosciml.org/classifier/ics/ischart/Eocene,Bartonian
http://resource.geosciml.org/classifier/ics/ischart/Bashkirian,http://resource.geosciml.org/classifier/ics/ischart/LowerPennsylvanian,Bashkirian
http://resource.geosciml.org/classifier/ics/ischart/Bathonian,http://resource.geosciml.org/classifier/ics/ischart/MiddleJurassic,Bathonian
http://resource.geosciml.org/classifier/ics/ischart/Berriasian,http://resource.geosciml.org/classifier/ics/ischart/LowerCretaceous,Berriasian
http://resource.geosciml.org/classifier/ics/ischart/Burdigalian,http://resource.geosciml.org/classifier/ics/ischart/Miocene,Burdigalian
http://resource.geosciml.org/classifier/ics/ischart/Calabrian,http://resource.geosciml.org/classifier/ics/ischart/Pleistocene,Calabrian
http://resource.geosciml.org/classifier/ics/ischart/Callovian,http://resource.geosciml.org/classifier/ics/ischart/MiddleJurassic,Callovian
http://resource.geosciml.org/classifier/ics/ischart/Calymmian,http://resource.geosciml.org/classifier/ics/ischart/Mesoproterozoic,Calymmian
http://resource.geosciml.org/classifier/ics/ischart/Cambrian,http://resource.geosciml.org/classifier/ics/ischart/Paleozoic,Cambrian
http://resource.geosciml.org/classifier/ics/ischart/CambrianSeries2,http://resource.geosciml.org/classifier/ics/ischart/Cambrian,Cambrian Series 2
http://resource.geosciml.org/classifier/ics/ischart/CambrianStage10,http://resource.geosciml.org/classifier/ics/ischart/Furongian,Cambrian-Stage 10
http://resource.geosciml.org/classifier/ics/ischart/CambrianStage2,http://resource.geosciml.org/classifier/ics/ischart/Terreneuvian,Cambrian-Stage 2
http://resource.geosciml.org/classifier/ics/ischart/CambrianStage3,http://resource.geosciml.org/classifier/ics/ischart/CambrianSeries2,Cambrian-Stage 3
http://resource.geosciml.org/classifier/ics/ischart/CambrianStage4,http://resource.geosciml.org/classifier/ics/ischart/CambrianSeries2,Cambrian-Stage 4
http://resource.geosciml.org/classifier/ics/ischart/Campanian,http://resource.geosciml.org/classifier/ics/ischart/UpperCretaceous,Campanian
http://resource.geosciml.org/classifier/ics/ischart/Capitanian,http://resource.geosciml.org/classifier/ics/ischart/Guadalupian,Capitanian
http://resource.geosciml.org/classifier/ics/ischart/Carboniferous,http://resource.geosciml.org/classifier/ics/ischart/Paleozoic,Carboniferous
http://resource.geosciml.org/classifier/ics/ischart/Carnian,http://resource.geosciml.org/classifier/ics/ischart/UpperTriassic,Carnian
http://resource.geosciml.org/classifier/ics/ischart/Cenomanian,http://resource.geosciml.org/classifier/ics/ischart/UpperCretaceous,Cenomanian
http://resource.geosciml.org/classifier/ics/ischart/Cenozoic,http://resource.geosciml.org/classifier/ics/ischart/Phanerozoic,Cenozoic
http://resource.geosciml.org/classifier/ics/ischart/Changhsingian,http://resource.geosciml.org/classifier/ics/ischart/Lopingian,Changhsingian
http://resource.geosciml.org/classifier/ics/ischart/Chattian,http://resource.geosciml.org/classifier/ics/ischart/Oligocene,Chattian
http://resource.geosciml.org/classifier/ics/ischart/Chibanian,http://resource.geosciml.org/classifier/ics/ischart/Pleistocene,Chibanian
http://resource.geosciml.org/classifier/ics/ischart/Cisuralian,http://resource.geosciml.org/classifier/ics/ischart/Permian,Cisuralian
http://resource.geosciml.org/classifier/ics/ischart/Coniacian,http://resource.geosciml.org/classifier/ics/ischart/UpperCretaceous,Coniacian
http://resource.geosciml.org/classifier/ics/ischart/Cretaceous,http://resource.geosciml.org/classifier/ics/ischart/Mesozoic,Cretaceous
http://resource.geosciml.org/classifier/ics/ischart/Cryogenian,http://resource.geosciml.org/classifier/ics/ischart/Neoproterozoic,Cryogenian
http://resource.geosciml.org/classifier/ics/ischart/Danian,http://resource.geosciml.org/classifier/ics/ischart/Paleocene,Danian
http://resource.geosciml.org/classifier/ics/ischart/Dapingian,http://resource.geosciml.org/classifier/ics/ischart/MiddleOrdovician,Dapingian
http://resource.geosciml.org/classifier/ics/ischart/Darriwilian,http://resource.geosciml.org/classifier/ics/ischart/MiddleOrdovician,Darriwilian
http://resource.geosciml.org/classifier/ics/ischart/Devonian,http://resource.geosciml.org/classifier/ics/ischart/Paleozoic,Devonian
http://resource.geosciml.org/classifier/ics/ischart/Drumian,http://resource.geosciml.org/classifier/ics/ischart/Miaolingian,Drumian
http://resource.geosciml.org/classifier/ics/ischart/LowerCretaceous,http://resource.geosciml.org/classifier/ics/ischart/Cretaceous,Early Cretaceous
http://resource.geosciml.org/classifier/ics/ischart/LowerDevonian,http://resource.geosciml.org/classifier/ics/ischart/Devonian,Early Devonian
http://resource.geosciml.org/classifier/ics/ischart/LowerJurassic,http://resource.geosciml.org/classifier/ics/ischart/Jurassic,Early Jurassic
http://resource.geosciml.org/classifier/ics/ischart/LowerMississippian,http://resource.geosciml.org/classifier/ics/ischart/Mississippian,Early Mississippian
http://resource.geosciml.org/classifier/ics/ischart/LowerOrdovician,http://resource.geosciml.org/classifier/ics/ischart/Ordovician,Early Ordovician
http://resource.geosciml.org/classifier/ics/ischart/LowerPennsylvanian,http://resource.geosciml.org/classifier/ics/ischart/Pennsylvanian,Early Pennsylvanian
http://resource.geosciml.org/classifier/ics/ischart/LowerTriassic,http://resource.geosciml.org/classifier/ics/ischart/Triassic,Early Triassic
http://resource.geosciml.org/classifier/ics/ischart/Ectasian,http://resource.geosciml.org/classifier/ics/ischart/Mesoproterozoic,Ectasian
http://resource.geosciml.org/classifier/ics/ischart/Ediacaran,http://resource.geosciml.org/classifier/ics/ischart/Neoproterozoic,Ediacaran
http://resource.geosciml.org/classifier/ics/ischart/Eifelian,http://resource.geosciml.org/classifier/ics/ischart/MiddleDevonian,Eifelian
http://resource.geosciml.org/classifier/ics/ischart/Emsian,http://resource.geosciml.org/classifier/ics/ischart/LowerDevonian,Emsian
http://resource.geosciml.org/classifier/ics/ischart/Eoarchean,http://resource.geosciml.org/classifier/ics/ischart/Archean,Eoarchean
http://resource.geosciml.org/classifier/ics/ischart/Eocene,http://resource.geosciml.org/classifier/ics/ischart/Paleogene,Eocene
http://resource.geosciml.org/classifier/ics/ischart/Famennian,http://resource.geosciml.org/classifier/ics/ischart/UpperDevonian,Famennian
http://resource.geosciml.org/classifier/ics/ischart/Floian,http://resource.geosciml.org/classifier/ics/ischart/LowerOrdovician,Floian
http://resource.geosciml.org/classifier/ics/ischart/Fortunian,http://resource.geosciml.org/classifier/ics/ischart/Terreneuvian,Fortunian
http://resource.geosciml.org/classifier/ics/ischart/Frasnian,http://resource.geosciml.org/classifier/ics/ischart/UpperDevonian,Frasnian
http://resource.geosciml.org/classifier/ics/ischart/Furongian,http://resource.geosciml.org/classifier/ics/ischart/Cambrian,Furongian
http://resource.geosciml.org/classifier/ics/ischart/Gelasian,http://resource.geosciml.org/classifier/ics/ischart/Pleistocene,Gelasian
http://resource.geosciml.org/classifier/ics/ischart/Givetian,http://resource.geosciml.org/classifier/ics/ischart/MiddleDevonian,Givetian
http://resource.geosciml.org/classifier/ics/ischart/Gorstian,http://resource.geosciml.org/classifier/ics/ischart/Ludlow,Gorstian
http://resource.geosciml.org/classifier/ics/ischart/Greenlandian,http://resource.geosciml.org/classifier/ics/ischart/Holocene,Greenlandian
http://resource.geosciml.org/classifier/ics/ischart/Guadalupian,http://resource.geosciml.org/classifier/ics/ischart/Permian,Guadalupian
http://resource.geosciml.org/classifier/ics/ischart/Guzhangian,http://resource.geosciml.org/classifier/ics/ischart/Miaolingian,Guzhangian
http://resource.geosciml.org/classifier/ics/ischart/Gzhelian,http://resource.geosciml.org/classifier/ics/ischart/UpperPennsylvanian,Gzhelian
http://resource.geosciml.org/classifier/ics/ischart/Hadean,http://resource.geosciml.org/classifier/ics/ischart/Precambrian,Hadean
http://resource.geosciml.org/classifier/ics/ischart/Hauterivian,http://resource.geosciml.org/classifier/ics/ischart/LowerCretaceous,Hauterivian
http://resource.geosciml.org/classifier/ics/ischart/Hettangian,http://resource.geosciml.org/classifier/ics/ischart/LowerJurassic,Hettangian
http://resource.geosciml.org/classifier/ics/ischart/Hirnantian,http://resource.geosciml.org/classifier/ics/ischart/UpperOrdovician,Hirnantian
http://resource.geosciml.org/classifier/ics/ischart/Holocene,http://resource.geosciml.org/classifier/ics/ischart/Quaternary,Holocene
http://resource.geosciml.org/classifier/ics/ischart/Homerian,http://resource.geosciml.org/classifier/ics/ischart/Wenlock,Homerian
http://resource.geosciml.org/classifier/ics/ischart/Induan,http://resource.geosciml.org/classifier/ics/ischart/LowerTriassic,Induan
http://resource.geosciml.org/classifier/ics/ischart/Jiangshanian,http://resource.geosciml.org/classifier/ics/ischart/Furongian,Jiangshanian
http://resource.geosciml.org/classifier/ics/ischart/Jurassic,http://resource.geosciml.org/classifier/ics/ischart/Mesozoic,Jurassic
http://resource.geosciml.org/classifier/ics/ischart/Kasimovian,http://resource.geosciml.org/classifier/ics/ischart/UpperPennsylvanian,Kasimovian
http://resource.geosciml.org/classifier/ics/ischart/Katian,http://resource.geosciml.org/classifier/ics/ischart/UpperOrdovician,Katian
