iri,broader,prefLabel
https://linked.data.gov.au/def/geological-sample-type/acetate-peel,,acetate peel
https://linked.data.gov.au/def/geological-sample-type/artefact,,artefact
https://linked.data.gov.au/def/geological-sample-type/assembled-stone,https://linked.data.gov.au/def/geological-sample-type/gemstone,assembled stone
https://linked.data.gov.au/def/geological-sample-type/bit-sample,https://linked.data.gov.au/def/geological-sample-type/ditch-cuttings,bit sample
https://linked.data.gov.au/def/geological-sample-type/bulk-sample,,bulk sample
https://linked.data.gov.au/def/geological-sample-type/cabochon,https://linked.data.gov.au/def/geological-sample-type/gemstone,cabochon
https://linked.data.gov.au/def/geological-sample-type/carved-specimen,https://linked.data.gov.au/def/geological-sample-type/polished-shaped-specimen,carved specimen
https://linked.data.gov.au/def/geological-sample-type/cast,https://linked.data.gov.au/def/geological-sample-type/replica,cast
https://linked.data.gov.au/def/geological-sample-type/cavings-sample,https://linked.data.gov.au/def/geological-sample-type/ditch-cuttings,cavings sample
https://linked.data.gov.au/def/geological-sample-type/concentrate,,concentrate
https://linked.data.gov.au/def/geological-sample-type/concretion,,concretion
https://linked.data.gov.au/def/geological-sample-type/core-chips,https://linked.data.gov.au/def/geological-sample-type/drillcore,core chips
https://linked.data.gov.au/def/geological-sample-type/core-cutting,,core cutting
https://linked.data.gov.au/def/geological-sample-type/core-plug,https://linked.data.gov.au/def/geological-sample-type/drillcore,core plug
https://linked.data.gov.au/def/geological-sample-type/crush,,crush
https://linked.data.gov.au/def/geological-sample-type/crystal,,crystal
https://linked.data.gov.au/def/geological-sample-type/crystal-cluster,https://linked.data.gov.au/def/geological-sample-type/crystal,crystal cluster
https://linked.data.gov.au/def/geological-sample-type/crystal-fragment,https://linked.data.gov.au/def/geological-sample-type/crystal,crystal fragment(s)
https://linked.data.gov.au/def/geological-sample-type/crystal-model,https://linked.data.gov.au/def/geological-sample-type/model,crystal model
https://linked.data.gov.au/def/geological-sample-type/cut-block,,cut block
https://linked.data.gov.au/def/geological-sample-type/ditch-cuttings,https://linked.data.gov.au/def/geological-sample-type/drill-cuttings,ditch cuttings
https://linked.data.gov.au/def/geological-sample-type/doublet,https://linked.data.gov.au/def/geological-sample-type/assembled-stone,doublet
https://linked.data.gov.au/def/geological-sample-type/drill-chips,https://linked.data.gov.au/def/geological-sample-type/drill-cuttings,drill chips
https://linked.data.gov.au/def/geological-sample-type/drill-cuttings,,drill cuttings
https://linked.data.gov.au/def/geological-sample-type/drillcore,,drillcore
https://linked.data.gov.au/def/geological-sample-type/drilling-fluid-sample,https://linked.data.gov.au/def/geological-sample-type/fluid-sample,drilling fluid sample
https://linked.data.gov.au/def/geological-sample-type/dump-mount,https://linked.data.gov.au/def/geological-sample-type/mount,dump mount
https://linked.data.gov.au/def/geological-sample-type/etched-specimen,https://linked.data.gov.au/def/geological-sample-type/polished-shaped-specimen,etched specimen
https://linked.data.gov.au/def/geological-sample-type/facet-rough,https://linked.data.gov.au/def/geological-sample-type/rough,facet rough
https://linked.data.gov.au/def/geological-sample-type/faceted-gemstone,https://linked.data.gov.au/def/geological-sample-type/gemstone,faceted gemstone
https://linked.data.gov.au/def/geological-sample-type/floater-crystal,https://linked.data.gov.au/def/geological-sample-type/crystal,floater crystal
https://linked.data.gov.au/def/geological-sample-type/fluid-sample,,fluid sample
https://linked.data.gov.au/def/geological-sample-type/formation-fluid-sample,https://linked.data.gov.au/def/geological-sample-type/fluid-sample,formation fluid sample
https://linked.data.gov.au/def/geological-sample-type/gemstone,,gemstone
https://linked.data.gov.au/def/geological-sample-type/geochronology-mount,https://linked.data.gov.au/def/geological-sample-type/grain-mount,geochronology mount
https://linked.data.gov.au/def/geological-sample-type/geode,https://linked.data.gov.au/def/geological-sample-type/crystal,geode
https://linked.data.gov.au/def/geological-sample-type/grain,,grain
https://linked.data.gov.au/def/geological-sample-type/grain-mount,https://linked.data.gov.au/def/geological-sample-type/mount,grain mount
https://linked.data.gov.au/def/geological-sample-type/hand-sample,,hand sample
https://linked.data.gov.au/def/geological-sample-type/heavy-mineral-concentrate,https://linked.data.gov.au/def/geological-sample-type/concentrate,heavy mineral concentrate
https://linked.data.gov.au/def/geological-sample-type/heavy-mineral-mount,https://linked.data.gov.au/def/geological-sample-type/dump-mount,heavy mineral mount
https://linked.data.gov.au/def/geological-sample-type/imitation-gemstone,https://linked.data.gov.au/def/geological-sample-type/gemstone,imitation gemstone
https://linked.data.gov.au/def/geological-sample-type/kerogen-slide,https://linked.data.gov.au/def/geological-sample-type/slide,kerogen slide
https://linked.data.gov.au/def/geological-sample-type/lapidary-rough,https://linked.data.gov.au/def/geological-sample-type/rough,lapidary rough
https://linked.data.gov.au/def/geological-sample-type/latex-peel,https://linked.data.gov.au/def/geological-sample-type/cast,latex peel
https://linked.data.gov.au/def/geological-sample-type/light-mineral-concentrate,https://linked.data.gov.au/def/geological-sample-type/concentrate,light mineral concentrate
https://linked.data.gov.au/def/geological-sample-type/microfossil-grid-slide,https://linked.data.gov.au/def/geological-sample-type/slide,microfossil grid slide
https://linked.data.gov.au/def/geological-sample-type/microfossil-mount,https://linked.data.gov.au/def/geological-sample-type/mount,microfossil mount
https://linked.data.gov.au/def/geological-sample-type/microfossil-residue,https://linked.data.gov.au/def/geological-sample-type/residue,microfossil residue
https://linked.data.gov.au/def/geological-sample-type/microfossil-well-slide,https://linked.data.gov.au/def/geological-sample-type/slide,microfossil well slide
https://linked.data.gov.au/def/geological-sample-type/micromount,https://linked.data.gov.au/def/geological-sample-type/mount,micromount
https://linked.data.gov.au/def/geological-sample-type/model,https://linked.data.gov.au/def/geological-sample-type/artefact,model
https://linked.data.gov.au/def/geological-sample-type/mold,https://linked.data.gov.au/def/geological-sample-type/replica,mold
https://linked.data.gov.au/def/geological-sample-type/mount,,mount
https://linked.data.gov.au/def/geological-sample-type/nodule,,nodule
https://linked.data.gov.au/def/geological-sample-type/nugget,,nugget
https://linked.data.gov.au/def/geological-sample-type/offcut,,offcut
https://linked.data.gov.au/def/geological-sample-type/other,,other
https://linked.data.gov.au/def/geological-sample-type/palynology-residue,https://linked.data.gov.au/def/geological-sample-type/residue,palynology residue
https://linked.data.gov.au/def/geological-sample-type/percussion-sidewall-core,https://linked.data.gov.au/def/geological-sample-type/sidewall-core,percussion sidewall core
https://linked.data.gov.au/def/geological-sample-type/petrology-offcut,https://linked.data.gov.au/def/geological-sample-type/offcut,petrology offcut
https://linked.data.gov.au/def/geological-sample-type/plaster-cast,https://linked.data.gov.au/def/geological-sample-type/cast,plaster cast
https://linked.data.gov.au/def/geological-sample-type/polished-mount,https://linked.data.gov.au/def/geological-sample-type/mount,polished mount
https://linked.data.gov.au/def/geological-sample-type/polished-slab,https://linked.data.gov.au/def/geological-sample-type/polished-specimen,polished slab
https://linked.data.gov.au/def/geological-sample-type/polished-specimen,https://linked.data.gov.au/def/geological-sample-type/polished-shaped-specimen,polished specimen
https://linked.data.gov.au/def/geological-sample-type/polished-shaped-specimen,,polished/shaped specimen
https://linked.data.gov.au/def/geological-sample-type/pulp,,pulp
https://linked.data.gov.au/def/geological-sample-type/replica,https://linked.data.gov.au/def/geological-sample-type/artefact,replica
https://linked.data.gov.au/def/geological-sample-type/reservoir-fluid-sample,https://linked.data.gov.au/def/geological-sample-type/formation-fluid-sample,reservoir fluid sample
https://linked.data.gov.au/def/geological-sample-type/residue,,residue
https://linked.data.gov.au/def/geological-sample-type/rc-chips,https://linked.data.gov.au/def/geological-sample-type/drill-chips,reverse circulation chips
https://linked.data.gov.au/def/geological-sample-type/rock-chips,,rock chips
https://linked.data.gov.au/def/geological-sample-type/rab-chips,https://linked.data.gov.au/def/geological-sample-type/drill-chips,rotary air blast chips
https://linked.data.gov.au/def/geological-sample-type/rotary-sidewall-core,https://linked.data.gov.au/def/geological-sample-type/sidewall-core,rotary sidewall core
