iri,broader,prefLabel
https://linked.data.gov.au/def/alteration-type/albitic-alteration,,albitic alteration
https://linked.data.gov.au/def/alteration-type/alkali-metasomatism,,alkali metasomatism
https://linked.data.gov.au/def/alteration-type/alunitic-alteration,https://linked.data.gov.au/def/alteration-type/argillic-alteration-advanced,alunitic alteration
https://linked.data.gov.au/def/alteration-type/argillic-alteration,,argillic alteration
https://linked.data.gov.au/def/alteration-type/argillic-alteration-advanced,https://linked.data.gov.au/def/alteration-type/argillic-alteration,argillic alteration - advanced
https://linked.data.gov.au/def/alteration-type/argillic-alteration-intermediate,https://linked.data.gov.au/def/alteration-type/argillic-alteration,argillic alteration - intermediate
https://linked.data.gov.au/def/alteration-type/biotitic-alteration,,biotitic alteration
https://linked.data.gov.au/def/alteration-type/calc-silicate-alteration,,calc-silicate alteration
https://linked.data.gov.au/def/alteration-type/calcification,https://linked.data.gov.au/def/alteration-type/carbonate-alteration,calcification
https://linked.data.gov.au/def/alteration-type/carbonate-alteration,,carbonate alteration
https://linked.data.gov.au/def/alteration-type/chloritic-alteration,,chloritic alteration
https://linked.data.gov.au/def/alteration-type/deuteric-alteration,,deuteric alteration
https://linked.data.gov.au/def/alteration-type/dolomitization,https://linked.data.gov.au/def/alteration-type/carbonate-alteration,dolomitization
https://linked.data.gov.au/def/alteration-type/epidote-alteration,,epidote alteration
https://linked.data.gov.au/def/alteration-type/fenitization,https://linked.data.gov.au/def/alteration-type/alkali-metasomatism,fenitization
https://linked.data.gov.au/def/alteration-type/fluorite-and-topaz-alteration,,fluorite and topaz alteration
https://linked.data.gov.au/def/alteration-type/greisenization,,greisenization
https://linked.data.gov.au/def/alteration-type/hematitic-alteration,,hematitic alteration
https://linked.data.gov.au/def/alteration-type/hematitic-jasperoid,https://linked.data.gov.au/def/alteration-type/jasperoid-alteration,hematitic jasperoid
https://linked.data.gov.au/def/alteration-type/hydrothermal-alteration-other,,hydrothermal alteration - other
https://linked.data.gov.au/def/alteration-type/hydrothermal-alteration-unknown,,hydrothermal alteration - unknown
https://linked.data.gov.au/def/alteration-type/hydrothermal-alteration-unspecified,,hydrothermal alteration - unspecified
https://linked.data.gov.au/def/alteration-type/jasperoid-alteration,https://linked.data.gov.au/def/alteration-type/hematitic-alteration,jasperoid alteration
https://linked.data.gov.au/def/alteration-type/kaolinitic-alteration,,kaolinitic alteration
https://linked.data.gov.au/def/alteration-type/listvenitization,,listvenitization
https://linked.data.gov.au/def/alteration-type/phyllic-alteration-QSP,,phyllic alteration (QSP)
https://linked.data.gov.au/def/alteration-type/potassic-alteration,,potassic alteration
https://linked.data.gov.au/def/alteration-type/propylitic-alteration,,propylitic alteration
https://linked.data.gov.au/def/alteration-type/pyritic-alteration,https://linked.data.gov.au/def/alteration-type/sulfidation,pyritic alteration
https://linked.data.gov.au/def/alteration-type/rodingitization,,rodingitization
https://linked.data.gov.au/def/alteration-type/saussuritization,,saussuritization
https://linked.data.gov.au/def/alteration-type/sericitic-white-mica-alteration,,sericitic / white mica alteration
https://linked.data.gov.au/def/alteration-type/serpentinization,,serpentinization
https://linked.data.gov.au/def/alteration-type/silication,,silication
https://linked.data.gov.au/def/alteration-type/silicification,,silicification
https://linked.data.gov.au/def/alteration-type/skarn,,skarn
https://linked.data.gov.au/def/alteration-type/skarn-calcic,https://linked.data.gov.au/def/alteration-type/skarn,skarn - calcic
https://linked.data.gov.au/def/alteration-type/skarn-magnesian,https://linked.data.gov.au/def/alteration-type/skarn,skarn - magnesian
https://linked.data.gov.au/def/alteration-type/skarn-retrograde-stage,https://linked.data.gov.au/def/alteration-type/skarn,skarn - retrograde stage
https://linked.data.gov.au/def/alteration-type/sodic-alteration,,sodic alteration
https://linked.data.gov.au/def/alteration-type/sulfidation,,sulfidation
https://linked.data.gov.au/def/alteration-type/sulfidic-jasperoid,https://linked.data.gov.au/def/alteration-type/jasperoid-alteration,sulfidic jasperoid
https://linked.data.gov.au/def/alteration-type/talc-alteration,,talc alteration
https://linked.data.gov.au/def/alteration-type/tourmalinization,,tourmalinization
https://linked.data.gov.au/def/alteration-type/unaltered,,unaltered
https://linked.data.gov.au/def/alteration-type/uralitization,,uralitization
https://linked.data.gov.au/def/alteration-type/zeolitic-alteration,,zeolitic alteration
