iri,broader,prefLabel
https://linked.data.gov.au/def/australian-physiographic-units/albany-esperance-sandplain,,Albany Esperance Sandplain
https://linked.data.gov.au/def/australian-physiographic-units/alberga-dunefield,,Alberga Dunefield
https://linked.data.gov.au/def/australian-physiographic-units/alice-tableland,,Alice Tableland
https://linked.data.gov.au/def/australian-physiographic-units/amadeus-plains,,Amadeus Plains
https://linked.data.gov.au/def/australian-physiographic-units/andamooka-tableland,,Andamooka Tableland
https://linked.data.gov.au/def/australian-physiographic-units/anketell-hills,,Anketell Hills
https://linked.data.gov.au/def/australian-physiographic-units/armraynald-plain,,Armraynald Plain
https://linked.data.gov.au/def/australian-physiographic-units/arnhem-plateau,,Arnhem Plateau
https://linked.data.gov.au/def/australian-physiographic-units/arnhem-ridges,,Arnhem Ridges
https://linked.data.gov.au/def/australian-physiographic-units/atherton-tableland,,Atherton Tableland
https://linked.data.gov.au/def/australian-physiographic-units/augustus-ranges,,Augustus Ranges
https://linked.data.gov.au/def/australian-physiographic-units/australian-alps,,Australian Alps
https://linked.data.gov.au/def/australian-physiographic-units/avon-plateau,,Avon Plateau
https://linked.data.gov.au/def/australian-physiographic-units/barkly-tablelands,,Barkly Tablelands
https://linked.data.gov.au/def/australian-physiographic-units/barkly-tanami-plains-province,,Barkly–Tanami Plains Province
https://linked.data.gov.au/def/australian-physiographic-units/barrier-ranges,,Barrier Ranges
https://linked.data.gov.au/def/australian-physiographic-units/bass-coastal-platforms,,Bass Coastal Platforms
https://linked.data.gov.au/def/australian-physiographic-units/bass-islands,,Bass Islands
https://linked.data.gov.au/def/australian-physiographic-units/bathurst-tablelands,,Bathurst Tablelands
https://linked.data.gov.au/def/australian-physiographic-units/belyando-plains,,Belyando Plains
https://linked.data.gov.au/def/australian-physiographic-units/birrundudu-plain,,Birrundudu Plain
https://linked.data.gov.au/def/australian-physiographic-units/boulia-downs,,Boulia Downs
https://linked.data.gov.au/def/australian-physiographic-units/broadsound-plains,,Broadsound Plains
https://linked.data.gov.au/def/australian-physiographic-units/buckland-plateau,,Buckland Plateau
https://linked.data.gov.au/def/australian-physiographic-units/bulgonunna-tableland,,Bulgonunna Tableland
https://linked.data.gov.au/def/australian-physiographic-units/bulimba-plateau,,Bulimba Plateau
https://linked.data.gov.au/def/australian-physiographic-units/bulloo-plain,,Bulloo Plain
https://linked.data.gov.au/def/australian-physiographic-units/bunda-plateau,,Bunda Plateau
https://linked.data.gov.au/def/australian-physiographic-units/bunya-burnett-ranges,,Bunya–Burnett Ranges
https://linked.data.gov.au/def/australian-physiographic-units/burdekin-hills-and-lowlands,,Burdekin Hills and Lowlands
https://linked.data.gov.au/def/australian-physiographic-units/burdekin-plateaus,,Burdekin Plateaus
https://linked.data.gov.au/def/australian-physiographic-units/burdekin-uplands-province,,Burdekin Uplands Province
https://linked.data.gov.au/def/australian-physiographic-units/cairns-ranges,,Cairns Ranges
https://linked.data.gov.au/def/australian-physiographic-units/cape-river-plains,,Cape River Plains
https://linked.data.gov.au/def/australian-physiographic-units/carborough-ranges,,Carborough Ranges
https://linked.data.gov.au/def/australian-physiographic-units/carlisle-plain,,Carlisle Plain
https://linked.data.gov.au/def/australian-physiographic-units/carnarvon-plain,,Carnarvon Plain
https://linked.data.gov.au/def/australian-physiographic-units/carnegie-hills,,Carnegie Hills
https://linked.data.gov.au/def/australian-physiographic-units/carpentaria-fall-province,,Carpentaria Fall Province
https://linked.data.gov.au/def/australian-physiographic-units/carpentaria-lowlands-province,,Carpentaria Lowlands Province
https://linked.data.gov.au/def/australian-physiographic-units/ceduna-dunefield,,Ceduna Dunefield
https://linked.data.gov.au/def/australian-physiographic-units/central-australian-ranges-province,,Central Australian Ranges Province
https://linked.data.gov.au/def/australian-physiographic-units/central-lowlands-province,,Central Lowlands Province
https://linked.data.gov.au/def/australian-physiographic-units/central-ranges,,Central Ranges
https://linked.data.gov.au/def/australian-physiographic-units/charleville-tableland,,Charleville Tableland
https://linked.data.gov.au/def/australian-physiographic-units/chichester-range,,Chichester Range
https://linked.data.gov.au/def/australian-physiographic-units/clara-mitchell-plains,,Clara–Mitchell Plains
https://linked.data.gov.au/def/australian-physiographic-units/clarence-fall,,Clarence Fall
https://linked.data.gov.au/def/australian-physiographic-units/clarence-lowlands,,Clarence Lowlands
https://linked.data.gov.au/def/australian-physiographic-units/cobar-plains,,Cobar Plains
https://linked.data.gov.au/def/australian-physiographic-units/coleman-plateau,,Coleman Plateau
https://linked.data.gov.au/def/australian-physiographic-units/condamine-lowlands,,Condamine Lowlands
https://linked.data.gov.au/def/australian-physiographic-units/condobolin-plains,,Condobolin Plains
https://linked.data.gov.au/def/australian-physiographic-units/connors-ranges,,Connors Ranges
https://linked.data.gov.au/def/australian-physiographic-units/cooktown-ranges,,Cooktown Ranges
https://linked.data.gov.au/def/australian-physiographic-units/coonana-ragged-plateau,,Coonana–Ragged Plateau
https://linked.data.gov.au/def/australian-physiographic-units/cooper-plain,,Cooper Plain
https://linked.data.gov.au/def/australian-physiographic-units/coorong-plain,,Coorong Plain
https://linked.data.gov.au/def/australian-physiographic-units/cotherstone-plateau,,Cotherstone Plateau
https://linked.data.gov.au/def/australian-physiographic-units/couchman-uplands,,Couchman Uplands
https://linked.data.gov.au/def/australian-physiographic-units/cumberland-lowland,,Cumberland Lowland
https://linked.data.gov.au/def/australian-physiographic-units/cunningham-slopes,,Cunningham Slopes
https://linked.data.gov.au/def/australian-physiographic-units/daly-basin,,Daly Basin
https://linked.data.gov.au/def/australian-physiographic-units/dampier-tablelands,,Dampier Tablelands
https://linked.data.gov.au/def/australian-physiographic-units/dandaragan-tablelands,,Dandaragan Tablelands
https://linked.data.gov.au/def/australian-physiographic-units/darling-range,,Darling Range
https://linked.data.gov.au/def/australian-physiographic-units/davenport-ranges,,Davenport Ranges
https://linked.data.gov.au/def/australian-physiographic-units/de-grey-lowlands,,De Grey Lowlands
https://linked.data.gov.au/def/australian-physiographic-units/denison-ranges,,Denison Ranges
https://linked.data.gov.au/def/australian-physiographic-units/diamantina-plain,,Diamantina Plain
https://linked.data.gov.au/def/australian-physiographic-units/donnybrook-lowland,,Donnybrook Lowland
https://linked.data.gov.au/def/australian-physiographic-units/donors-tableland,,Donors Tableland
https://linked.data.gov.au/def/australian-physiographic-units/drummond-uplands,,Drummond Uplands
https://linked.data.gov.au/def/australian-physiographic-units/east-tasmanian-hills,,East Tasmanian Hills
https://linked.data.gov.au/def/australian-physiographic-units/east-victorian-uplands,,East Victorian Uplands
https://linked.data.gov.au/def/australian-physiographic-units/eastern-upland-division,,Eastern Upland Division
https://linked.data.gov.au/def/australian-physiographic-units/eighty-mile-plain,,Eighty Mile Plain
https://linked.data.gov.au/def/australian-physiographic-units/einasleigh-plains,,Einasleigh Plains
https://linked.data.gov.au/def/australian-physiographic-units/eromanga-lowlands,,Eromanga Lowlands
https://linked.data.gov.au/def/australian-physiographic-units/expedition-scarplands,,Expedition Scarplands
https://linked.data.gov.au/def/australian-physiographic-units/eyre-creek-plain,,Eyre Creek Plain
https://linked.data.gov.au/def/australian-physiographic-units/eyre-dunefield,,Eyre Dunefield
https://linked.data.gov.au/def/australian-physiographic-units/eyre-peninsula-province,,Eyre Peninsula Province
https://linked.data.gov.au/def/australian-physiographic-units/eyre-frome-plains,,Eyre–Frome Plains
https://linked.data.gov.au/def/australian-physiographic-units/fitzroy-plains,,Fitzroy Plains
https://linked.data.gov.au/def/australian-physiographic-units/fitzroy-ranges,,Fitzroy Ranges
https://linked.data.gov.au/def/australian-physiographic-units/fitzroy-uplands-province,,Fitzroy Uplands Province
https://linked.data.gov.au/def/australian-physiographic-units/flinders-lofty-ranges,,Flinders–Lofty Ranges
https://linked.data.gov.au/def/australian-physiographic-units/fortescue-valley,,Fortescue Valley
https://linked.data.gov.au/def/australian-physiographic-units/gairdner-plain,,Gairdner Plain
https://linked.data.gov.au/def/australian-physiographic-units/garnet-uplands,,Garnet Uplands
https://linked.data.gov.au/def/australian-physiographic-units/gawler-cleve-ranges,,Gawler–Cleve Ranges
https://linked.data.gov.au/def/australian-physiographic-units/gibson-desert-plains,,Gibson Desert Plains
https://linked.data.gov.au/def/australian-physiographic-units/gilbert-hills,,Gilbert Hills
https://linked.data.gov.au/def/australian-physiographic-units/gilberton-plateau,,Gilberton Plateau
https://linked.data.gov.au/def/australian-physiographic-units/gippsland-plain,,Gippsland Plain
https://linked.data.gov.au/def/australian-physiographic-units/glengarry-hills,,Glengarry Hills
https://linked.data.gov.au/def/australian-physiographic-units/goulburn-corridor,,Goulburn Corridor
https://linked.data.gov.au/def/australian-physiographic-units/great-barrier-reef-province,,Great Barrier Reef Province
https://linked.data.gov.au/def/australian-physiographic-units/great-sandy-desert-dunefield,,Great Sandy Desert Dunefield
https://linked.data.gov.au/def/australian-physiographic-units/great-victoria-desert-dunes,,Great Victoria Desert Dunes
https://linked.data.gov.au/def/australian-physiographic-units/greenough-hills,,Greenough Hills
https://linked.data.gov.au/def/australian-physiographic-units/gregory-range,,Gregory Range
https://linked.data.gov.au/def/australian-physiographic-units/grey-range,,Grey Range
https://linked.data.gov.au/def/australian-physiographic-units/gulf-coastal-lowlands,,Gulf Coastal Lowlands
https://linked.data.gov.au/def/australian-physiographic-units/gulf-fall,,Gulf Fall
https://linked.data.gov.au/def/australian-physiographic-units/gulfs-ranges-province,,Gulfs Ranges Province
https://linked.data.gov.au/def/australian-physiographic-units/gunnedah-lowland,,Gunnedah Lowland
https://linked.data.gov.au/def/australian-physiographic-units/halls-creek-ridges,,Halls Creek Ridges
https://linked.data.gov.au/def/australian-physiographic-units/hamersley-plateaus,,Hamersley Plateaus
https://linked.data.gov.au/def/australian-physiographic-units/hawkesbury-shoalhaven-plateaus,,Hawkesbury–Shoalhaven Plateaus
https://linked.data.gov.au/def/australian-physiographic-units/hervey-tablelands,,Hervey Tablelands
https://linked.data.gov.au/def/australian-physiographic-units/holroyd-plains,,Holroyd Plains
https://linked.data.gov.au/def/australian-physiographic-units/hume-slopes,,Hume Slopes
https://linked.data.gov.au/def/australian-physiographic-units/hunter-valley,,Hunter Valley
https://linked.data.gov.au/def/australian-physiographic-units/innamincka-plains,,Innamincka Plains
https://linked.data.gov.au/def/australian-physiographic-units/interior-lowland-division,,Interior Lowland Division
https://linked.data.gov.au/def/australian-physiographic-units/isa-ridges,,Isa Ridges
https://linked.data.gov.au/def/australian-physiographic-units/israelite-plain,,Israelite Plain
https://linked.data.gov.au/def/australian-physiographic-units/ivanhoe-plains,,Ivanhoe Plains
https://linked.data.gov.au/def/australian-physiographic-units/jardine-uplands,,Jardine Uplands
https://linked.data.gov.au/def/australian-physiographic-units/jericho-plain,,Jericho Plain
https://linked.data.gov.au/def/australian-physiographic-units/karumba-plain,,Karumba Plain
https://linked.data.gov.au/def/australian-physiographic-units/kennedy-range,,Kennedy Range
https://linked.data.gov.au/def/australian-physiographic-units/kimberley-plateau,,Kimberley Plateau
https://linked.data.gov.au/def/australian-physiographic-units/kimberley-province,,Kimberley Province
https://linked.data.gov.au/def/australian-physiographic-units/kosciuszkan-uplands-province,,Kosciuszkan Uplands Province
https://linked.data.gov.au/def/australian-physiographic-units/kulgera-hills,,Kulgera Hills
https://linked.data.gov.au/def/australian-physiographic-units/lakes-plateau,,Lakes Plateau
https://linked.data.gov.au/def/australian-physiographic-units/laura-plain,,Laura Plain
https://linked.data.gov.au/def/australian-physiographic-units/leemans-sandplain,,Leemans Sandplain
https://linked.data.gov.au/def/australian-physiographic-units/leeuwin-peninsula,,Leeuwin Peninsula
