iri,broader,prefLabel
https://linked.data.gov.au/def/vertical-depth-reference-systems/above-ground-level,,above ground level
https://linked.data.gov.au/def/vertical-depth-reference-systems/australian-height-datum,,Australian Height Datum
https://linked.data.gov.au/def/vertical-depth-reference-systems/australian-height-datum-TAS83,,Australian Height Datum (Tasmania) 1983
https://linked.data.gov.au/def/vertical-depth-reference-systems/australian-vertical-working-surface,,Australian Vertical Working Surface
https://linked.data.gov.au/def/vertical-depth-reference-systems/depth-reference-systems-drilling,,depth reference systems — drilling
https://linked.data.gov.au/def/vertical-depth-reference-systems/drill-collar,,drill collar
https://linked.data.gov.au/def/vertical-depth-reference-systems/drill-floor,,drill floor
https://linked.data.gov.au/def/vertical-depth-reference-systems/ground-level,,ground level
https://linked.data.gov.au/def/vertical-depth-reference-systems/islw,,Indian Spring Low Water
https://linked.data.gov.au/def/vertical-depth-reference-systems/islw-depth,,ISLW depth
https://linked.data.gov.au/def/vertical-depth-reference-systems/kelly-bushing,,kelly bushing
https://linked.data.gov.au/def/vertical-depth-reference-systems/lat-depth,,LAT depth
https://linked.data.gov.au/def/vertical-depth-reference-systems/lat,,Lowest Astronomical Tide
https://linked.data.gov.au/def/vertical-depth-reference-systems/mean-sea-level,,mean sea level
https://linked.data.gov.au/def/vertical-depth-reference-systems/metres-sub-sea,,metres subsea
https://linked.data.gov.au/def/vertical-depth-reference-systems/msl-depth,,MSL depth
https://linked.data.gov.au/def/vertical-depth-reference-systems/msl-height,,MSL height
https://linked.data.gov.au/def/vertical-depth-reference-systems/mudline,,mudline
https://linked.data.gov.au/def/vertical-depth-reference-systems/precollar,,pre-collar
https://linked.data.gov.au/def/vertical-depth-reference-systems/reduced-level,,reduced level
https://linked.data.gov.au/def/vertical-depth-reference-systems/rotary-table,,rotary table
https://linked.data.gov.au/def/vertical-depth-reference-systems/seismic-reference-datum,,seismic reference datum
https://linked.data.gov.au/def/vertical-depth-reference-systems/depth-reference-unknown,,unknown
https://linked.data.gov.au/def/depth-reference/water-bottom,,water bottom
https://linked.data.gov.au/def/depth-reference/well-head,,wellhead
