iri,broader,prefLabel
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/air-core,,air core
http://resource.geosciml.org/classifier/cgi/boreholedrillingmethod/auger,,auger drilling
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/Bauer-bucket,,Bauer bucket
http://resource.geosciml.org/classifier/cgi/boreholedrillingmethod/box_core,,box core
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/bucket-drilling,,bucket drilling
http://resource.geosciml.org/classifier/cgi/boreholedrillingmethod/cable_tool_drilling,,cable tool
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/Calweld,,Calweld
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/coiled-tubing,,coiled tubing drilling
http://resource.geosciml.org/classifier/cgi/boreholedrillingmethod/cone_penetrometer_test_probe,,cone penetrometer test probe
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/conventional-core,,conventional core
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/core-drilling,,core drilling
http://resource.geosciml.org/classifier/cgi/boreholedrillingmethod/delft_sampler,,Delft sampler
http://resource.geosciml.org/classifier/cgi/boreholedrillingmethod/diamond_core,,diamond core
http://resource.geosciml.org/classifier/cgi/boreholedrillingmethod/direct_push,,direct push drilling
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/downhole-motor,,downhole motor
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/drop-core-drilling,,drop core drilling
http://resource.geosciml.org/classifier/cgi/boreholedrillingmethod/geoprobe_core,,Geoprobe core
http://resource.geosciml.org/classifier/cgi/boreholedrillingmethod/gravity_core,,gravity core
http://resource.geosciml.org/classifier/cgi/boreholedrillingmethod/hand_auger,,hand auger
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/hybrid-drilling,,hybrid drilling
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/hydraulic-jet,,hydraulic jet
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/hydraulic-rotary,,hydraulic rotary
http://resource.geosciml.org/classifier/cgi/boreholedrillingmethod/kasten_core,,Kasten core
http://resource.geosciml.org/classifier/cgi/boreholedrillingmethod/mackereth_core,,Mackereth core
http://resource.geosciml.org/classifier/cgi/boreholedrillingmethod/mackintosh_probe,,Mackintosh probe
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/non-rotary,,non-rotary drilling
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/piston-core,,piston core
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/power-auger,,power auger
http://resource.geosciml.org/classifier/cgi/boreholedrillingmethod/probe,,probe
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/reverse-circulation,,reverse circulation
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/rotary-air-blast,,rotary air blast
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/rotary-drilling,,rotary drilling
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/rotary-hammer,,rotary hammer
http://resource.geosciml.org/classifier/cgi/boreholedrillingmethod/sonic,,sonic
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/unknown,,unknown
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/vacuum,,vacuum
http://resource.geosciml.org/classifier/cgi/boreholedrillingmethod/vibrocore,,vibrocore
http://resource.geosciml.org/classifier/cgi/boreholedrillingmethod/window_sampler,,window sampler
https://linked.data.gov.au/def/borehole-drilling-method-western-australia/wireline-core,,wireline core
