iri,broader,prefLabel
https://linked.data.gov.au/def/borehole-geometry/bh-azimuth,,azimuth
https://linked.data.gov.au/def/borehole-geometry/bh-diameter,,borehole diameter
https://linked.data.gov.au/def/borehole-geometry/bh-dip,,dip
https://linked.data.gov.au/def/borehole-geometry/dogleg-rate,,dogleg rate
https://linked.data.gov.au/def/borehole-geometry/bh-downholesurvey,,downhole directional survey
https://linked.data.gov.au/def/borehole-geometry/bh-end-point,,end point location
https://linked.data.gov.au/def/borehole-geometry/bh-grid-azimuth,,grid azimuth
https://linked.data.gov.au/def/borehole-geometry/bh-inclination,,inclination
https://linked.data.gov.au/def/borehole-geometry/bh-kickoff-point,,kick-off point
https://linked.data.gov.au/def/borehole-geometry/bh-magnetic-azimuth,,magnetic azimuth
https://linked.data.gov.au/def/borehole-geometry/bh-magnetic-declination,,magnetic declination
https://linked.data.gov.au/def/borehole-geometry/measured-depth,,measured depth
https://linked.data.gov.au/def/borehole-geometry/md-kelly-bushing,,measured depth from kelly bushing
https://linked.data.gov.au/def/borehole-geometry/md-rotarytable,,measured depth from rotary table
https://linked.data.gov.au/def/borehole-geometry/precollar-depth,,pre-collar depth
https://linked.data.gov.au/def/borehole-geometry/reduced-level-depth,,reduced level depth
https://linked.data.gov.au/def/borehole-geometry/bh-start-point,,start point location
https://linked.data.gov.au/def/borehole-geometry/bh-totaldepth,,total depth
https://linked.data.gov.au/def/borehole-geometry/bh-true-azimuth,,true azimuth
https://linked.data.gov.au/def/borehole-geometry/true-vertical-depth,,true vertical depth
https://linked.data.gov.au/def/borehole-geometry/tvd-below-mudline,,true vertical depth below mudline
https://linked.data.gov.au/def/borehole-geometry/tvd-drillfloor,,true vertical depth drillfloor
https://linked.data.gov.au/def/borehole-geometry/tvd-kelly-bushing,,true vertical depth kelly bushing
https://linked.data.gov.au/def/borehole-geometry/tvd-rotary-table,,true vertical depth rotary table
https://linked.data.gov.au/def/borehole-geometry/tvd-subsea,,true vertical depth subsea
https://linked.data.gov.au/def/borehole-geometry/bh-vertical-section,,vertical section
