iri,broader,prefLabel
https://linked.data.gov.au/def/borehole-purpose-wa/acid-leachate-testing,https://linked.data.gov.au/def/borehole-purpose-wa/environmental,acid leachate testing
https://linked.data.gov.au/def/borehole-purpose-wa/appraisal-fluid-energy,https://linked.data.gov.au/def/borehole-purpose-wa/exploration-exploitation-fluid-energy-resources,appraisal (fluid energy)
https://linked.data.gov.au/def/borehole-purpose-wa/blasthole,https://linked.data.gov.au/def/borehole-purpose-wa/mining-development-and-production,blasthole
https://linked.data.gov.au/def/borehole-purpose-wa/cable-services,https://linked.data.gov.au/def/borehole-purpose-wa/service-mining,cable services
https://linked.data.gov.au/def/borehole-purpose-wa/development-fluid-energy,https://linked.data.gov.au/def/borehole-purpose-wa/exploration-exploitation-fluid-energy-resources,development (fluid energy)
https://linked.data.gov.au/def/borehole-purpose-wa/dewatering-hydrogeology,https://linked.data.gov.au/def/borehole-purpose-wa/hydrogeology,dewatering (hydrogeology)
https://linked.data.gov.au/def/borehole-purpose-wa/dewatering-mining,https://linked.data.gov.au/def/borehole-purpose-wa/hydrogeology-mining,dewatering (mining)
https://linked.data.gov.au/def/borehole-purpose-wa/disposal-fluid-energy,https://linked.data.gov.au/def/borehole-purpose-wa/service-fluid-energy,disposal (fluid energy)
https://linked.data.gov.au/def/borehole-purpose-wa/disposal-hydrogeology,https://linked.data.gov.au/def/borehole-purpose-wa/hydrogeology,disposal (hydrogeology)
https://linked.data.gov.au/def/borehole-purpose-wa/drives-and-declines,https://linked.data.gov.au/def/borehole-purpose-wa/service-mining,drives and declines
https://linked.data.gov.au/def/borehole-purpose-wa/electrokinetic-in-situ-leaching,https://linked.data.gov.au/def/borehole-purpose-wa/in-situ-leaching,electrokinetic in-situ leaching
https://linked.data.gov.au/def/borehole-purpose-wa/environmental,,environmental
https://linked.data.gov.au/def/borehole-purpose-wa/exploration-fluid-energy,https://linked.data.gov.au/def/borehole-purpose-wa/exploration-exploitation-fluid-energy-resources,exploration (fluid energy)
