iri,broader,prefLabel
http://pid.suncorp.com.au/def/brand/aainz,,AAI NZ
http://pid.suncorp.com.au/def/brand/aami,,AAMI
http://pid.suncorp.com.au/def/brand/apia,,APIA
http://pid.suncorp.com.au/def/brand/bingle,,Bingle
http://pid.suncorp.com.au/def/brand/cil,,CIL
http://pid.suncorp.com.au/def/brand/ctp,,CTP
http://pid.suncorp.com.au/def/brand/essentials,,Essentials
http://pid.suncorp.com.au/def/brand/gio,,GIO
http://pid.suncorp.com.au/def/brand/shannons,,Shannons
http://pid.suncorp.com.au/def/brand/suncorp,,Suncorp
http://pid.suncorp.com.au/def/brand/terri-scheer,,Terri Scheer
