iri,broader,prefLabel
https://linked.data.gov.au/def/CRIRSCO-mineral-resource-reporting/Competent-Person,,Competent Person
https://linked.data.gov.au/def/CRIRSCO-mineral-resource-reporting/Exploration-Results,,Exploration Results
https://linked.data.gov.au/def/CRIRSCO-mineral-resource-reporting/Exploration-Target,,Exploration Target
https://linked.data.gov.au/def/CRIRSCO-mineral-resource-reporting/Feasibility-Study,,Feasibility Study
https://linked.data.gov.au/def/CRIRSCO-mineral-resource-reporting/Indicated-Resource,,Indicated Resource
https://linked.data.gov.au/def/CRIRSCO-mineral-resource-reporting/Inferred-Resource,,Inferred Resource
https://linked.data.gov.au/def/CRIRSCO-mineral-resource-reporting/Measured-Resource,,Measured Resource
https://linked.data.gov.au/def/CRIRSCO-mineral-resource-reporting/Mineral,,Mineral
https://linked.data.gov.au/def/CRIRSCO-mineral-resource-reporting/Mineral-Reserve,,Mineral Reserve
https://linked.data.gov.au/def/CRIRSCO-mineral-resource-reporting/Mineral-Resource,,Mineral Resource
https://linked.data.gov.au/def/CRIRSCO-mineral-resource-reporting/Modifying-Factors,,Modifying Factors
https://linked.data.gov.au/def/CRIRSCO-mineral-resource-reporting/Pre-Feasibility-Study,,Pre-Feasibility Study
https://linked.data.gov.au/def/CRIRSCO-mineral-resource-reporting/Probable-Reserve,,Probable Reserve
https://linked.data.gov.au/def/CRIRSCO-mineral-resource-reporting/Proved-Reserve,,Proved Reserve
https://linked.data.gov.au/def/CRIRSCO-mineral-resource-reporting/Public-reports,,Public reports
https://linked.data.gov.au/def/CRIRSCO-mineral-resource-reporting/Scoping-Study,,Scoping Study
