iri,broader,prefLabel
https://linked.data.gov.au/def/dmirs-offices/adelaide-terrace,,1 Adelaide Terrace
https://linked.data.gov.au/def/dmirs-offices/stgeorges-terrace,,66 St Georges Terrace
https://linked.data.gov.au/def/dmirs-offices/carlisle,,Carlisle
https://linked.data.gov.au/def/dmirs-offices/collie-office,,Collie office
https://linked.data.gov.au/def/dmirs-offices/wa-core-libraries,,Core libraries
https://linked.data.gov.au/def/dmirs-offices/kalgoorlie-office,,Goldfields–Esperance (Kalgoorlie) regional office
https://linked.data.gov.au/def/dmirs-offices/gordon-stephenson-house,,Gordon Stephenson House
https://linked.data.gov.au/def/dmirs-offices/albany-office,,Great Southern (Albany) regional office
https://linked.data.gov.au/def/dmirs-offices/joe-lord-core-library,,JH (Joe) Lord Core Library
https://linked.data.gov.au/def/dmirs-offices/broome-office,,Kimberley (Broome) regional office
https://linked.data.gov.au/def/dmirs-offices/leonora-office,,Leonora office
https://linked.data.gov.au/def/dmirs-offices/mason-bird,,Mason Bird Building
https://linked.data.gov.au/def/dmirs-offices/dmirs-metropolitan,,Metropolitan offices
https://linked.data.gov.au/def/dmirs-offices/geraldton-office,,Mid-West (Geraldton) regional office
https://linked.data.gov.au/def/dmirs-offices/mineral-house,,Mineral House
https://linked.data.gov.au/def/dmirs-offices/mount-magnet-office,,Mount Magnet office
https://linked.data.gov.au/def/dmirs-offices/karratha-office,,North West (Karratha) regional office
https://linked.data.gov.au/def/dmirs-offices/perth-core-library,,Perth Core Library
https://linked.data.gov.au/def/dmirs-offices/dmirs-regional,,Regional offices
https://linked.data.gov.au/def/dmirs-offices/bunbury-office,,South West (Bunbury) regional office
https://linked.data.gov.au/def/dmirs-offices/southern-cross-office,,Southern Cross office
