iri,broader,prefLabel
https://linked.data.gov.au/def/earthsci-for/active-seismic,https://linked.data.gov.au/def/earthsci-for/seismic-surveys,active seismic
https://linked.data.gov.au/def/earthsci-for/airborne-spectral-imaging,https://linked.data.gov.au/def/earthsci-for/spectral-imaging,airborne spectral imaging
https://linked.data.gov.au/def/earthsci-for/applied-geophysics,https://linked.data.gov.au/def/earthsci-for/geophysics,applied geophysics
https://linked.data.gov.au/def/earthsci-for/applied-mineralogy,https://linked.data.gov.au/def/earthsci-for/mineralogy,applied mineralogy
https://linked.data.gov.au/def/earthsci-for/archeology,"https://linked.data.gov.au/def/earthsci-for/history,-heritage-and-archeology",archeology
https://linked.data.gov.au/def/earthsci-for/archival-repository-and-related-studies,https://linked.data.gov.au/def/earthsci-for/heritage-archive-and-museum-studies,"archival, repository and related studies"
https://linked.data.gov.au/def/earthsci-for/artificial-intelligence,https://linked.data.gov.au/def/earthsci-for/information-and-computing-sciences,artificial intelligence
https://linked.data.gov.au/def/earthsci-for/astrobiology,https://linked.data.gov.au/def/earthsci-for/astronomical-sciences,astrobiology
https://linked.data.gov.au/def/earthsci-for/astronomical-sciences,https://linked.data.gov.au/def/earthsci-for/physical-sciences,astronomical sciences
https://linked.data.gov.au/def/earthsci-for/atmospheric-sciences,https://linked.data.gov.au/def/earthsci-for/earth-sciences,atmospheric sciences
https://linked.data.gov.au/def/earthsci-for/basement-geology,https://linked.data.gov.au/def/earthsci-for/geology,basement geology
https://linked.data.gov.au/def/earthsci-for/basin-analysis,https://linked.data.gov.au/def/earthsci-for/geology,basin analysis
https://linked.data.gov.au/def/earthsci-for/biogeochemistry,https://linked.data.gov.au/def/earthsci-for/geochemistry,biogeochemistry
https://linked.data.gov.au/def/earthsci-for/biogeology,https://linked.data.gov.au/def/earthsci-for/geobiology,biogeology
https://linked.data.gov.au/def/earthsci-for/biological-sciences,,biological sciences
https://linked.data.gov.au/def/earthsci-for/biostratigraphic-age-determination,https://linked.data.gov.au/def/earthsci-for/geochronology,biostratigraphic age determination
https://linked.data.gov.au/def/earthsci-for/biostratigraphy,https://linked.data.gov.au/def/earthsci-for/stratigraphy,biostratigraphy
