iri,broader,prefLabel
https://linked.data.gov.au/def/geological-feature-type/formal-unit,,formal unit
https://linked.data.gov.au/def/geological-feature-type/geological-event,,geological event
https://linked.data.gov.au/def/geological-feature-type/georesources,,georesources
https://linked.data.gov.au/def/geological-feature-type/landform-feature,,landform feature
https://linked.data.gov.au/def/geological-feature-type/lithstrat-unit,,lithostratigraphic unit
https://linked.data.gov.au/def/geological-feature-type/lithotectonic-unit,,lithotectonic unit
https://linked.data.gov.au/def/geological-feature-type/metallogenic-province,,metallogenic province
https://linked.data.gov.au/def/geological-feature-type/mineral-system,,mineral system
https://linked.data.gov.au/def/geological-feature-type/petroleum-supersystem,,petroleum supersystem
https://linked.data.gov.au/def/geological-feature-type/physiographic-unit,,physiographic unit
https://linked.data.gov.au/def/geological-feature-type/regolith-unit,,regolith unit
https://linked.data.gov.au/def/geological-feature-type/structural-feature,,structural feature
https://linked.data.gov.au/def/geological-feature-type/tectonic-feature,,tectonic feature
https://linked.data.gov.au/def/geological-feature-type/tectonic-unit,,tectonic unit
