iri,broader,prefLabel
http://qudt.org/vocab/unit/PH,,acidity (pH)
http://qudt.org/vocab/unit/ANGSTROM,,ångström
https://linked.data.gov.au/def/uom-geoscience/API,,API
http://qudt.org/vocab/unit/ARCMIN,,arcminute
http://qudt.org/vocab/unit/ARCSEC,,arcsecond
http://qudt.org/vocab/unit/AU,,astronomical unit
http://linked.data.gov.au/def/iso-4217-currencies/aud,,Australian dollar
https://linked.data.gov.au/def/uom-geoscience/BANK_M3,,bank cubic metres
http://qudt.org/vocab/unit/BAR,,bar
http://qudt.org/vocab/unit/BBL,,barrel
https://linked.data.gov.au/def/uom-geoscience/BBL_US,,barrel (US)
https://linked.data.gov.au/def/uom-geoscience/BBL_US_d,,barrel (US) per day
http://linked.data.gov.au/def/geou/BOE,,barrel of oil equivalent
http://linked.data.gov.au/def/geou/BBLOE,,barrel of oil equivalent per megalitre
http://qudt.org/vocab/unit/BQ,,becquerel
https://linked.data.gov.au/def/uom-geoscience/Bq-PER-GM,,becquerel per gram
http://linked.data.gov.au/def/geou/GigaM3,,billion cubic metres
https://linked.data.gov.au/def/uom-geoscience/GigaYR,,billions of years
http://qudt.org/vocab/unit/BIT,,bit
http://qudt.org/vocab/unit/BTU_IT,,British thermal unit (international definition)
http://qudt.org/vocab/unit/BTU_IT-PER-LB,,British thermal unit per imperial pound
http://linked.data.gov.au/def/geou/BTU-PER-MegaL,,British thermal unit per megalitre
http://linked.data.gov.au/def/geou/BWOC,,by weight of cement
http://linked.data.gov.au/def/geou/BWOW,,by weight of water
http://qudt.org/vocab/unit/BYTE,,byte
http://qudt.org/vocab/unit/CARAT,,carat
https://linked.data.gov.au/def/uom-geoscience/CARAT-PER-100-TON_M,,carat per 100 tonnes
http://linked.data.gov.au/def/geou/CARAT-PER-M3,,carat per cubic metre
https://linked.data.gov.au/def/uom-geoscience/CARAT-PER-STONE,,carat per stone
https://linked.data.gov.au/def/uom-geoscience/CARAT-PER-TON_M,,carat per tonne
http://qudt.org/vocab/unit/CentiM,,centimetre
http://qudt.org/vocab/unit/CentiPOISE,,centipoise
http://qudt.org/vocab/unit/CH,,chain
http://linked.data.gov.au/def/geou/COUNT,,count
http://qudt.org/vocab/unit/NUM-PER-SEC,,counts per second
http://qudt.org/vocab/unit/CentiM3,,cubic centimetre
http://linked.data.gov.au/def/geou/CentiM3-PER-GM,,cubic centimetres per gram
http://linked.data.gov.au/def/geou/CentiM3-PER-TON_M,,cubic centimetres per tonne
http://qudt.org/vocab/unit/DeciM3,,cubic decimetre
https://linked.data.gov.au/def/uom-geoscience/FT3-PER-TON_SHORT,,cubic feet per short ton
http://linked.data.gov.au/def/geou/FT3-PER-TON_M,,cubic feet per tonne
http://qudt.org/vocab/unit/FT3,,cubic foot
http://qudt.org/vocab/unit/FT3-PER-DAY,,cubic foot per day
http://qudt.org/vocab/unit/FT3-PER-HR,,cubic foot per hour
http://qudt.org/vocab/unit/M3,,cubic metre
http://qudt.org/vocab/unit/M3-PER-DAY,,cubic metre per day
http://qudt.org/vocab/unit/M3-PER-HR,,cubic metre per hour
https://linked.data.gov.au/def/uom-geoscience/M3-PER-TON,,cubic metres per tonne
http://qudt.org/vocab/unit/MilliM3,,cubic millimetre
http://qudt.org/vocab/unit/Ci,,curie
http://linked.data.gov.au/def/geou/D,,darcy
http://qudt.org/vocab/unit/DAY,,day
http://linked.data.gov.au/def/geou/FRAC,,decimal fraction
http://qudt.org/vocab/unit/DeciM,,decimetre
http://qudt.org/vocab/unit/DEG,,degree
http://qudt.org/vocab/unit/DEG_C,,degree Celsius
http://qudt.org/vocab/unit/DEG_F,,degree Fahrenheit
https://linked.data.gov.au/def/uom-geoscience/DEG_C-PER-GigaPA,,degrees Celsius per gigapascal
https://linked.data.gov.au/def/uom-geoscience/DEG_C-PER-KiloBAR,,degrees Celsius per kilobar
https://linked.data.gov.au/def/uom-geoscience/DEG_C-PER-KiloM,,degrees Celsius per kilometre
