iri,broader,prefLabel
https://linked.data.gov.au/def/gswa-collection-facilities/carlisle,,Carlisle
https://linked.data.gov.au/def/gswa-collection-facilities/carlisle-laboratory,,Carlisle laboratory
https://linked.data.gov.au/def/gswa-collection-facilities/carlisle-records-building,,Carlisle Records building
https://linked.data.gov.au/def/gswa-collection-facilities/field-logistics,,Field logistics
https://linked.data.gov.au/def/gswa-collection-facilities/harry-butler-research-centre,,Harry Butler Research Centre
https://linked.data.gov.au/def/gswa-collection-facilities/iron-mountain,,Iron Mountain Australia Group storage facility
https://linked.data.gov.au/def/gswa-collection-facilities/joe-lord-core-library,,JH (Joe) Lord Core Library
https://linked.data.gov.au/def/gswa-collection-facilities/kalgoorlie-regional-office,,Kalgoorlie regional office
https://linked.data.gov.au/def/gswa-collection-facilities/mineral-house,,Mineral House
https://linked.data.gov.au/def/gswa-collection-facilities/mineral-house-foyer,,Mineral House foyer
https://linked.data.gov.au/def/gswa-collection-facilities/mineral-house-library,,Mineral House Library
https://linked.data.gov.au/def/gswa-collection-facilities/mineral-house-other,,Mineral House other
https://linked.data.gov.au/def/gswa-collection-facilities/museum-of-the-goldfields,,Museum of the Goldfields
https://linked.data.gov.au/def/gswa-collection-facilities/perth-core-library,,Perth Core Library
https://linked.data.gov.au/def/gswa-collection-facilities/perth-mint,,Perth Mint
https://linked.data.gov.au/def/gswa-collection-facilities/wa-museum-boola-bardip,,WA Museum Boola Bardip
https://linked.data.gov.au/def/gswa-collection-facilities/western-australian-museum,,Western Australian Museum
