iri,broader,prefLabel
https://linked.data.gov.au/def/gswa-rock-classification-scheme/alkali-feldspar-granite,https://linked.data.gov.au/def/gswa-rock-classification-scheme/igneous-felsic-intrusive,alkali feldspar granite
https://linked.data.gov.au/def/gswa-rock-classification-scheme/alkali-feldspar-syenite,https://linked.data.gov.au/def/gswa-rock-classification-scheme/igneous-felsic-intrusive,alkali feldspar syenite
https://linked.data.gov.au/def/gswa-rock-classification-scheme/amphibolite,https://linked.data.gov.au/def/gswa-rock-classification-scheme/meta-igneous-mafic,amphibolite
https://linked.data.gov.au/def/gswa-rock-classification-scheme/amphibolite-derived-from-intrusive-rock,https://linked.data.gov.au/def/gswa-rock-classification-scheme/meta-igneous-mafic-intrusive,amphibolite derived from intrusive rock
https://linked.data.gov.au/def/gswa-rock-classification-scheme/amphibolite-derived-from-volcanic-rock,https://linked.data.gov.au/def/gswa-rock-classification-scheme/meta-igneous-mafic-volcanic,amphibolite derived from volcanic rock
https://linked.data.gov.au/def/gswa-rock-classification-scheme/amphibolitic-fault-rock,https://linked.data.gov.au/def/gswa-rock-classification-scheme/metamorphic-protolith-unknown-fault-rock,amphibolitic fault rock
https://linked.data.gov.au/def/gswa-rock-classification-scheme/amphibolitic-gneiss,https://linked.data.gov.au/def/gswa-rock-classification-scheme/metamorphic-protolith-unknown-gneiss,amphibolitic gneiss
https://linked.data.gov.au/def/gswa-rock-classification-scheme/amphibolitic-granofels-hornfels,https://linked.data.gov.au/def/gswa-rock-classification-scheme/metamorphic-protolith-unknown-granofels-hornfels,amphibolitic granofels/hornfels
https://linked.data.gov.au/def/gswa-rock-classification-scheme/amphibolitic-schist,https://linked.data.gov.au/def/gswa-rock-classification-scheme/metamorphic-protolith-unknown-schist,amphibolitic schist
https://linked.data.gov.au/def/gswa-rock-classification-scheme/andesite,https://linked.data.gov.au/def/gswa-rock-classification-scheme/igneous-felsic-volcanic,andesite
https://linked.data.gov.au/def/gswa-rock-classification-scheme/anhydrite-evaporite,https://linked.data.gov.au/def/gswa-rock-classification-scheme/evaporite,anhydrite (evaporite)
https://linked.data.gov.au/def/gswa-rock-classification-scheme/anorthosite,https://linked.data.gov.au/def/gswa-rock-classification-scheme/igneous-mafic-intrusive,anorthosite
https://linked.data.gov.au/def/gswa-rock-classification-scheme/anthracite,https://linked.data.gov.au/def/gswa-rock-classification-scheme/coal,anthracite
https://linked.data.gov.au/def/gswa-rock-classification-scheme/arenite,https://linked.data.gov.au/def/gswa-rock-classification-scheme/sedimentary-siliciclastic,arenite
https://linked.data.gov.au/def/gswa-rock-classification-scheme/arkose,https://linked.data.gov.au/def/gswa-rock-classification-scheme/sedimentary-siliciclastic,arkose
https://linked.data.gov.au/def/gswa-rock-classification-scheme/banded-iron-formation,https://linked.data.gov.au/def/gswa-rock-classification-scheme/iron-formation,banded iron-formation
https://linked.data.gov.au/def/gswa-rock-classification-scheme/baryte,https://linked.data.gov.au/def/gswa-rock-classification-scheme/sedimentary-other-chemical-or-biochemical,baryte
https://linked.data.gov.au/def/gswa-rock-classification-scheme/baryte-vein,https://linked.data.gov.au/def/gswa-rock-classification-scheme/hydrothermal,baryte vein
https://linked.data.gov.au/def/gswa-rock-classification-scheme/basalt,https://linked.data.gov.au/def/gswa-rock-classification-scheme/igneous-mafic-volcanic,basalt
https://linked.data.gov.au/def/gswa-rock-classification-scheme/basaltic-andesite,https://linked.data.gov.au/def/gswa-rock-classification-scheme/igneous-mafic-volcanic,basaltic andesite
https://linked.data.gov.au/def/gswa-rock-classification-scheme/bituminous-coal,https://linked.data.gov.au/def/gswa-rock-classification-scheme/coal,bituminous coal
https://linked.data.gov.au/def/gswa-rock-classification-scheme/blastomylonite,https://linked.data.gov.au/def/gswa-rock-classification-scheme/metamorphic-protolith-unknown-fault-rock,blastomylonite
https://linked.data.gov.au/def/gswa-rock-classification-scheme/blueschist,https://linked.data.gov.au/def/gswa-rock-classification-scheme/meta-igneous-mafic,blueschist
https://linked.data.gov.au/def/gswa-rock-classification-scheme/boulder-conglomerate,https://linked.data.gov.au/def/gswa-rock-classification-scheme/conglomerate,boulder conglomerate
https://linked.data.gov.au/def/gswa-rock-classification-scheme/calc-silicate-gneiss,https://linked.data.gov.au/def/gswa-rock-classification-scheme/calc-silicate-rock,calc-silicate gneiss
https://linked.data.gov.au/def/gswa-rock-classification-scheme/calc-silicate-granofels-hornfels,https://linked.data.gov.au/def/gswa-rock-classification-scheme/calc-silicate-rock,calc-silicate granofels/hornfels
https://linked.data.gov.au/def/gswa-rock-classification-scheme/calc-silicate-rock,https://linked.data.gov.au/def/gswa-rock-classification-scheme/metasedimentary-carbonate,calc-silicate rock
https://linked.data.gov.au/def/gswa-rock-classification-scheme/calc-silicate-schist,https://linked.data.gov.au/def/gswa-rock-classification-scheme/calc-silicate-rock,calc-silicate schist
https://linked.data.gov.au/def/gswa-rock-classification-scheme/calcarenite,https://linked.data.gov.au/def/gswa-rock-classification-scheme/limestone,calcarenite
https://linked.data.gov.au/def/gswa-rock-classification-scheme/calcareous-sandstone,https://linked.data.gov.au/def/gswa-rock-classification-scheme/sandstone,calcareous sandstone
https://linked.data.gov.au/def/gswa-rock-classification-scheme/calcilutite,https://linked.data.gov.au/def/gswa-rock-classification-scheme/limestone,calcilutite
https://linked.data.gov.au/def/gswa-rock-classification-scheme/calcirudite,https://linked.data.gov.au/def/gswa-rock-classification-scheme/limestone,calcirudite
https://linked.data.gov.au/def/gswa-rock-classification-scheme/calcite-evaporite,https://linked.data.gov.au/def/gswa-rock-classification-scheme/evaporite,calcite (evaporite)
https://linked.data.gov.au/def/gswa-rock-classification-scheme/calcite-vein,https://linked.data.gov.au/def/gswa-rock-classification-scheme/hydrothermal,calcite vein
https://linked.data.gov.au/def/gswa-rock-classification-scheme/calcite-carbonatite,https://linked.data.gov.au/def/gswa-rock-classification-scheme/igneous-carbonatite,calcite-carbonatite
https://linked.data.gov.au/def/gswa-rock-classification-scheme/camptonite,https://linked.data.gov.au/def/gswa-rock-classification-scheme/igneous-lamprophyres,camptonite
https://linked.data.gov.au/def/gswa-rock-classification-scheme/carbonate-with-lesser-siliciclastic,https://linked.data.gov.au/def/gswa-rock-classification-scheme/sedimentary-carbonate,carbonate + lesser siliciclastic
https://linked.data.gov.au/def/gswa-rock-classification-scheme/carbonate-fault-rock,https://linked.data.gov.au/def/gswa-rock-classification-scheme/metamorphic-protolith-unknown-fault-rock,carbonate fault rock
https://linked.data.gov.au/def/gswa-rock-classification-scheme/carbonate-gneiss,https://linked.data.gov.au/def/gswa-rock-classification-scheme/metamorphic-protolith-unknown-gneiss,carbonate gneiss
https://linked.data.gov.au/def/gswa-rock-classification-scheme/carbonate-gneiss-sedimentary,https://linked.data.gov.au/def/gswa-rock-classification-scheme/metasedimentary-carbonate,carbonate gneiss (sedimentary)
https://linked.data.gov.au/def/gswa-rock-classification-scheme/carbonate-granofels-hornfels,https://linked.data.gov.au/def/gswa-rock-classification-scheme/metamorphic-protolith-unknown-granofels-hornfels,carbonate granofels/hornfels
https://linked.data.gov.au/def/gswa-rock-classification-scheme/carbonate-granofels-hornfels-sedimentary,https://linked.data.gov.au/def/gswa-rock-classification-scheme/metasedimentary-carbonate,carbonate granofels/hornfels (sedimentary)
https://linked.data.gov.au/def/gswa-rock-classification-scheme/carbonate-rock,https://linked.data.gov.au/def/gswa-rock-classification-scheme/sedimentary-carbonate,carbonate rock
https://linked.data.gov.au/def/gswa-rock-classification-scheme/carbonate-rock-undivided,https://linked.data.gov.au/def/gswa-rock-classification-scheme/sedimentary-carbonate,carbonate rock; undivided
https://linked.data.gov.au/def/gswa-rock-classification-scheme/carbonate-schist,https://linked.data.gov.au/def/gswa-rock-classification-scheme/metamorphic-protolith-unknown-schist,carbonate schist
https://linked.data.gov.au/def/gswa-rock-classification-scheme/carbonate-schist-sedimentary,https://linked.data.gov.au/def/gswa-rock-classification-scheme/metasedimentary-carbonate,carbonate schist (sedimentary)
https://linked.data.gov.au/def/gswa-rock-classification-scheme/carbonate-altered-meta-igneous-mafic-rock,https://linked.data.gov.au/def/gswa-rock-classification-scheme/meta-igneous-mafic,carbonate-altered meta-igneous mafic rock
https://linked.data.gov.au/def/gswa-rock-classification-scheme/carbonate-altered-metamafic-volcanic-rock,https://linked.data.gov.au/def/gswa-rock-classification-scheme/meta-igneous-mafic-volcanic,carbonate-altered metamafic volcanic rock
https://linked.data.gov.au/def/gswa-rock-classification-scheme/carbonatite,https://linked.data.gov.au/def/gswa-rock-classification-scheme/igneous-carbonatite,carbonatite
https://linked.data.gov.au/def/gswa-rock-classification-scheme/carbonatitic-rock-undivided,https://linked.data.gov.au/def/gswa-rock-classification-scheme/igneous-carbonatite,carbonatitic rock; undivided
https://linked.data.gov.au/def/gswa-rock-classification-scheme/carbonatitic-volcaniclastic-breccia,https://linked.data.gov.au/def/gswa-rock-classification-scheme/igneous-carbonatite,carbonatitic volcaniclastic breccia
https://linked.data.gov.au/def/gswa-rock-classification-scheme/carbonatitic-volcaniclastic-breccia-sandstone,https://linked.data.gov.au/def/gswa-rock-classification-scheme/igneous-carbonatite,carbonatitic volcaniclastic breccia-sandstone
https://linked.data.gov.au/def/gswa-rock-classification-scheme/carbonatitic-volcaniclastic-conglomerate,https://linked.data.gov.au/def/gswa-rock-classification-scheme/igneous-carbonatite,carbonatitic volcaniclastic conglomerate
https://linked.data.gov.au/def/gswa-rock-classification-scheme/carbonatitic-volcaniclastic-granule-pebble-breccia,https://linked.data.gov.au/def/gswa-rock-classification-scheme/igneous-carbonatite,carbonatitic volcaniclastic granule/pebble breccia
https://linked.data.gov.au/def/gswa-rock-classification-scheme/carbonatitic-volcaniclastic-mudstone,https://linked.data.gov.au/def/gswa-rock-classification-scheme/igneous-carbonatite,carbonatitic volcaniclastic mudstone
https://linked.data.gov.au/def/gswa-rock-classification-scheme/carbonatitic-volcaniclastic-rock,https://linked.data.gov.au/def/gswa-rock-classification-scheme/igneous-carbonatite,carbonatitic volcaniclastic rock
https://linked.data.gov.au/def/gswa-rock-classification-scheme/carbonatitic-volcaniclastic-sandstone,https://linked.data.gov.au/def/gswa-rock-classification-scheme/igneous-carbonatite,carbonatitic volcaniclastic sandstone
https://linked.data.gov.au/def/gswa-rock-classification-scheme/carbonatitic-volcaniclastic-sandstone-siltstone,https://linked.data.gov.au/def/gswa-rock-classification-scheme/igneous-carbonatite,carbonatitic volcaniclastic sandstone-siltstone
https://linked.data.gov.au/def/gswa-rock-classification-scheme/carbonatitic-volcaniclastic-sediment-matrix-breccia,https://linked.data.gov.au/def/gswa-rock-classification-scheme/igneous-carbonatite,carbonatitic volcaniclastic sediment-matrix breccia
