iri,broader,prefLabel
https://linked.data.gov.au/def/gswa-vocabulary-themes/administration,,administration
https://linked.data.gov.au/def/gswa-vocabulary-themes/data-acquisition,,data acquisition
https://linked.data.gov.au/def/gswa-vocabulary-themes/energy,https://linked.data.gov.au/def/gswa-vocabulary-themes/resources,energy
https://linked.data.gov.au/def/gswa-vocabulary-themes/geochemistry,https://linked.data.gov.au/def/gswa-vocabulary-themes/geology,geochemistry
https://linked.data.gov.au/def/gswa-vocabulary-themes/geochronology,https://linked.data.gov.au/def/gswa-vocabulary-themes/geology,geochronology
https://linked.data.gov.au/def/gswa-vocabulary-themes/geology,,geology
https://linked.data.gov.au/def/gswa-vocabulary-themes/geology-framework,https://linked.data.gov.au/def/gswa-vocabulary-themes/geology,geology framework
https://linked.data.gov.au/def/gswa-vocabulary-themes/geophysics,https://linked.data.gov.au/def/gswa-vocabulary-themes/geology,geophysics
https://linked.data.gov.au/def/gswa-vocabulary-themes/legislation,,legislation
https://linked.data.gov.au/def/gswa-vocabulary-themes/mapping,https://linked.data.gov.au/def/gswa-vocabulary-themes/geology,mapping
https://linked.data.gov.au/def/gswa-vocabulary-themes/mineral,https://linked.data.gov.au/def/gswa-vocabulary-themes/resources,mineral
https://linked.data.gov.au/def/gswa-vocabulary-themes/paleontology,https://linked.data.gov.au/def/gswa-vocabulary-themes/geology,paleontology
https://linked.data.gov.au/def/gswa-vocabulary-themes/resources,,resources
https://linked.data.gov.au/def/gswa-vocabulary-themes/sample-acquisition-management,,sample acquisition and management
