iri,broader,prefLabel
https://linked.data.gov.au/def/JORC-Code/Competent-Person,,Competent Person
https://linked.data.gov.au/def/JORC-Code/Exploration-Results,,Exploration Results
https://linked.data.gov.au/def/JORC-Code/Exploration-Target,,Exploration Target
https://linked.data.gov.au/def/JORC-Code/Feasibility-Study,,Feasibility Study
https://linked.data.gov.au/def/JORC-Code/Indicated-Mineral-Resource,,Indicated Mineral Resource
https://linked.data.gov.au/def/JORC-Code/Inferred-Mineral-Resource,,Inferred Mineral Resource
https://linked.data.gov.au/def/JORC-Code/Measured-Mineral-Resource,,Measured Mineral Resource
https://linked.data.gov.au/def/JORC-Code/Mineral-Resource,,Mineral Resource
https://linked.data.gov.au/def/JORC-Code/Modifying-Factors,,Modifying Factors
https://linked.data.gov.au/def/JORC-Code/Ore-Reserve,,Ore Reserve
https://linked.data.gov.au/def/JORC-Code/Pre-Feasibility-Study,,Pre-Feasibility Study
https://linked.data.gov.au/def/JORC-Code/Probable-Ore-Reserve,,Probable Ore Reserve
https://linked.data.gov.au/def/JORC-Code/Proved-Ore-Reserve,,Proved Ore Reserve
https://linked.data.gov.au/def/JORC-Code/Public-reports,,Public reports
https://linked.data.gov.au/def/JORC-Code/Scoping-Study,,Scoping Study
