iri,broader,prefLabel
https://linked.data.gov.au/def/location-method/1M-geological-map-mga,,1:1 000 000 geological map (MGA)
https://linked.data.gov.au/def/location-method/1M-topographic-map-mga,,1:1 000 000 topographic map (MGA)
https://linked.data.gov.au/def/location-method/100k-geological-map-mga,,1:100 000 geological map (MGA)
https://linked.data.gov.au/def/location-method/100k-topographic-map-mga,,1:100 000 topographic map (MGA)
https://linked.data.gov.au/def/location-method/25k-geological-map-mga,,1:25 000 geological map (MGA)
https://linked.data.gov.au/def/location-method/25k-topographic-map-mga,,1:25 000 topographic map (MGA)
https://linked.data.gov.au/def/location-method/250k-geological-map-mga,,1:250 000 geological map (MGA)
https://linked.data.gov.au/def/location-method/250k-topographic-map-mga,,1:250 000 topographic map (MGA)
https://linked.data.gov.au/def/location-method/50k-geological-map-mga,,1:50 000 geological map (MGA)
https://linked.data.gov.au/def/location-method/50k-topographic-map-mga,,1:50 000 topographic map (MGA)
https://linked.data.gov.au/def/location-method/500k-geological-map-mga,,1:500 000 geological map (MGA)
https://linked.data.gov.au/def/location-method/500k-topographic-map-mga,,1:500 000 topographic map (MGA)
https://linked.data.gov.au/def/location-method/airphoto-mga,,airphoto (MGA)
https://linked.data.gov.au/def/location-method/airphoto-alos-mga,,capture from airphoto using ALOS (MGA)
https://linked.data.gov.au/def/location-method/airphoto-landsat-tm-mga,,capture from airphoto using Landsat TM (MGA)
https://linked.data.gov.au/def/location-method/airphoto-orthophoto-mga,,capture from airphoto using orthophotograph (MGA)
https://linked.data.gov.au/def/location-method/airphoto-spot-p-mga,,capture from airphoto using SPOT P (MGA)
https://linked.data.gov.au/def/location-method/panoramic-image-mga,,capture from panoramic image using orthophotograph (MGA)
https://linked.data.gov.au/def/location-method/rectified-airphoto-mga,,capture from rectified airphoto scans (MGA)
https://linked.data.gov.au/def/location-method/compass-tape,,compass and tape
https://linked.data.gov.au/def/location-method/compass-clinometer,,compass clinometer
https://linked.data.gov.au/def/location-method/compass,,compass surveying
https://linked.data.gov.au/def/location-method/continuous-gyroscopic-survey,,continuous gyroscopic survey
https://linked.data.gov.au/def/location-method/copied-point,,copied point
https://linked.data.gov.au/def/location-method/database,,database
https://linked.data.gov.au/def/location-method/differential-GPS,,Differential GPS (WGS-84/GDA-94)
https://linked.data.gov.au/def/location-method/document,,document
https://linked.data.gov.au/def/location-method/downhole-survey,,downhole orientation survey
https://linked.data.gov.au/def/location-method/estimate,,estimate within tenement
https://linked.data.gov.au/def/location-method/external-database,,external database (WGS/GDA)
https://linked.data.gov.au/def/location-method/ga-common-earth-model,,GA Common Earth Model (WGS-84)
https://linked.data.gov.au/def/location-method/geological-map-mga,,geological map (MGA)
https://linked.data.gov.au/def/location-method/google-earth,,Google Earth (WGS-84)
https://linked.data.gov.au/def/location-method/gps,,GPS
https://linked.data.gov.au/def/location-method/gps-wgs84-gda94,,GPS observation (WGS-84/GDA-94)
https://linked.data.gov.au/def/location-method/gps-wgs84-gda94-legacy,,GPS observation (WGS-84/GDA-94) - legacy
https://linked.data.gov.au/def/location-method/landsatTM-mga,,Landsat TM (MGA)
https://linked.data.gov.au/def/location-method/lidar,,LiDAR
https://linked.data.gov.au/def/location-method/mineral-exploration-report,,mineral exploration report (MGA/WGS/GDA)
https://linked.data.gov.au/def/location-method/non-standard-geological-map-mga,,non-standard geological map (MGA)
https://linked.data.gov.au/def/location-method/non-standard-topographic-map-mga,,non-standard topographic map (MGA)
https://linked.data.gov.au/def/location-method/orthophoto-mga,,orthophotograph (MGA)
https://linked.data.gov.au/def/location-method/published-report,,published report (MGA/WGS/GDA)
https://linked.data.gov.au/def/location-method/rtk,,real time kinematic
https://linked.data.gov.au/def/location-method/satellite,,satellite imagery
https://linked.data.gov.au/def/location-method/single-shot-survey,,single shot survey
https://linked.data.gov.au/def/location-method/spot-p,,SPOT P (MGA)
https://linked.data.gov.au/def/location-method/surveyed-ground-control,,surveyed from ground control (WGS-84/GDA-94)
https://linked.data.gov.au/def/location-method/surveyed-grid,,surveyed grid
https://linked.data.gov.au/def/location-method/textual-load,,textual load
https://linked.data.gov.au/def/location-method/topographic-map-mga,,topographic map (MGA)
https://linked.data.gov.au/def/location-method/totalstation,,total station
https://linked.data.gov.au/def/location-method/unknown,,unknown
https://linked.data.gov.au/def/location-method/unpublished-report,,unpublished report (MGA/WGS/GDA)
