iri,broader,prefLabel
https://linked.data.gov.au/def/metamorphic-facies/albite-epidote-hornfels,,albite-epidote hornfels
https://linked.data.gov.au/def/metamorphic-facies/amphibolite,,amphibolite
https://linked.data.gov.au/def/metamorphic-facies/blueschist,,blueschist
https://linked.data.gov.au/def/metamorphic-facies/eclogite,,eclogite
https://linked.data.gov.au/def/metamorphic-facies/epidote–amphibolite,,epidote–amphibolite
https://linked.data.gov.au/def/metamorphic-facies/granulite,,granulite
https://linked.data.gov.au/def/metamorphic-facies/greenschist,,greenschist
https://linked.data.gov.au/def/metamorphic-facies/high-P-amphibolite,,high-P amphibolite
https://linked.data.gov.au/def/metamorphic-facies/high-P-granulite,,high-P granulite
https://linked.data.gov.au/def/metamorphic-facies/hornblende-hornfels,,hornblende hornfels
https://linked.data.gov.au/def/metamorphic-facies/lower-amphibolite,,lower amphibolite
https://linked.data.gov.au/def/metamorphic-facies/lower-greenschist,,lower greenschist
https://linked.data.gov.au/def/metamorphic-facies/middle-amphibolite,,middle amphibolite
https://linked.data.gov.au/def/metamorphic-facies/prehnite–pumpellyite,,prehnite–pumpellyite
https://linked.data.gov.au/def/metamorphic-facies/pyroxene-hornfels,,pyroxene hornfels
https://linked.data.gov.au/def/metamorphic-facies/sanidinite,,sanidinite
https://linked.data.gov.au/def/metamorphic-facies/sub-greenschist,,sub-greenschist
https://linked.data.gov.au/def/metamorphic-facies/ultra-high-temperature,,ultra-high temperature
https://linked.data.gov.au/def/metamorphic-facies/undifferentiated,,undifferentiated
https://linked.data.gov.au/def/metamorphic-facies/upper-amphibolite,,upper amphibolite
https://linked.data.gov.au/def/metamorphic-facies/upper-greenschist,,upper greenschist
https://linked.data.gov.au/def/metamorphic-facies/zeolite,,zeolite
