iri,broader,prefLabel
https://linked.data.gov.au/def/sample-data-quality-management/analytical-blank,,analytical blank
https://linked.data.gov.au/def/sample-data-quality-management/barren-wash,,barren wash
https://linked.data.gov.au/def/sample-data-quality-management/blank,,blank
https://linked.data.gov.au/def/sample-data-quality-management/blind-reference-material,https://linked.data.gov.au/def/sample-data-quality-management/reference-material,blind reference material
https://linked.data.gov.au/def/sample-data-quality-management/calibration-reference-material,https://linked.data.gov.au/def/sample-data-quality-management/reference-material,calibration reference material
https://linked.data.gov.au/def/sample-data-quality-management/certified-reference-material,https://linked.data.gov.au/def/sample-data-quality-management/reference-material,certified reference material
https://linked.data.gov.au/def/sample-data-quality-management/check-assay-sample,,check assay sample
https://linked.data.gov.au/def/sample-data-quality-management/crush-duplicate,https://linked.data.gov.au/def/sample-data-quality-management/duplicate,crush duplicate
https://linked.data.gov.au/def/sample-data-quality-management/duplicate,,duplicate
https://linked.data.gov.au/def/sample-data-quality-management/field-blank,,field blank
https://linked.data.gov.au/def/sample-data-quality-management/field-duplicate,https://linked.data.gov.au/def/sample-data-quality-management/duplicate,field duplicate
https://linked.data.gov.au/def/sample-data-quality-management/field-repeat-sample,,field repeat sample
https://linked.data.gov.au/def/sample-data-quality-management/laboratory-duplicate,https://linked.data.gov.au/def/sample-data-quality-management/duplicate,laboratory duplicate
https://linked.data.gov.au/def/sample-data-quality-management/laboratory-reference-material,https://linked.data.gov.au/def/sample-data-quality-management/reference-material,laboratory reference material
https://linked.data.gov.au/def/sample-data-quality-management/particle-sizing-check,,particle sizing check
https://linked.data.gov.au/def/sample-data-quality-management/pulp-duplicate,https://linked.data.gov.au/def/sample-data-quality-management/duplicate,pulp duplicate
https://linked.data.gov.au/def/sample-data-quality-management/re-assayed-sample,,re-assayed sample
https://linked.data.gov.au/def/sample-data-quality-management/reference-material,,reference material
https://linked.data.gov.au/def/sample-data-quality-management/replicate,,replicate
https://linked.data.gov.au/def/sample-data-quality-management/sample-split,,sample split
https://linked.data.gov.au/def/sample-data-quality-management/spike,,spike
https://linked.data.gov.au/def/sample-data-quality-management/umpire-assay-sample,,umpire assay sample
