iri,broader,prefLabel
https://linked.data.gov.au/def/sample-condition/arsenic-bearing,https://linked.data.gov.au/def/sample-condition/poisonous,arsenic-bearing
https://linked.data.gov.au/def/sample-condition/asbestos-bearing,https://linked.data.gov.au/def/sample-condition/fibrous,asbestos-bearing
https://linked.data.gov.au/def/sample-condition/biohazard,https://linked.data.gov.au/def/sample-condition/hazardous,biohazard
https://linked.data.gov.au/def/sample-condition/broken,https://linked.data.gov.au/def/sample-condition/poor,broken
https://linked.data.gov.au/def/sample-condition/chemically-vulnerable,https://linked.data.gov.au/def/sample-condition/vulnerable,chemically vulnerable
https://linked.data.gov.au/def/sample-condition/chipped,https://linked.data.gov.au/def/sample-condition/poor,chipped
https://linked.data.gov.au/def/sample-condition/cleaned,https://linked.data.gov.au/def/sample-condition/enhanced,cleaned
https://linked.data.gov.au/def/sample-condition/coated,https://linked.data.gov.au/def/sample-condition/enhanced,coated
https://linked.data.gov.au/def/sample-condition/consolidated,https://linked.data.gov.au/def/sample-condition/repaired,consolidated
https://linked.data.gov.au/def/sample-condition/corroded,https://linked.data.gov.au/def/sample-condition/poor,corroded
https://linked.data.gov.au/def/sample-condition/degraded,https://linked.data.gov.au/def/sample-condition/poor,degraded
https://linked.data.gov.au/def/sample-condition/dusty,https://linked.data.gov.au/def/sample-condition/hazardous,dusty
https://linked.data.gov.au/def/sample-condition/embedded,https://linked.data.gov.au/def/sample-condition/preserved,embedded
https://linked.data.gov.au/def/sample-condition/enhanced,,enhanced
https://linked.data.gov.au/def/sample-condition/fair,,fair
https://linked.data.gov.au/def/sample-condition/fibrous,https://linked.data.gov.au/def/sample-condition/hazardous,fibrous
https://linked.data.gov.au/def/sample-condition/flaking,https://linked.data.gov.au/def/sample-condition/poor,flaking
https://linked.data.gov.au/def/sample-condition/flammable,https://linked.data.gov.au/def/sample-condition/hazardous,flammable
https://linked.data.gov.au/def/sample-condition/fragile,https://linked.data.gov.au/def/sample-condition/vulnerable,fragile
https://linked.data.gov.au/def/sample-condition/framed,https://linked.data.gov.au/def/sample-condition/mounted,framed
https://linked.data.gov.au/def/sample-condition/glued,https://linked.data.gov.au/def/sample-condition/repaired,glued
https://linked.data.gov.au/def/sample-condition/good,,good
https://linked.data.gov.au/def/sample-condition/hazardous,,hazardous
https://linked.data.gov.au/def/sample-condition/heavy,https://linked.data.gov.au/def/sample-condition/hazardous,heavy
https://linked.data.gov.au/def/sample-condition/hydrocarbon-bearing,https://linked.data.gov.au/def/sample-condition/hazardous,hydrocarbon bearing
https://linked.data.gov.au/def/sample-condition/hygroscopic-or-hydrophilic,https://linked.data.gov.au/def/sample-condition/vulnerable,hygroscopic or hydrophilic
https://linked.data.gov.au/def/sample-condition/incomplete,https://linked.data.gov.au/def/sample-condition/poor,incomplete
https://linked.data.gov.au/def/sample-condition/mercury-bearing,https://linked.data.gov.au/def/sample-condition/poisonous,mercury-bearing
https://linked.data.gov.au/def/sample-condition/mounted,https://linked.data.gov.au/def/sample-condition/enhanced,mounted
https://linked.data.gov.au/def/sample-condition/multi-part,,multi-part
https://linked.data.gov.au/def/sample-condition/oxygen-sensitive,https://linked.data.gov.au/def/sample-condition/vulnerable,oxygen sensitive
https://linked.data.gov.au/def/sample-condition/photosensitive,https://linked.data.gov.au/def/sample-condition/vulnerable,photosensitive
https://linked.data.gov.au/def/sample-condition/poisonous,https://linked.data.gov.au/def/sample-condition/hazardous,poisonous
https://linked.data.gov.au/def/sample-condition/polished,https://linked.data.gov.au/def/sample-condition/enhanced,polished
https://linked.data.gov.au/def/sample-condition/poor,,poor
https://linked.data.gov.au/def/sample-condition/preserved,,preserved
https://linked.data.gov.au/def/sample-condition/radioactive,https://linked.data.gov.au/def/sample-condition/hazardous,radioactive
https://linked.data.gov.au/def/sample-condition/refrigerated,https://linked.data.gov.au/def/sample-condition/preserved,refrigerated
https://linked.data.gov.au/def/sample-condition/repaired,,repaired
https://linked.data.gov.au/def/sample-condition/salty,https://linked.data.gov.au/def/sample-condition/hazardous,salty
https://linked.data.gov.au/def/sample-condition/segmented,,segmented
https://linked.data.gov.au/def/sample-condition/separated,https://linked.data.gov.au/def/sample-condition/multi-part,separated
https://linked.data.gov.au/def/sample-condition/shaped,https://linked.data.gov.au/def/sample-condition/enhanced,shaped
https://linked.data.gov.au/def/sample-condition/sharp,https://linked.data.gov.au/def/sample-condition/hazardous,sharp
https://linked.data.gov.au/def/sample-condition/shielded,,shielded
https://linked.data.gov.au/def/sample-condition/submerged,https://linked.data.gov.au/def/sample-condition/preserved,submerged
https://linked.data.gov.au/def/sample-condition/tarnished,https://linked.data.gov.au/def/sample-condition/corroded,tarnished
https://linked.data.gov.au/def/sample-condition/thermally-vulnerable,https://linked.data.gov.au/def/sample-condition/vulnerable,thermally vulnerable
https://linked.data.gov.au/def/sample-condition/to-be-repackaged,,to be repackaged
https://linked.data.gov.au/def/sample-condition/to-be-retrayed,https://linked.data.gov.au/def/sample-condition/to-be-repackaged,to be retrayed
https://linked.data.gov.au/def/sample-condition/uncleaned,,uncleaned
https://linked.data.gov.au/def/sample-condition/under-vacuum,https://linked.data.gov.au/def/sample-condition/preserved,under vacuum
https://linked.data.gov.au/def/sample-condition/unwieldy,https://linked.data.gov.au/def/sample-condition/hazardous,unwieldy
https://linked.data.gov.au/def/sample-condition/vulnerable,,vulnerable
https://linked.data.gov.au/def/sample-condition/washed-and-dried,https://linked.data.gov.au/def/sample-condition/cleaned,washed and dried
https://linked.data.gov.au/def/sample-condition/worn,https://linked.data.gov.au/def/sample-condition/poor,worn
