iri,broader,prefLabel
https://linked.data.gov.au/def/sample-curation-status/archived,,archived
https://linked.data.gov.au/def/sample-curation-status/awaiting-registration,,awaiting registration
https://linked.data.gov.au/def/sample-curation-status/collected,,collected
https://linked.data.gov.au/def/sample-curation-status/consumed,https://linked.data.gov.au/def/sample-curation-status/deaccessioned,consumed
https://linked.data.gov.au/def/sample-curation-status/deaccessioned,,deaccessioned
https://linked.data.gov.au/def/sample-curation-status/destroyed,https://linked.data.gov.au/def/sample-curation-status/deaccessioned,destroyed
https://linked.data.gov.au/def/sample-curation-status/discarded,https://linked.data.gov.au/def/sample-curation-status/deaccessioned,discarded
https://linked.data.gov.au/def/sample-curation-status/donated,https://linked.data.gov.au/def/sample-curation-status/deaccessioned,donated
https://linked.data.gov.au/def/sample-curation-status/in-transit,,in transit
https://linked.data.gov.au/def/sample-curation-status/loan,,loan
https://linked.data.gov.au/def/sample-curation-status/loaned-in,https://linked.data.gov.au/def/sample-curation-status/loan,loaned in
https://linked.data.gov.au/def/sample-curation-status/long-term-loan,https://linked.data.gov.au/def/sample-curation-status/loan,long-term loan
https://linked.data.gov.au/def/sample-curation-status/lost,,lost
https://linked.data.gov.au/def/sample-curation-status/on-display,,on display
https://linked.data.gov.au/def/sample-curation-status/on-loan-external,https://linked.data.gov.au/def/sample-curation-status/loan,on loan - external
https://linked.data.gov.au/def/sample-curation-status/on-loan-internal,https://linked.data.gov.au/def/sample-curation-status/loan,on loan - internal
https://linked.data.gov.au/def/sample-curation-status/permanent-loan,https://linked.data.gov.au/def/sample-curation-status/loan,permanent loan
https://linked.data.gov.au/def/sample-curation-status/processing,,processing
https://linked.data.gov.au/def/sample-curation-status/quarantined,,quarantined
https://linked.data.gov.au/def/sample-curation-status/restituted,https://linked.data.gov.au/def/sample-curation-status/deaccessioned,restituted
https://linked.data.gov.au/def/sample-curation-status/sampled-under-agreement,https://linked.data.gov.au/def/sample-curation-status/collected,sampled under agreement
https://linked.data.gov.au/def/sample-curation-status/stolen,,stolen
https://linked.data.gov.au/def/sample-curation-status/temporary-holding,,temporary holding
