iri,broader,prefLabel
https://linked.data.gov.au/def/tectonic-unit-type/basin,,basin
https://linked.data.gov.au/def/tectonic-unit-type/craton,,craton
https://linked.data.gov.au/def/tectonic-unit-type/craton-terrane,,craton terrane
https://linked.data.gov.au/def/tectonic-unit-type/domain,,domain
https://linked.data.gov.au/def/tectonic-unit-type/greenstone-belt_granitic-complex,,greenstone belt / granitic complex
https://linked.data.gov.au/def/tectonic-unit-type/inlier_outlier,,inlier/outlier
https://linked.data.gov.au/def/tectonic-unit-type/orogen,,orogen
https://linked.data.gov.au/def/tectonic-unit-type/orogenic-foreland,,orogenic foreland
https://linked.data.gov.au/def/tectonic-unit-type/orogenic-foreland-subunit,,orogenic foreland sub-unit
https://linked.data.gov.au/def/tectonic-unit-type/province-tectonic,,province (tectonic)
https://linked.data.gov.au/def/tectonic-unit-type/province-terrane_zone,,province terrane/zone
https://linked.data.gov.au/def/tectonic-unit-type/seismic-province,,seismic province
https://linked.data.gov.au/def/tectonic-unit-type/sub-basin,,sub-basin
https://linked.data.gov.au/def/tectonic-unit-type/sub-basin_element,,sub-basin element
https://linked.data.gov.au/def/tectonic-unit-type/suite-tectonic,,suite (tectonic)
https://linked.data.gov.au/def/tectonic-unit-type/superbasin,,superbasin
https://linked.data.gov.au/def/tectonic-unit-type/supersuite-tectonic,,supersuite (tectonic)
https://linked.data.gov.au/def/tectonic-unit-type/superterrane,,superterrane
https://linked.data.gov.au/def/tectonic-unit-type/tectonic-subdivision,,tectonic subdivision
https://linked.data.gov.au/def/tectonic-unit-type/WA-unit,,WA unit
https://linked.data.gov.au/def/tectonic-unit-type/Western-Australia,,Western Australia
