iri,label,notation,definition,altLabels,broader,narrower,related,scheme
https://linked.data.gov.au/def/alteration-form/banding-controlled,banding-controlled,,Alteration that selectively replaces specific bands within rocks.,,https://linked.data.gov.au/def/alteration-form/layer-controlled,,,https://linked.data.gov.au/def/alteration-form
https://linked.data.gov.au/def/alteration-form/layer-controlled,layer-controlled,,Alteration restricted to compositionally or texturally defined layers within rocks.,,https://linked.data.gov.au/def/alteration-form/non-pervasive,"https://linked.data.gov.au/def/alteration-form/banding-controlled|https://linked.data.gov.au/def/alteration-form/bedding-controlled|https://linked.data.gov.au/def/alteration-form/unconformity-related",,https://linked.data.gov.au/def/alteration-form
https://linked.data.gov.au/def/alteration-form/bedding-controlled,bedding-controlled,,Alteration that selectively replaces specific beds within sedimentary rocks.,stratabound,https://linked.data.gov.au/def/alteration-form/layer-controlled,,,https://linked.data.gov.au/def/alteration-form
https://linked.data.gov.au/def/alteration-form/breccia-vein,breccia vein,,Alteration associated with a fissure containing cemented wallrock fragments.,,https://linked.data.gov.au/def/alteration-form/hydrothermal-breccia-controlled,,,https://linked.data.gov.au/def/alteration-form
https://linked.data.gov.au/def/alteration-form/hydrothermal-breccia-controlled,hydrothermal breccia-controlled,,Alteration spatially associated with a breccia.,hydrothermal breccia,https://linked.data.gov.au/def/alteration-form/structure-controlled,https://linked.data.gov.au/def/alteration-form/breccia-vein,,https://linked.data.gov.au/def/alteration-form
https://linked.data.gov.au/def/alteration-form/fault-breccia,fault breccia,,Alteration associated with a fault displaying angular rock fragments resulting from fracturing.,,https://linked.data.gov.au/def/alteration-form/fault-controlled,,,https://linked.data.gov.au/def/alteration-form
https://linked.data.gov.au/def/alteration-form/fault-controlled,fault-controlled,,Alteration spatially associated with a fault.,,https://linked.data.gov.au/def/alteration-form/fracture-controlled,https://linked.data.gov.au/def/alteration-form/fault-breccia,,https://linked.data.gov.au/def/alteration-form
https://linked.data.gov.au/def/alteration-form/foliation-controlled,foliation-controlled,,Alteration confined to volumes of rocks exhibiting a foliation.,foliation parallel,https://linked.data.gov.au/def/alteration-form/structure-controlled,,,https://linked.data.gov.au/def/alteration-form
https://linked.data.gov.au/def/alteration-form/structure-controlled,structure-controlled,,"Alteration spatially restricted to rocks within and/or immediately adjacent to structures such as shear zones, fault zones, veins, hydrothermal breccias, vugs or fractures.",,https://linked.data.gov.au/def/alteration-form/non-pervasive,"https://linked.data.gov.au/def/alteration-form/hydrothermal-breccia-controlled|https://linked.data.gov.au/def/alteration-form/foliation-controlled|https://linked.data.gov.au/def/alteration-form/shear-zone-controlled|https://linked.data.gov.au/def/alteration-form/vein-controlled|https://linked.data.gov.au/def/alteration-form/vug-controlled|https://linked.data.gov.au/def/alteration-form/fracture-controlled",,https://linked.data.gov.au/def/alteration-form
https://linked.data.gov.au/def/alteration-form/pervasive,pervasive,,"Alteration characterized by the replacement of most, or all, original rock-forming minerals and obliteration of textures at the scale of observation.","complete|continuous|extensive|homogeneous|massive|ubiquitous|widespread",,,,https://linked.data.gov.au/def/alteration-form
