iri,label,notation,definition,altLabels,broader,narrower,related,scheme
https://linked.data.gov.au/def/borehole-purpose-wa/acid-leachate-testing,acid leachate testing,,A well or bore drilled to recover strata samples for their use in acid leachate testing.,,https://linked.data.gov.au/def/borehole-purpose-wa/environmental,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/environmental,environmental,,"Environmental drilling is performed when soil, rock or groundwater samples are required to assess an area for contamination, or when groundwater monitoring wells or remediation wells are required for the treatment of groundwater. Typically this type of drilling is conducted for a) testing and monitoring for sites such as landfills or lagoons that have a potential for pollution, b) monitoring and testing of environmentally sensitive sites such as protected lands or public water supply wellfields, c) testing to determine the source and extent of a known pollution problem, d) sampling and well construction for recovery or remediation of pollutants in groundwater, e) identification of product (oil, petrol etc.) or human artefacts (fill, trash, archeological).",,,"https://linked.data.gov.au/def/borehole-purpose-wa/acid-leachate-testing|https://linked.data.gov.au/def/borehole-purpose-wa/materials-characterization|https://linked.data.gov.au/def/borehole-purpose-wa/remediation|https://linked.data.gov.au/def/borehole-purpose-wa/stygofauna-monitoring",,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/appraisal-fluid-energy,appraisal (fluid energy),,"A well drilled into a potential or known fluid energy reservoir to determine the continuation of a known pool and extent of the reservoir, in order to establish the existence of a significant quantity of recoverable fluid energy resource. Note that this concept merges the appraisal and extension definitions of PPDM Well Status and Classification (v3).","petroleum-reservoir-characterisation|petroleum-reservoir-characterization",https://linked.data.gov.au/def/borehole-purpose-wa/exploration-exploitation-fluid-energy-resources,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/exploration-exploitation-fluid-energy-resources,exploration and exploitation of fluid energy resources,,"A borehole/well drilled to explore for and exploit naturally occurring fluid energy resources, including petroleum (hydrocarbon) fluids, other natural gases (e.g. hydrogen and helium), and geothermal (naturally heated fluids occurring on or within the Earth's crust).",,,"https://linked.data.gov.au/def/borehole-purpose-wa/appraisal-fluid-energy|https://linked.data.gov.au/def/borehole-purpose-wa/development-fluid-energy|https://linked.data.gov.au/def/borehole-purpose-wa/service-fluid-energy|https://linked.data.gov.au/def/borehole-purpose-wa/exploration-fluid-energy|https://linked.data.gov.au/def/borehole-purpose-wa/injection-fluid-energy|https://linked.data.gov.au/def/borehole-purpose-wa/production-fluid-energy|https://linked.data.gov.au/def/borehole-purpose-wa/production-injection-fluid-energy|https://linked.data.gov.au/def/borehole-purpose-wa/stratigraphic-research-fluid-energy",,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/blasthole,blasthole,,"A well or bore drilled to facilitate the installation and subsequent detonation of explosives, pulverising material and throwing it away from the wall or face, reducing the effort required to advance the face or recover and remove materials.",blast hole,https://linked.data.gov.au/def/borehole-purpose-wa/mining-development-and-production,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/mining-development-and-production,mining (development and production),,"A borehole drilled at the surface or underground to develop mines and/or quarries to facilitate production of economic minerals and basic raw materials. It includes drilling for underground services such as cables, water pipes, access and airways.",,https://linked.data.gov.au/def/borehole-purpose-wa/exploration-exploitation-minerals-and-basic-raw-materials,"https://linked.data.gov.au/def/borehole-purpose-wa/blasthole|https://linked.data.gov.au/def/borehole-purpose-wa/service-mining|https://linked.data.gov.au/def/borehole-purpose-wa/hydrogeology-mining|https://linked.data.gov.au/def/borehole-purpose-wa/in-situ-leaching|https://linked.data.gov.au/def/borehole-purpose-wa/grade-control|https://linked.data.gov.au/def/borehole-purpose-wa/metallurgical|https://linked.data.gov.au/def/borehole-purpose-wa/resource-definition-and-conversion-to-ore-reserves|https://linked.data.gov.au/def/borehole-purpose-wa/sterilization",,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/cable-services,cable services,,"A cased borehole drilled for the installation of electric cables, optic fibres and related services in an underground mine.",,https://linked.data.gov.au/def/borehole-purpose-wa/service-mining,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/service-mining,service (mining),,"Boreholes drilled to provide services such as the transport of water, compressed air, other gases or materials; placement of electric cables and airlines; or raise bores for access or ventilation. It includes drilling conducted during mine rescue operations.",,https://linked.data.gov.au/def/borehole-purpose-wa/mining-development-and-production,"https://linked.data.gov.au/def/borehole-purpose-wa/cable-services|https://linked.data.gov.au/def/borehole-purpose-wa/drives-and-declines|https://linked.data.gov.au/def/borehole-purpose-wa/paste-fill|https://linked.data.gov.au/def/borehole-purpose-wa/rescue|https://linked.data.gov.au/def/borehole-purpose-wa/uncemented-backfill|https://linked.data.gov.au/def/borehole-purpose-wa/ventilation",,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/development-fluid-energy,development (fluid energy),DEV,"A well/borehole drilled into a known fluid energy source, in order to recover fluid energy resources and generate fluid energy products. This may include service wells.",,https://linked.data.gov.au/def/borehole-purpose-wa/exploration-exploitation-fluid-energy-resources,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/dewatering-hydrogeology,dewatering (hydrogeology),,"A borehole drilled to remove water, as a way to facilitate construction or other activity. It is often used as a safety measure in mining below the watertable or as a preliminary step to development in an area.",,https://linked.data.gov.au/def/borehole-purpose-wa/hydrogeology,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/hydrogeology,hydrogeology,,"A borehole drilled and completed for the search, abstraction, monitoring and/or disposal/injection of water.",,,"https://linked.data.gov.au/def/borehole-purpose-wa/dewatering-hydrogeology|https://linked.data.gov.au/def/borehole-purpose-wa/disposal-hydrogeology|https://linked.data.gov.au/def/borehole-purpose-wa/groundwater-exploration|https://linked.data.gov.au/def/borehole-purpose-wa/groundwater-monitoring|https://linked.data.gov.au/def/borehole-purpose-wa/groundwater-production|https://linked.data.gov.au/def/borehole-purpose-wa/reinjection-hydrogeology",,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/dewatering-mining,dewatering (mining),,"A borehole drilled and cased to enable the removal of groundwater from a mine. Mine dewatering is critical when a mine extends below the water table and groundwater does, due to gravity, infiltrate the mine workings.",,https://linked.data.gov.au/def/borehole-purpose-wa/hydrogeology-mining,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/hydrogeology-mining,hydrogeology (mining),,"Hydrogeology drilling in mining operations is conducted in order to monitor and sample the water table at and around a mining site, retrieve water for use (e.g. for dust control), or to remove water from a mine (dewatering).",,https://linked.data.gov.au/def/borehole-purpose-wa/mining-development-and-production,"https://linked.data.gov.au/def/borehole-purpose-wa/dewatering-mining|https://linked.data.gov.au/def/borehole-purpose-wa/reinjection-mining|https://linked.data.gov.au/def/borehole-purpose-wa/water-monitoring-mining|https://linked.data.gov.au/def/borehole-purpose-wa/water-supply-exploration-mining",,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/disposal-fluid-energy,disposal (fluid energy),,"A well, often a depleted production well, into which waste fluids can be injected into an isolated formation for safe disposal. Disposal wells are typically subject to regulatory requirements to avoid the contamination of freshwater aquifers.",,https://linked.data.gov.au/def/borehole-purpose-wa/service-fluid-energy,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/service-fluid-energy,service (fluid energy),,"A well drilled to provide maintenance and monitoring during fluid energy production, which may include supply, disposal, relief, and observation.",,https://linked.data.gov.au/def/borehole-purpose-wa/exploration-exploitation-fluid-energy-resources,"https://linked.data.gov.au/def/borehole-purpose-wa/disposal-fluid-energy|https://linked.data.gov.au/def/borehole-purpose-wa/observation-fluid-energy|https://linked.data.gov.au/def/borehole-purpose-wa/relief-fluid-energy|https://linked.data.gov.au/def/borehole-purpose-wa/water-supply-fluid-energy",,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/disposal-hydrogeology,disposal (hydrogeology),,"A well in which fluids are injected rather than produced, where the primary objective is to dispose of fluid/water into an isolated formation.",,https://linked.data.gov.au/def/borehole-purpose-wa/hydrogeology,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/drives-and-declines,drives and declines,,"A borehole drilled to enable construction of underground declines, ore drives and stope access to facilitate mining.",,https://linked.data.gov.au/def/borehole-purpose-wa/service-mining,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/electrokinetic-in-situ-leaching,electrokinetic in-situ leaching,,"A borehole drilled for the purpose of electrokinetic in-situ leaching (EK-ISL), an emerging mining technology that allows for the recovery of metals from low-permeability ore bodies via boreholes without excavation or permeability enhancement techniques such as fracking. Instead, it uses electrode wells to generate electric fields and induce the transport of charged chemical species that facilitate the selective dissolution, transport and recovery of targeted metals such as copper or gold.",EK-ISL,https://linked.data.gov.au/def/borehole-purpose-wa/in-situ-leaching,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/in-situ-leaching,in-situ leaching,,"A borehole drilled for the purpose of in-situ leaching (ISL, also called in-situ recovery or ISR) or solution mining, a mining process used to recover minerals (e.g. copper and uranium) through boreholes drilled into a deposit. It works by artificially dissolving minerals occurring naturally in a solid state and pumping the pregnant solution to the surface where the minerals can be recovered.","ISL|ISR|in-situ leach",https://linked.data.gov.au/def/borehole-purpose-wa/mining-development-and-production,https://linked.data.gov.au/def/borehole-purpose-wa/electrokinetic-in-situ-leaching,,https://linked.data.gov.au/def/borehole-purpose-wa
