iri,label,notation,definition,altLabels,broader,narrower,related,scheme
https://linked.data.gov.au/def/earthsci-for/active-seismic,active seismic,,A seismic method that involves monitoring artificially induced signals.,,https://linked.data.gov.au/def/earthsci-for/seismic-surveys,,,https://linked.data.gov.au/def/earthsci-for
https://linked.data.gov.au/def/earthsci-for/seismic-surveys,seismic surveys,,"The science of the acquisition, processing, and analysis of seismic datasets measured and recorded with reference to a particular area of the Earth's surface, to evaluate the subsurface.",seismic surveying,https://linked.data.gov.au/def/earthsci-for/seismology-and-seismic-exploration,"https://linked.data.gov.au/def/earthsci-for/active-seismic|https://linked.data.gov.au/def/earthsci-for/passive-seismic",,https://linked.data.gov.au/def/earthsci-for
https://linked.data.gov.au/def/earthsci-for/airborne-spectral-imaging,airborne spectral imaging,,Remotely sensed spectral imaging obtained from an airborne platform.,,https://linked.data.gov.au/def/earthsci-for/spectral-imaging,,,https://linked.data.gov.au/def/earthsci-for
https://linked.data.gov.au/def/earthsci-for/spectral-imaging,spectral imaging,,"The use of multiple bands across the electromagnetic spectrum to create a dataset that contains many images of the same object, where each one of them is measured at a different wavelength. It includes multispectral imaging that typically captures three to fifteen spectral bands, and hyperspectral imaging that combines spectroscopy and digital photography to capture hundreds of wavelength bands.",spectroscopy,https://linked.data.gov.au/def/earthsci-for/photogrammetry-and-remote-sensing,"https://linked.data.gov.au/def/earthsci-for/airborne-spectral-imaging|https://linked.data.gov.au/def/earthsci-for/core-spectral-imaging|https://linked.data.gov.au/def/earthsci-for/ground-spectral-imaging|https://linked.data.gov.au/def/earthsci-for/laboratory-spectral-imaging|https://linked.data.gov.au/def/earthsci-for/satellite-spectral-imaging",,https://linked.data.gov.au/def/earthsci-for
https://linked.data.gov.au/def/earthsci-for/applied-geophysics,applied geophysics,,"A discipline concerned with investigating the Earth from the surface to a depth of several kilometres, specifically aiming to meet the growing demands for natural resources and geo-energies, to respond to the effects of climate change, to provide critical data for civil engineers, and to forecast the effects of natural hazards.",,https://linked.data.gov.au/def/earthsci-for/geophysics,,,https://linked.data.gov.au/def/earthsci-for
https://linked.data.gov.au/def/earthsci-for/geophysics,geophysics,3706,"A natural science concerned with the physical processes and physical properties of the Earth and its surrounding space environment, and the use of quantitative methods for their analysis. It includes several disciplines focusing on the study of the Earth's electrical, gravitational and magnetic fields and the propagation of elastic (seismic) waves within it.",,https://linked.data.gov.au/def/earthsci-for/earth-sciences,"https://linked.data.gov.au/def/earthsci-for/applied-geophysics|https://linked.data.gov.au/def/earthsci-for/tomography|https://linked.data.gov.au/def/earthsci-for/electrical-and-electromagnetic-methods-in-geophysics|https://linked.data.gov.au/def/earthsci-for/geodesy|https://linked.data.gov.au/def/earthsci-for/geodynamics|https://linked.data.gov.au/def/earthsci-for/geophysical-fluid-dynamics|https://linked.data.gov.au/def/earthsci-for/geophysics-not-elsewhere-classified|https://linked.data.gov.au/def/earthsci-for/geothermics-and-radiometrics|https://linked.data.gov.au/def/earthsci-for/gravimetrics|https://linked.data.gov.au/def/earthsci-for/magnetism-and-paleomagnetism|https://linked.data.gov.au/def/earthsci-for/petrophysics-and-rock-mechanics|https://linked.data.gov.au/def/earthsci-for/seismology-and-seismic-exploration",,https://linked.data.gov.au/def/earthsci-for
https://linked.data.gov.au/def/earthsci-for/applied-mineralogy,applied mineralogy,,"Applied mineralogy is located at the intersection of natural sciences and engineering sciences/technology and deals with the entire line of raw material, from extraction/preparation to processing and disposal, i.e. the application of mineralogical information to understanding and solving problems encountered during exploration and mining, and during processing of ores, concentrates, smelter products, and related materials. It involves characterizing minerals and materials, and interpreting the data with respect to exploration, mineral processing, tailings disposal and treatment, hydrometallurgy, pyrometallurgy, and refining.",,https://linked.data.gov.au/def/earthsci-for/mineralogy,,,https://linked.data.gov.au/def/earthsci-for
https://linked.data.gov.au/def/earthsci-for/mineralogy,mineralogy,,"The scientific study of minerals, their formation, occurrence, physical and chemical properties, composition, and classification.",,https://linked.data.gov.au/def/earthsci-for/mineralogy-and-crystallography,"https://linked.data.gov.au/def/earthsci-for/applied-mineralogy|https://linked.data.gov.au/def/earthsci-for/descriptive-mineralogy|https://linked.data.gov.au/def/earthsci-for/experimental-mineralogy|https://linked.data.gov.au/def/earthsci-for/genetic-mineralogy|https://linked.data.gov.au/def/earthsci-for/quantitative-mineralogy|https://linked.data.gov.au/def/earthsci-for/regional-mineralogy",,https://linked.data.gov.au/def/earthsci-for
https://linked.data.gov.au/def/earthsci-for/archival-repository-and-related-studies,"archival, repository and related studies",430201,"Archival science, or archival studies, is the study and theory of building and curating archives, i.e. collections of documents, recordings, photographs and various other materials in physical or digital formats, for the purpose of acquiring, evaluating, and accessing recorded materials.","archival science|archival studies",https://linked.data.gov.au/def/earthsci-for/heritage-archive-and-museum-studies,,,https://linked.data.gov.au/def/earthsci-for
https://linked.data.gov.au/def/earthsci-for/heritage-archive-and-museum-studies,"heritage, archive and museum studies",4302,"Studies related to the identification, collection, curation, conservation, interpretation, use and management of cultural and natural heritage, by examining the variety of locations through which this happens such as objects and collections, museums, heritage places, intangible cultural heritage, and international heritage practice.",,"https://linked.data.gov.au/def/earthsci-for/history,-heritage-and-archeology","https://linked.data.gov.au/def/earthsci-for/archival-repository-and-related-studies|https://linked.data.gov.au/def/earthsci-for/collection-management|https://linked.data.gov.au/def/earthsci-for/digital-heritage|https://linked.data.gov.au/def/earthsci-for/heritage-and-conservation|https://linked.data.gov.au/def/earthsci-for/heritage-archive-and-museum-studies-not-elsewhere-classified|https://linked.data.gov.au/def/earthsci-for/heritage-collections-and-interpretations|https://linked.data.gov.au/def/earthsci-for/heritage-tourism-visitor-and-audience-studies|https://linked.data.gov.au/def/earthsci-for/intangible-heritage|https://linked.data.gov.au/def/earthsci-for/materials-conservation",,https://linked.data.gov.au/def/earthsci-for
