iri,broader,prefLabel
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/ashburton-mineral-field,,Ashburton Mineral Field
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/blackrange-mineral-district,,Black Range District
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/broadarrow-mineral-field,,Broad Arrow Mineral Field
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/bulong-mineral-district,,Bulong District
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/collieriver-mineral-field,,Collie River Mineral field
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/coolgardie-mineral-district,,Coolgardie District
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/coolgardie-mineral-field,,Coolgardie Mineral Field
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/cue-mineral-district,,Cue District
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/daydawn-mineral-district,,Day Dawn District
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/dundas-mineral-field,,Dundas Mineral Field
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/eastcoolgardie-mineral-district,,East Coolgardie District
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/eastcoolgardie-mineral-field,,East Coolgardie Mineral field
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/eastmurchison-mineral-field,,East Murchison Mineral Field
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/gascoyne-mineral-field,,Gascoyne Mineral Field
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/greenbushes-mineral-field,,Greenbushes Mineral Field
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/kanowna-mineral-district,,Kanowna District
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/kimberley-mineral-field,,Kimberley Mineral Field
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/kunnanalling-mineral-district,,Kunnanalling District
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/kurnalpi-mineral-district,,Kurnalpi District
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/lawlers-mineral-district,,Lawlers District
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/marblebar-mineral-district,,Marble Bar District
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/meekatharra-mineral-district,,Meekatharra District
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/menzies-mineral-district,,Menzies District
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/mtmalcolm-mineral-district,,Mount Malcolm District
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/mtmargaret-mineral-district,,Mount Margaret District
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/mtmargaret-mineral-field,,Mount Margaret Mineral field
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/mtmorgan-mineral-district,,Mount Morgans District
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/mtmagnet-mineral-district,,Mt Magnet District
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/murchison-mineral-field,,Murchison Mineral Field
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/niagara-mineral-district,,Niagara District
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/northcoolgardie-mineral-field,,North Coolgardie Mineral Field
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/northeastcoolgardie-mineral-field,,North East Coolgardie Mineral Field
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/northampton-mineral-field,,Northampton Mineral Field
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/nullagine-mineral-district,,Nullagine District
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/peakhill-mineral-field,,Peak Hill Mineral Field
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/phillipsriver-mineral-field,,Phillips River Mineral Field
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/pilbara-mineral-field,,Pilbara Mineral field
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/southwest-mineral-field,,Southwest Mineral Field
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/ularring-mineral-district,,Ularring District
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/warburton-mineral-field,,Warburton Mineral Field
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/westkimberley-mineral-field,,West Kimberley Mineral Field
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/westpilbara-mineral-field,,West Pilbara Mineral field
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/wiluna-mineral-district,,Wiluna District
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/yalgoo-mineral-field,,Yalgoo Mineral Field
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/yerilla-mineral-district,,Yerilla District
https://linked.data.gov.au/def/wa-mineral-fields-and-districts/yilgarn-mineral-field,,Yilgarn Mineral Field
